"","Sum Sq","Mean Sq","NumDF","DenDF","F.value","Pr(>F)"
"group",284.502064479487,21.8847741907297,13,918.090561634516,2.94324083401111,0.000320392161396232
"TIMEpostAV45_ADAS.",689.862326657121,689.862326657121,1,871.987811280485,92.7782462806141,0
"factor(diag_prior)",4284.10776076648,1071.02694019162,4,940.268963116471,144.040335862055,0
"factor(APOE4_BIN)",1.48098777084212,1.48098777084212,1,916.189648770844,0.199175172831348,0.655492904829584
"Age.AV45",70.6215664611689,70.6215664611689,1,876.256965799679,9.49775749837934,0.00212156608441549
"factor(Gender)",25.1274375746219,25.1274375746219,1,861.545886892244,3.37934034316057,0.0663625758086477
"Edu..Yrs.",76.9837343020019,76.9837343020019,1,873.36525187735,10.3533931114671,0.00133998233252908
"group:TIMEpostAV45_ADAS.",786.424645696776,60.4942035151366,13,615.308981646937,8.13574809842677,3.33066907387547e-15
"TIMEpostAV45_ADAS.:factor(diag_prior)",694.922939131522,173.73073478288,4,805.117818391301,23.3647095592298,0
"TIMEpostAV45_ADAS.:factor(APOE4_BIN)",23.7009699583538,23.7009699583538,1,621.982569311047,3.18749748017261,0.0746906878131293
