"","Sum Sq","Mean Sq","NumDF","DenDF","F.value","Pr(>F)"
"group",107.760105172963,8.28923885945868,13,917.490358198598,1.11328977222314,0.343223654935378
"TIMEpostAV45_ADAS.",58.6020694422834,58.6020694422834,1,727.185625797622,7.87057601395564,0.00515880096829291
"factor(diag_prior)",3637.46185375205,909.365463438013,4,939.55174581561,122.13271771066,0
"factor(APOE4_BIN)",0.000387332021690794,0.000387332021690794,1,914.659451957251,5.20207929236863e-05,0.994246845038191
"CORTICAL_SUMMARY_prior",234.280455824518,234.280455824518,1,932.912953872381,31.4651368748522,2.67557895838877e-08
"Age.AV45",65.7153852458417,65.7153852458417,1,884.157115862263,8.82593293694481,0.00305017141164254
"factor(Gender)",27.5834545486854,27.5834545486854,1,869.281062364005,3.70460766691416,0.0545885058941936
"Edu..Yrs.",84.5270729821797,84.5270729821797,1,881.264315122366,11.3524447084355,0.000786190541007148
"group:TIMEpostAV45_ADAS.",125.420356607491,9.64771973903777,13,626.401246965934,1.29574112808802,0.210153451724271
"TIMEpostAV45_ADAS.:factor(diag_prior)",499.938327813613,124.984581953403,4,815.093837548038,16.7861077637466,3.12416759129519e-13
"TIMEpostAV45_ADAS.:factor(APOE4_BIN)",15.8827388786634,15.8827388786634,1,627.027860837899,2.13313804177934,0.144646264868822
"TIMEpostAV45_ADAS.:CORTICAL_SUMMARY_prior",211.830432344434,211.830432344434,1,718.515098131534,28.4499768643494,1.28955424782973e-07
