"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",10.0918554181671,2.62887472235143,914.259897391489,3.83884988218089,0.000132121501218219
"group1",0.815059238002212,1.98346525531085,884.263197093371,0.410926904728905,0.681225694138034
"group2",1.61366528037879,0.95610662059029,911.825273267077,1.68774616306132,0.0918019455834775
"group3",0.495389398594137,1.00425479059085,917.350264575407,0.493290550600885,0.621925369827784
"group4",0.688012040614383,1.17001827372336,903.898423137109,0.588035294888954,0.556655485810855
"group5",-0.220545661124773,1.12315211778585,922.765892558753,-0.196363126269618,0.844369191403022
"group6",-0.0516615196443607,0.826641812581834,911.284842211069,-0.0624956527217118,0.950181828222287
"group9",0.34281965316535,0.905734675937151,905.624475569812,0.378498982398614,0.705148658225028
"group19",2.53438020646282,0.95970496481282,913.781461559451,2.64079097158482,0.00841242332567971
"group22",2.29966228287262,1.29916047178527,936.181280151449,1.7701141104705,0.0770335599143763
"group25",0.379853737809848,1.5057945548534,939.924339138651,0.252261330462063,0.800894226367274
"group29",1.50077383973347,1.07893505262782,910.758243882994,1.39097699725135,0.164572122585388
"group34",0.606780182671593,1.12542670558141,914.631209033512,0.539155663947146,0.589910660963374
"group56",1.63032632918604,2.23890143719236,926.069677006981,0.728181375965578,0.466686643938647
"TIMEpostAV45_ADAS.",-0.589485396413111,0.878959027522194,824.568873806527,-0.670663111652524,0.502622967269802
"factor(diag_prior)EMCI",-10.8390506272636,0.579619234583951,968.042892137385,-18.7002949186872,0
"factor(diag_prior)LMCI",-7.0051629092202,0.564680482749812,985.270236904019,-12.4055339669388,0
"factor(diag_prior)N",-12.6293898114007,0.615312769526877,974.85784494601,-20.5251547454664,0
"factor(diag_prior)SMC",-12.3607835399625,0.744597502561735,980.087462277362,-16.6006244950273,0
"factor(APOE4_BIN)1",-0.00266226062612028,0.369115001914708,914.660075138854,-0.00721255059347451,0.994246839886892
"CORTICAL_SUMMARY_prior",4.35111944285737,0.77568640512391,932.913589475837,5.60937953033006,2.67557600519552e-08
"Age.AV45",0.0672093907482781,0.0226229703909164,884.157656008987,2.97084731080513,0.00305017002654728
"factor(Gender)1",-0.634577128695833,0.329695689580132,869.281569485726,-1.92473589662021,0.0545884860076433
"Edu..Yrs.",-0.201567831483842,0.0598241442691625,881.264834096747,-3.36933915137913,0.000786189849301122
"group1:TIMEpostAV45_ADAS.",-0.20686242841334,0.84194707574604,532.747939283189,-0.245695286998938,0.806012743627626
"group2:TIMEpostAV45_ADAS.",0.56865351075165,0.447754435675013,620.004782640877,1.27001200980706,0.20455677312833
"group3:TIMEpostAV45_ADAS.",1.20475246100915,0.487438596591055,653.833806941326,2.47159841144032,0.0137046733765809
"group4:TIMEpostAV45_ADAS.",0.212451006039713,0.540697235012111,572.850525423088,0.392920459515489,0.694524401286625
"group5:TIMEpostAV45_ADAS.",0.849378827399619,0.558997967038281,672.134517065676,1.51946675566613,0.12911528609258
"group6:TIMEpostAV45_ADAS.",0.52101436713107,0.391090462192134,633.478698531505,1.33220934156944,0.18327046091242
"group9:TIMEpostAV45_ADAS.",0.297857461867306,0.418872952660275,597.066966422167,0.71109261167522,0.477304542575698
"group19:TIMEpostAV45_ADAS.",0.891146303003593,0.454868536984119,622.960619446697,1.95912935397135,0.050543273298699
"group22:TIMEpostAV45_ADAS.",0.506620074768283,0.619611262867901,649.860654663656,0.817641810485121,0.413861416997126
"group25:TIMEpostAV45_ADAS.",0.318033238343853,0.777592054162285,844.788950088022,0.408997541373383,0.68264512974492
"group29:TIMEpostAV45_ADAS.",0.929309694154323,0.505167174211319,614.872661349379,1.83960823583834,0.0663076703430778
"group34:TIMEpostAV45_ADAS.",0.721936321316607,0.529215344459358,616.590785126008,1.36416362237972,0.173013792595861
"group56:TIMEpostAV45_ADAS.",2.17114968962347,1.03084367943141,576.595226236858,2.10618712899421,0.0356197040655992
"TIMEpostAV45_ADAS.:factor(diag_prior)EMCI",-2.55212926427853,0.383565749979727,1685.32144910266,-6.65369435204635,3.85280696235668e-11
"TIMEpostAV45_ADAS.:factor(diag_prior)LMCI",-1.44219972074206,0.379176699276289,1768.05136157884,-3.80350301981819,0.000147512175633358
"TIMEpostAV45_ADAS.:factor(diag_prior)N",-2.42065715007578,0.396176494992748,1622.92769939087,-6.1100473669446,1.24446941640599e-09
"TIMEpostAV45_ADAS.:factor(diag_prior)SMC",-2.76213175174831,0.466101087335624,1606.46106059382,-5.92603584672478,3.7898963967109e-09
"TIMEpostAV45_ADAS.:factor(APOE4_BIN)1",0.248805653272415,0.170353390433168,627.027289693314,1.460526571498,0.144646281841132
"TIMEpostAV45_ADAS.:CORTICAL_SUMMARY_prior",2.0879406383471,0.391450806530896,718.51444469936,5.33385192599496,1.28955490064087e-07
