"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.168180625030643,2.97889589039546,339.880241760667,0.056457369179262,0.955010630267497
"group1",0.65388123903484,1.81900362715752,314.436591530764,0.359472201854063,0.719483159534184
"group2",0.419265543170803,1.04656653693449,337.374053207993,0.40061049954729,0.688960484215782
"group3",-0.241755469064975,1.09152424667451,329.48756199055,-0.221484286585038,0.824852571752385
"group4",-0.0401312119013814,1.1012299530713,313.400454732488,-0.0364421724903654,0.970952988279301
"group5",0.212520894940576,1.33508579292676,320.014859725327,0.159181451908563,0.873626330735735
"group6",-1.09648284821692,0.921292825665777,323.412192239699,-1.19015672071965,0.23485770130969
"group9",1.48954114035954,1.11360547203786,334.036684802073,1.33758425022259,0.181941992605091
"group19",0.655320049939466,1.11028052187475,336.978053563693,0.590229259208234,0.55543254603412
"group22",0.683221661151639,1.22031139319006,337.829314664217,0.559874852405994,0.575935835788843
"group25",-0.112538032985203,1.3983002569809,353.011520597658,-0.0804820226724313,0.935899500784362
"group29",0.240396452084011,1.19654395372042,333.975039990021,0.200909002411944,0.840892025944457
"group34",-0.545600564086221,1.23040139563742,333.973923443487,-0.443432985382439,0.657739703307343
"group56",0.0188503115257558,3.03714130682249,321.780492801999,0.00620659680318835,0.995051730061403
"TIMEpostAV45_ADAS.",-0.729166595971581,1.28050023607218,395.011430403472,-0.569438861025309,0.569382016266289
"factor(APOE4_BIN)1",-0.0950381194874527,0.38372494590765,315.967338371774,-0.247672507354592,0.804548673379741
"CORTICAL_SUMMARY_prior",2.01272538867677,1.07306007379924,335.567558993075,1.87568752003844,0.0615662274007553
"Age.AV45",0.0713905383085076,0.0253461881872199,319.546423295123,2.8166183325548,0.00515503510531734
"factor(Gender)1",-1.47633122059046,0.321233394017809,312.844649808122,-4.5958211321847,6.2611757194464e-06
"Edu..Yrs.",-0.108917351782436,0.0591783324941108,313.067049444513,-1.84049376168677,0.0666420789438988
"group1:TIMEpostAV45_ADAS.",0.928030587957052,1.02128566854115,338.296497416113,0.908688544785606,0.364161440936921
"group2:TIMEpostAV45_ADAS.",0.240909001209909,0.6862188541716,441.674753343816,0.351067301263141,0.725705254250496
"group3:TIMEpostAV45_ADAS.",0.430425592118443,0.67748302557524,401.583131329347,0.635330444999675,0.52557476372539
"group4:TIMEpostAV45_ADAS.",0.415092370459613,0.679732172904875,390.37334342279,0.610670477293566,0.541773124880881
"group5:TIMEpostAV45_ADAS.",0.680610288518895,0.854435389642755,368.147303346298,0.796561444866489,0.426219152678498
"group6:TIMEpostAV45_ADAS.",1.67989889458793,0.580364958797949,416.745914273396,2.89455603602832,0.00399647808463977
"group9:TIMEpostAV45_ADAS.",0.544596337564939,0.664514400618434,352.129330758604,0.819540309522424,0.413032560300711
"group19:TIMEpostAV45_ADAS.",0.295682587761456,0.727558371515354,424.804168770611,0.406403938622286,0.684650482309682
"group22:TIMEpostAV45_ADAS.",0.326484025085233,0.77709056109241,446.12363408236,0.420136392631344,0.674588093028267
"group25:TIMEpostAV45_ADAS.",0.645382904456013,0.936817935581582,576.739616810041,0.688909637554447,0.491157170804565
"group29:TIMEpostAV45_ADAS.",0.260089817260523,0.779202887423968,424.237770875267,0.333789596340404,0.738703259497189
"group34:TIMEpostAV45_ADAS.",0.716200311024342,0.809105020334538,483.18009660926,0.885175957415537,0.376502022991057
"group56:TIMEpostAV45_ADAS.",4.09503016100916,2.00200075093182,588.475270506218,2.0454688436571,0.0412527827939155
"TIMEpostAV45_ADAS.:factor(APOE4_BIN)1",0.149430403475647,0.225087447824441,359.535363048271,0.663877106075666,0.507194455858897
"TIMEpostAV45_ADAS.:CORTICAL_SUMMARY_prior",0.36690356599682,0.667265136478069,370.716694740947,0.549861735521497,0.582745322409673
