"","Sum Sq","Mean Sq","NumDF","DenDF","F.value","Pr(>F)"
"group",1969.40892567525,151.492994282712,13,966.454840675588,5.64024081726822,5.08815878319524e-10
"TIMEpostAV45_AVLT.",346.043512610577,346.043512610577,1,1355.79796500233,12.8835577751847,0.000343299555559673
"factor(diag_prior)",10798.2901372116,2699.57253430291,4,996.031497923584,100.507876745354,0
"factor(APOE4_BIN)",12.7658980427232,12.7658980427232,1,964.27683600954,0.475287583762999,0.490730497064907
"Age.AV45",1195.64046094864,1195.64046094864,1,960.995692210504,44.5149306246797,4.25663948533384e-11
"factor(Gender)",2041.04728498849,2041.04728498849,1,956.495986628304,75.9903008140641,0
"Edu..Yrs.",842.169964223122,842.169964223122,1,960.092772882174,31.3548585515722,2.80531271545925e-08
"group:TIMEpostAV45_AVLT.",2597.91770375401,199.839823365693,13,610.778137518169,7.44024325348938,1.08024700296028e-13
"TIMEpostAV45_AVLT.:factor(diag_prior)",298.490784482624,74.6226961206559,4,914.988722226857,2.77828013465015,0.0259173492641247
"TIMEpostAV45_AVLT.:factor(APOE4_BIN)",11.8466108277827,11.8466108277827,1,609.768912439252,0.441061570229831,0.506861564395368
