"","Sum Sq","Mean Sq","NumDF","DenDF","F.value","Pr(>F)"
"group",272.456174263432,20.9581672510333,13,332.114059356205,0.65361981404625,0.807561802482212
"TIMEpostAV45_AVLT.",37.5071253990461,37.5071253990461,1,251.840567089818,1.16973015985094,0.280491233124544
"factor(APOE4_BIN)",17.9397012807974,17.9397012807974,1,327.400050522501,0.559483282805751,0.455005444090406
"CORTICAL_SUMMARY_prior",13.2659277075528,13.2659277075528,1,340.783267123952,0.41372287459602,0.520518511665018
"Age.AV45",545.728306871487,545.728306871487,1,328.318271860205,17.0195623588952,4.69373620766156e-05
"factor(Gender)",956.638130604995,956.638130604995,1,323.994649845725,29.8345570748684,9.38856452581405e-08
"Edu..Yrs.",556.676693387713,556.676693387713,1,324.162970679842,17.3610083581149,3.96907846146322e-05
"group:TIMEpostAV45_AVLT.",591.463953706032,45.4972272081563,13,242.978607339979,1.41891649356644,0.150904682410904
"TIMEpostAV45_AVLT.:factor(APOE4_BIN)",2.27253398630352,2.27253398630352,1,221.60980915924,0.0708732411450843,0.790317085833663
"TIMEpostAV45_AVLT.:CORTICAL_SUMMARY_prior",49.7163280458826,49.7163280458826,1,246.850376990263,1.55049707845089,0.214242798264171
