"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",52.5158855797059,7.76481371940189,333.787621248446,6.76331557684182,6.04931660319608e-11
"group1",2.81123750552699,5.84597466134981,326.222603116843,0.480884312433521,0.630921077963038
"group2",3.20635771908534,2.61419254345295,337.015368781722,1.22651934231678,0.220859525951545
"group3",-2.13870501687651,3.56739884902679,337.713732933195,-0.599513849554548,0.549232269054145
"group4",1.55544993927662,3.44515390395355,323.088081652396,0.451489246239953,0.651939883051845
"group5",-1.87330013716153,4.1022747850015,328.840939366232,-0.456649111856325,0.64822475067846
"group6",1.41064392396547,3.02911595103786,333.666996665434,0.465694924448878,0.641737711349168
"group9",3.01859760188113,3.7096931579343,336.449342211105,0.813705466562632,0.416389190201521
"group19",1.4594087511536,2.4890018844082,334.763992365735,0.586342967554882,0.558040204393929
"group22",0.556196394100729,3.57720479793384,339.841018623678,0.155483520099823,0.876532455312596
"group25",0.365364194192952,4.29137908648118,352.89839154115,0.0851391095566301,0.932199078209823
"group29",2.99346580425704,2.75836693912439,332.231101011167,1.08523117856368,0.278606111218682
"group34",5.81059967902926,3.44249590911679,337.200167250228,1.6879031471442,0.0923544485458805
"group56",-9.80715856212908,9.59086960615882,331.821050940876,-1.02255154796718,0.307264832831248
"TIMEpostAV45_AVLT.",-1.13508328431543,0.981931999054149,407.968270088048,-1.15596933943369,0.248370202550177
"APOE4_BIN1",-0.960405254490868,1.2712578398008,328.386711576257,-0.755476367124201,0.450504732877512
"Age.AV45",-0.346223956737203,0.0832983997658853,329.372745605619,-4.15642986792404,4.12573098802493e-05
"Gender1",5.76928435586831,1.05852455848631,325.01533325531,5.45030751494173,9.95676832094006e-08
"Edu..Yrs.",0.817991231077362,0.194861811494471,324.976918132119,4.19780163595868,3.48310196232049e-05
"group1:TIMEpostAV45_AVLT.",3.48227061207915,1.95365368954945,243.004177870481,1.78244006637749,0.0759259479263288
"group2:TIMEpostAV45_AVLT.",0.789365235451038,1.06990805758866,384.771618155051,0.737787915374799,0.461093041185643
"group3:TIMEpostAV45_AVLT.",1.38176852399881,1.3772083733134,270.229410843018,1.00331115521353,0.316608309066677
"group4:TIMEpostAV45_AVLT.",0.298927515915133,1.28209966702388,256.464043594103,0.233154663091855,0.815827287212868
"group5:TIMEpostAV45_AVLT.",-1.64423420463977,1.60914278341631,236.959063000973,-1.02180752484187,0.307914059239534
"group6:TIMEpostAV45_AVLT.",-0.149815500964312,1.19740450695339,311.019936338962,-0.125116867436464,0.900511860794987
"group9:TIMEpostAV45_AVLT.",-1.46733857915913,1.30120446693282,219.034126197029,-1.12767717637638,0.260690040446275
"group19:TIMEpostAV45_AVLT.",1.6647206862781,1.01961450150322,378.916955702375,1.63269616489742,0.103363582743117
"group22:TIMEpostAV45_AVLT.",1.00329939149755,1.39354078934598,340.192048141048,0.719964136800347,0.472041424826976
"group25:TIMEpostAV45_AVLT.",4.93417496193754,1.9259443383427,664.005643820076,2.56195096800329,0.0106281710414835
"group29:TIMEpostAV45_AVLT.",2.11402788238471,1.09715826386963,341.765447933123,1.92682127273838,0.0548307297234314
"group34:TIMEpostAV45_AVLT.",0.48461788715728,1.45131735582547,498.98983714623,0.333915862862153,0.738583331954724
"group56:TIMEpostAV45_AVLT.",-1.729108640832,4.22291761890916,707.64702332658,-0.409458293263759,0.682327274259131
"TIMEpostAV45_AVLT.:APOE4_BIN1",0.138798076194968,0.450075572229117,220.236352908985,0.308388379106057,0.758078315106094
