"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",1.39513484316331,0.346862526366514,498.395223110849,4.02215499546103,6.66097616095485e-05
"group1",0.0580400878406847,0.297440209750631,482.119902257387,0.195131949003615,0.84537185666271
"group2",0.147810234952275,0.128737554211409,491.620883277072,1.14815164741708,0.251464331495347
"group3",-0.295077723056971,0.149414599320046,498.260411047363,-1.97489217519443,0.0488319847255738
"group4",0.0296181964328167,0.1830459036575,496.803065141389,0.161807480205817,0.871523246548823
"group5",-0.11296572962255,0.15313264472786,499.045594740234,-0.737698547708802,0.46104437483179
"group6",-0.287256411613274,0.115944640460076,495.168793983342,-2.47753074634085,0.0135620559702525
"group9",-0.059993258443942,0.130910342698767,492.621171752172,-0.458277453157315,0.646955213316356
"group19",0.0629518395939976,0.120987777756002,492.471496413995,0.52031569437496,0.603077384184318
"group22",-0.271880549957782,0.208740545746919,509.01162209535,-1.30248078534495,0.193341078133866
"group25",0.4852408350277,0.253049901179686,507.03217434183,1.91756974717465,0.055727094674662
"group29",0.213308391150386,0.142677187501345,493.830583331299,1.49504202378797,0.135542202546831
"group34",0.617359497802314,0.151847150559789,498.457883215178,4.06566402811247,5.56503080046955e-05
"group56",-0.0164047522254382,0.276493964635834,511.992242477647,-0.0593313211991612,0.952711364599694
"UW_MEM_postAV45_",-0.0324859942898137,0.0332299768964918,360.165613649868,-0.977611100693945,0.32892288290855
"APOE4_BIN1",-0.105719651469348,0.057257168859705,498.518572277627,-1.84640025999869,0.0654266646153416
"Age.AV45",-0.0197563321117914,0.00346480484038405,500.001674219178,-5.70200430382727,2.027383039227e-08
"Gender1",0.223222821269521,0.0523553905992408,496.576851676131,4.26360721817933,2.40834112323896e-05
"Edu..Yrs.",0.0206480443286831,0.00935342996356991,499.490095567839,2.20753717182936,0.0277303610995121
"group1:UW_MEM_postAV45_",0.106586550035928,0.0829694000502012,349.040522693142,1.28464891841374,0.199766908328944
"group2:UW_MEM_postAV45_",0.043955485950505,0.0380585782656139,347.807530859386,1.15494293149198,0.248906657419499
"group3:UW_MEM_postAV45_",-0.189544748971099,0.0463908184735961,373.550588631484,-4.08582463529891,5.37815297974031e-05
"group4:UW_MEM_postAV45_",0.0529247227002172,0.0556931554530415,333.62550073297,0.950291328794279,0.3426521333302
"group5:UW_MEM_postAV45_",-0.230680346521782,0.0474303721169382,391.850705882631,-4.86355759455242,1.67259889494176e-06
"group6:UW_MEM_postAV45_",-0.134199828615376,0.0355747704261116,374.874764283537,-3.77233154305543,0.00018789011289666
"group9:UW_MEM_postAV45_",-0.104056721158135,0.0395198745757991,367.444974000377,-2.63302255574101,0.00882012625776474
"group19:UW_MEM_postAV45_",0.0603812151092699,0.0360363148157858,358.592813942052,1.67556575687422,0.0946949628303164
"group22:UW_MEM_postAV45_",0.0650969506499501,0.0662456933506066,373.872715678162,0.982659360291139,0.326410581091488
"group25:UW_MEM_postAV45_",-0.00236887461374843,0.0905117765928039,564.249521832529,-0.0261720043835353,0.979129398825819
"group29:UW_MEM_postAV45_",0.0128722793412994,0.0418891771264196,353.307906285021,0.307293678805182,0.758800896108126
"group34:UW_MEM_postAV45_",-0.0316574537653022,0.0459361849777678,342.195148196608,-0.689161578842993,0.491188608161836
"group56:UW_MEM_postAV45_",-0.0018771838389205,0.0842937817127148,365.727166385546,-0.0222695411307824,0.982245090377188
"UW_MEM_postAV45_:APOE4_BIN1",-0.019895152251332,0.017265564472753,384.45715633092,-1.15230245050655,0.249912811170062
