"","Sum Sq","Mean Sq","NumDF","DenDF","F.value","Pr(>F)"
"group",11.0381007355217,0.849084671963206,13,966.519323802157,6.78589163232699,1.31106236977985e-12
"UW_EF_postAV45_",1.7969427385722,1.7969427385722,1,1180.14500200844,14.3611810412899,0.000158498371367388
"factor(diag_prior)",33.0650199155248,8.26625497888121,4,987.481149022841,66.0639772970746,0
"factor(APOE4_BIN)",0.118571523374874,0.118571523374874,1,966.016308866476,0.947624583118946,0.330568365391983
"Age.AV45",10.3171913951055,10.3171913951055,1,967.975306063503,82.4550778843839,0
"factor(Gender)",0.160534735848984,0.160534735848984,1,964.441645889667,1.282994919902,0.257624438169665
"Edu..Yrs.",3.72853481106524,3.72853481106524,1,966.4449275227,29.7984806588806,6.09432133646948e-08
"group:UW_EF_postAV45_",12.0917381916149,0.930133707047298,13,569.208520930745,7.43363618260095,1.33226762955019e-13
"UW_EF_postAV45_:factor(diag_prior)",4.31936357596261,1.07984089399065,4,838.642564468846,8.63009724322664,7.92732711696331e-07
"UW_EF_postAV45_:factor(APOE4_BIN)",0.0503618909762446,0.0503618909762446,1,579.816228929522,0.402492643959391,0.526054979792211
