"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.820722209431305,0.321356806535235,973.951129173379,2.55392819676068,0.0108028053889369
"group1",0.221115327075899,0.278081900840895,935.02278375904,0.795144618931563,0.426731173673177
"group2",0.122110838240808,0.118816410770449,955.814666852268,1.02772704081025,0.304338249913606
"group3",-0.453928210451034,0.137481028442091,962.597368573763,-3.30175163507912,0.000996170135290519
"group4",-0.00533736243882324,0.162742441105502,956.194162629941,-0.0327963769165977,0.973843811875872
"group5",-0.541006435824361,0.144634530301624,968.773478687135,-3.74050674272688,0.000194430281471814
"group6",-0.129966721659505,0.112846688874778,960.087744192732,-1.151710546011,0.249726752255055
"group9",0.132540636179251,0.127406468166369,955.610790632738,1.04029754600981,0.298464811088837
"group19",0.120481734422541,0.111914774357809,955.77931466117,1.07654896428011,0.281953469609303
"group22",0.0870119311161492,0.175679908074021,985.439041104025,0.495286752310273,0.620508140977385
"group25",0.200886734262721,0.207023812234493,993.287955154668,0.970355690461247,0.332105450156678
"group29",0.348132894366726,0.128609678360941,955.310796835344,2.70689499269018,0.00691272943039678
"group34",0.307508937920058,0.147035711611905,959.802586085293,2.09138946279742,0.0367555657456415
"group56",-0.531325555439286,0.302803424180693,973.96651452241,-1.75468806826381,0.0796271004809472
"UW_EF_postAV45_",-0.155312463935458,0.0521067675530388,1382.25762510396,-2.98065819909799,0.00292656879499642
"factor(diag_prior)EMCI",0.942802385091819,0.0791254929676267,1009.73894080152,11.9152797629654,0
"factor(diag_prior)LMCI",0.625724904365892,0.078573248750523,1023.14937658299,7.96358702632525,4.44089209850063e-15
"factor(diag_prior)N",1.30238170433313,0.0841781761677501,1018.75981612492,15.4717263265213,0
"factor(diag_prior)SMC",1.15313333256979,0.102784166978798,1022.36337285674,11.2189782382305,0
"factor(APOE4_BIN)1",-0.0504996850973308,0.0518764790082833,966.016425062255,-0.973460151165374,0.33056834424916
"Age.AV45",-0.0289845741265827,0.00319196566812909,967.975646620537,-9.08047803144808,0
"factor(Gender)1",0.0528621140909149,0.0466693822697768,964.442004596938,1.13269367452392,0.257624430576187
"Edu..Yrs.",0.0461246740741167,0.00844960199872935,966.445309847205,5.45879842400304,6.09432206921667e-08
"group1:UW_EF_postAV45_",0.0625678511058189,0.0758022543775742,503.278318270378,0.825408843306504,0.409530588556711
"group2:UW_EF_postAV45_",0.056328239922274,0.0365576254507496,526.935692037777,1.54080685569032,0.123964083185534
"group3:UW_EF_postAV45_",-0.153983553647525,0.0452003507114667,536.342737960944,-3.40668935580761,0.000706878463781369
"group4:UW_EF_postAV45_",-0.0190986942018699,0.0506071059175106,510.349693119538,-0.377391551158858,0.706039531071486
"group5:UW_EF_postAV45_",-0.0903788645710233,0.0488240636242274,577.147258181868,-1.85111311640548,0.0646639586318325
"group6:UW_EF_postAV45_",-0.128798152680041,0.0359311914812908,544.996022020776,-3.58457783809106,0.000367922412851884
"group9:UW_EF_postAV45_",-0.0856970570940039,0.03956350929386,513.269784528883,-2.16606308751543,0.0307660247528192
"group19:UW_EF_postAV45_",0.0334663180200425,0.0347204253997902,533.341211074533,0.963879838299582,0.335542992840391
"group22:UW_EF_postAV45_",-0.00556062176774364,0.056880809466889,660.617943567428,-0.0977591883775941,0.922153167462167
"group25:UW_EF_postAV45_",0.0624458382369525,0.0805208680456881,1104.88533407804,0.775523659301838,0.438196244272695
"group29:UW_EF_postAV45_",0.047253350136927,0.0391373378609586,529.160333224177,1.20737261958904,0.227828067289452
"group34:UW_EF_postAV45_",-0.0745495663593822,0.0458540025855068,505.501375440751,-1.62580281231426,0.104614835771198
"group56:UW_EF_postAV45_",0.199147684656869,0.0901211199457485,523.189262820927,2.20977818270293,0.0275528026427105
"UW_EF_postAV45_:factor(diag_prior)EMCI",0.163240427037251,0.0416156369859777,2335.46486984945,3.92257427399837,9.01357177116591e-05
"UW_EF_postAV45_:factor(diag_prior)LMCI",0.0775055526928294,0.0417507853203459,2373.77409405888,1.85638550504246,0.0635224525303992
"UW_EF_postAV45_:factor(diag_prior)N",0.105249457847315,0.0429449679553949,2239.42040597822,2.45079837890747,0.0143299556291432
"UW_EF_postAV45_:factor(diag_prior)SMC",0.159974024017196,0.0511889253426628,2327.42767200214,3.12516863650326,0.00179894182186002
"UW_EF_postAV45_:factor(APOE4_BIN)1",0.0104410974872652,0.01645762465779,579.816293775967,0.634423114171767,0.526054957239777
