"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",1.34826527048506,0.368896780436972,980.969743518497,3.65485778674454,0.000270970484755662
"group1",0.126713710826266,0.278721915078247,934.329605097742,0.454624139586199,0.64948526799741
"group2",-0.0624185748009133,0.134205325294068,959.249472432101,-0.465097600740828,0.641967123887944
"group3",-0.352282756989049,0.141283882536278,960.696503996249,-2.49343910051872,0.0128185262373939
"group4",-0.0894350015696311,0.164373948029967,954.567291826222,-0.544094746409123,0.586503335440163
"group5",-0.359550701905632,0.157625857584399,970.267086007719,-2.28103883091081,0.0227621708334822
"group6",-0.0488276210593011,0.116035712012967,959.524449280712,-0.420798219894964,0.673996660622739
"group9",0.137120852925338,0.126910033858631,954.448314407546,1.0804571455562,0.280211594388617
"group19",-0.0999336492619772,0.134695095591497,960.578112567715,-0.741924929212389,0.458314183017237
"group22",-0.0615441921439636,0.182235210092263,982.542793814019,-0.337718447015836,0.735647509740988
"group25",0.0630576562463158,0.211423159536997,991.102153924341,0.298253305760863,0.765572354533127
"group29",0.112321168704903,0.151446943011002,958.335400946202,0.741653588192556,0.458478956071093
"group34",0.135593226359281,0.157903185135944,961.060799465358,0.858711154195805,0.390714011728052
"group56",-0.786461988438397,0.314028108427005,972.031025124972,-2.50443182420152,0.0124276356960091
"UW_EF_postAV45_",0.0811277621545552,0.0872097673050129,794.864356973493,0.930260046111737,0.352518891197407
"factor(diag_prior)EMCI",0.888854384906627,0.0811388769182656,1007.24089724623,10.9547287153359,0
"factor(diag_prior)LMCI",0.597308064835106,0.0790115519615898,1021.94541629037,7.55975613699473,8.97060203897126e-14
"factor(diag_prior)N",1.24763244909848,0.08615208119962,1015.99347327213,14.4817447440142,0
"factor(diag_prior)SMC",1.09803757713847,0.104229352437673,1020.30433652081,10.5348210600759,0
"factor(APOE4_BIN)1",-0.0383482739463994,0.0518326999086514,965.518113712922,-0.739847123803765,0.459572610225053
"CORTICAL_SUMMARY_prior",-0.313234940307633,0.108744500900489,976.212549255278,-2.88046694512186,0.0040577246635185
"Age.AV45",-0.0286444255877956,0.00317550294567838,966.674705227625,-9.02043741662358,0
"factor(Gender)1",0.0558132125004274,0.0464067707790384,962.984664727018,1.20269545937977,0.229389814288632
"Edu..Yrs.",0.0472736809316622,0.00840729147903404,964.668116914853,5.62293826133571,2.45795943598637e-08
"group1:UW_EF_postAV45_",0.030151798471609,0.0759628254755462,498.438076230485,0.396928343342302,0.691590199377462
"group2:UW_EF_postAV45_",-0.0170005679247205,0.042355639123113,522.481165598448,-0.401376729915603,0.688306887515908
"group3:UW_EF_postAV45_",-0.115745912935154,0.0463548707463022,537.246115252985,-2.49695255475147,0.0128248523427863
"group4:UW_EF_postAV45_",-0.0460198259375825,0.0509120941330674,494.402347120373,-0.903907543408094,0.366484645304259
"group5:UW_EF_postAV45_",-0.00968408465107499,0.054165521350561,601.256314907323,-0.178786881573599,0.858165272761205
"group6:UW_EF_postAV45_",-0.0937024982993698,0.0372914728443569,573.276093699925,-2.51270575153883,0.0122542523339528
"group9:UW_EF_postAV45_",-0.0839321473112814,0.0393504746874975,511.279936302245,-2.13293862343034,0.0334053822691958
"group19:UW_EF_postAV45_",-0.0534592285825316,0.0430741804550124,528.05657232864,-1.24109682454355,0.215121039841188
"group22:UW_EF_postAV45_",-0.0639843197639354,0.059221956225897,641.354295808179,-1.08041550535536,0.28036329969204
"group25:UW_EF_postAV45_",0.00899395059700243,0.0816723492961739,1064.55281537315,0.11012234464307,0.912333103218201
"group29:UW_EF_postAV45_",-0.0457431378022331,0.0476962817591885,525.771678958041,-0.959050393764099,0.337974164735269
"group34:UW_EF_postAV45_",-0.143407922700018,0.0500107620705648,510.384035069859,-2.86754124037683,0.00430782536299512
"group56:UW_EF_postAV45_",0.099086906291066,0.0943357895282631,521.590348763218,1.0503638840207,0.294037249566966
"UW_EF_postAV45_:factor(diag_prior)EMCI",0.135940165139105,0.0422570578745551,2257.91306692475,3.21698130387257,0.00131379797331954
"UW_EF_postAV45_:factor(diag_prior)LMCI",0.0591344602856698,0.0419764148053287,2358.05359044578,1.40875442936024,0.159039636515009
"UW_EF_postAV45_:factor(diag_prior)N",0.0769666248233524,0.0435928748202823,2175.58054500994,1.76557809368292,0.0776069081301636
"UW_EF_postAV45_:factor(diag_prior)SMC",0.133759118298312,0.0516122384150686,2283.53879386466,2.59161629888271,0.00961348985501376
"UW_EF_postAV45_:factor(APOE4_BIN)1",0.0140155142978243,0.0164085084848266,580.344815172846,0.854161382845058,0.39336801465504
"UW_EF_postAV45_:CORTICAL_SUMMARY_prior",-0.12756792232006,0.038002170864971,651.301925880654,-3.35685881665374,0.000834192930269317
