"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.521126012018668,0.269934393457629,976.220729851519,1.93056544348976,0.0538261666522319
"group1",-0.0451099245527091,0.203322905302906,932.071599781529,-0.22186346631977,0.824468771309836
"group2",-0.0298379523063953,0.0980168466598969,961.534816239382,-0.304416570448632,0.760876415212377
"group3",-0.0715020002458669,0.102855482303684,963.76743496538,-0.695169558728578,0.487116615593531
"group4",-0.132227957613453,0.120040484478591,956.04663197904,-1.10152802354805,0.270944151643273
"group5",-0.0508499550035645,0.115144893884492,973.359377644145,-0.441617107698888,0.658864389996741
"group6",-0.0602957812720821,0.0847467033061233,961.344786853848,-0.711482322259555,0.476958001817422
"group9",-0.0318492234226902,0.0926570863371974,954.890867602909,-0.343732192341821,0.731123369554938
"group19",-0.19068986069018,0.0983652566329353,963.013890905556,-1.93858957133379,0.0528432477055738
"group22",-0.259601307359302,0.133132359211208,985.434338878718,-1.94994897482029,0.0514654866770925
"group25",0.0139048557482594,0.154633932771889,998.870963334041,0.0899211156245467,0.928367928112362
"group29",-0.0433863668184578,0.110599556910412,960.158383937419,-0.392283369214594,0.694935910598975
"group34",0.349448456928928,0.115340190219958,963.483114925646,3.02971979032214,0.00251312099267675
"group56",-0.498283337574524,0.229374783761925,973.908160714186,-2.17235447333089,0.0300695427333635
"UW_MEM_postAV45_",0.176687028386825,0.0718002722629574,859.762880321717,2.46081279106765,0.0140578255577282
"factor(diag_prior)EMCI",0.889231517127047,0.0593505977793232,1016.24726609769,14.9826884715362,0
"factor(diag_prior)LMCI",0.468405974285653,0.0577515425284379,1032.89483398966,8.1107093209675,1.33226762955019e-15
"factor(diag_prior)N",1.25387958841847,0.0630449511079086,1026.19352609326,19.8886598590951,0
"factor(diag_prior)SMC",1.19591678038629,0.0762758148825838,1030.80398307084,15.6788463319237,0
"factor(APOE4_BIN)1",-0.027359507460355,0.0378445571036775,966.61048637387,-0.722944316283104,0.469888980980451
"CORTICAL_SUMMARY_prior",-0.327812753137925,0.0794403371292478,980.513385626698,-4.12652771858936,3.99562747133153e-05
"Age.AV45",-0.0133522825698086,0.00232816760644401,964.757277665437,-5.73510366386489,1.3032739332175e-08
"factor(Gender)1",0.243405178608638,0.034014991187308,961.460540869306,7.15582071646868,1.64868119156836e-12
"Edu..Yrs.",0.0328468835891685,0.00615821597957646,962.46277372622,5.33383104751509,1.19891014893625e-07
"group1:UW_MEM_postAV45_",0.06830383841676,0.0638887063645923,544.232276147918,1.0691066121604,0.285495582105711
"group2:UW_MEM_postAV45_",-0.0479659924159012,0.0353920460300132,597.801440969084,-1.35527605200403,0.175841470568878
"group3:UW_MEM_postAV45_",-0.0788519480283325,0.0386024408877587,615.52021992277,-2.04266741208423,0.0415108715758845
"group4:UW_MEM_postAV45_",0.00861963983374931,0.0427596525944896,560.447938006483,0.201583486084265,0.840315499703834
"group5:UW_MEM_postAV45_",-0.0739852471665655,0.0450213370772732,679.65357249909,-1.64333740332011,0.100775637915744
"group6:UW_MEM_postAV45_",-0.0517435674150026,0.0310170766068385,634.569913733677,-1.66822837854405,0.0957637139010854
"group9:UW_MEM_postAV45_",-0.0918893177098166,0.0328523370422028,578.105653820327,-2.79704051470596,0.00532900953884718
"group19:UW_MEM_postAV45_",-0.0525839946080554,0.0359330205294856,600.727884403171,-1.46338921229588,0.14388393185037
"group22:UW_MEM_postAV45_",-0.014936943107636,0.0489691036446696,662.699583424067,-0.305027905269039,0.760440673162122
"group25:UW_MEM_postAV45_",0.00514739487273965,0.0673295805002366,1098.69611854519,0.076450719497971,0.939074437934545
"group29:UW_MEM_postAV45_",-0.0668387446928634,0.0398290191101588,597.121755113037,-1.67814187208581,0.0938426523187119
"group34:UW_MEM_postAV45_",-0.124136620496927,0.0417396439225761,583.250540296564,-2.97406994480334,0.00306027259960029
"group56:UW_MEM_postAV45_",-0.157863000056113,0.0789555708228028,567.330927909706,-1.99939026988227,0.0460425747975062
"UW_MEM_postAV45_:factor(diag_prior)EMCI",0.0602788291964612,0.0338100392633725,2209.3764111248,1.78286776678675,0.0747450922286192
"UW_MEM_postAV45_:factor(diag_prior)LMCI",-0.00529734918267015,0.0335261900545557,2309.79241123504,-0.158006298182108,0.874465647486477
"UW_MEM_postAV45_:factor(diag_prior)N",0.0483892448031537,0.0349476120718368,2133.46025243923,1.38462235141236,0.166312760375246
"UW_MEM_postAV45_:factor(diag_prior)SMC",0.0352609966569419,0.0413338702238679,2202.78302077158,0.853077547927771,0.393709049382355
"UW_MEM_postAV45_:factor(APOE4_BIN)1",-0.0107665102002686,0.013655763022931,641.185446356344,-0.788422454475028,0.430741034357155
"UW_MEM_postAV45_:CORTICAL_SUMMARY_prior",-0.154746103471641,0.0315330671291389,711.017463971574,-4.90742314529384,1.1451018440134e-06
