"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",1.70294653212967,0.53701307149385,339.741563116216,3.17114540134461,0.00165668200594404
"group1",0.0686952348784916,0.32891485926558,321.757073669515,0.208854154634054,0.834694251311667
"group2",0.0566383420866976,0.187388481936173,333.695212610899,0.302250925465042,0.762649085961252
"group3",-0.0464637346619957,0.195669508318422,328.484807611574,-0.237460271972387,0.812447770289223
"group4",-0.0326567537153802,0.199348798132473,323.03498844687,-0.163817158775539,0.869977528635785
"group5",-0.266132676125644,0.241919393511403,334.488614575242,-1.10008822468836,0.272084770017149
"group6",0.0413243768434158,0.165973970130014,327.449448158917,0.248981071013996,0.803531518097448
"group9",0.0462390639412453,0.199497348271982,330.718879070742,0.231777837358549,0.816853916359339
"group19",-0.0712188538956173,0.198796387628871,333.709750288588,-0.358250241591786,0.720382562234914
"group22",-0.120690457638687,0.218315691910204,332.4001544513,-0.552825390528174,0.5807545546883
"group25",-0.127138079362647,0.248803051002216,340.708990933442,-0.510998875819712,0.609682801000773
"group29",0.0262490725125856,0.214506108307875,332.092193410535,0.122369813706708,0.902680161304197
"group34",0.361878011339225,0.220591727379886,331.302724733307,1.64048768119044,0.101852835530829
"group56",-0.65822787266034,0.547527104364861,324.753301922416,-1.20218317488391,0.230168414028306
"UW_MEM_postAV45_",0.162884505236316,0.137509072391399,257.351628350516,1.18453642660529,0.237293581255254
"factor(APOE4_BIN)1",-0.0269442460406584,0.0695356482390886,326.860221728138,-0.387488241254535,0.698646984147697
"CORTICAL_SUMMARY_prior",-0.180335202687352,0.192301668139975,333.783928326606,-0.937772430325914,0.349039421518362
"Age.AV45",-0.0186233745127755,0.00460167152979181,327.245459861486,-4.04708906148677,6.47661727644078e-05
"factor(Gender)1",0.309553853961698,0.0585048063357721,323.675989029705,5.29108415785704,2.24556005790078e-07
"Edu..Yrs.",0.0424614852468435,0.0107774997789668,323.732670725299,3.93982705800751,9.99163471553377e-05
"group1:UW_MEM_postAV45_",0.0572060514421355,0.104307037281288,197.078093826678,0.548439040482629,0.584011205693989
"group2:UW_MEM_postAV45_",-0.0404670030043038,0.0736609864842162,309.223952237849,-0.54936819252312,0.583149305930698
"group3:UW_MEM_postAV45_",0.102021027282887,0.071088004011287,223.662450443375,1.43513703474765,0.152644941864794
"group4:UW_MEM_postAV45_",0.000660908846507499,0.0733931339829749,245.431390517346,0.00900505007267862,0.992822421968962
"group5:UW_MEM_postAV45_",0.0727609319408308,0.103122586128485,453.254230541849,0.705577067764519,0.480813649837124
"group6:UW_MEM_postAV45_",-0.0535272306315996,0.0616351651883806,282.650268455434,-0.86845278126537,0.3858832911115
"group9:UW_MEM_postAV45_",-0.121312994032358,0.0679623574158571,196.448877565293,-1.78500273747203,0.0758038415657181
"group19:UW_MEM_postAV45_",-0.0322251101058846,0.0779645123767635,288.686897896849,-0.413330490033167,0.679671349307525
"group22:UW_MEM_postAV45_",-0.0426950352917709,0.0821050481496291,295.734360900938,-0.520004996695977,0.603449118120682
"group25:UW_MEM_postAV45_",0.122006696485878,0.106939081469933,495.489414561409,1.1408990502708,0.25446305738508
"group29:UW_MEM_postAV45_",-0.00522407756101624,0.0833114173051848,285.662783413149,-0.0627054217776598,0.950044932054517
"group34:UW_MEM_postAV45_",-0.156278081931877,0.0876089119459758,353.90306417335,-1.78381489349219,0.0753104882092661
"group56:UW_MEM_postAV45_",-0.192731031779348,0.215941010760758,505.278920047616,-0.892517040187774,0.372540716999355
"UW_MEM_postAV45_:factor(APOE4_BIN)1",0.0104358122834426,0.0246284994923241,243.922398717097,0.423729114585119,0.672136788218673
"UW_MEM_postAV45_:CORTICAL_SUMMARY_prior",-0.127703268244978,0.0716354653677969,234.343169277399,-1.78268218946178,0.0759325428741242
