"","Sum Sq","Mean Sq","NumDF","DenDF","F.value","Pr(>F)"
"group",3.4274795973383e-05,2.63652276718331e-06,13,845.983590774328,2.09616627022395,0.0124641214582425
"WMH_postAV45.",3.16297219400394e-05,3.16297219400394e-05,1,630.372174768309,25.1471965622755,6.91358002624654e-07
"factor(diag_prior)",4.91779430097629e-06,1.22944857524407e-06,4,848.552213893294,0.977472550769876,0.418945716051371
"factor(APOE4_BIN)",7.72615957366729e-07,7.72615957366729e-07,1,846.518598174133,0.614267978197332,0.433404584241439
"Age.AV45",9.05712633925662e-05,9.05712633925662e-05,1,842.044362391352,72.0086432547263,1.11022302462516e-16
"factor(Gender)",1.57257942129994e-08,1.57257942129994e-08,1,841.038224118023,0.0125027857950147,0.910996094469753
"Edu..Yrs.",3.37928262908196e-06,3.37928262908196e-06,1,845.075893506496,2.686697172808,0.101561558585226
"group:WMH_postAV45.",2.24165927404256e-05,1.72435328772504e-06,13,483.140646000485,1.37094632546661,0.169263185824538
"WMH_postAV45.:factor(diag_prior)",7.92951215076226e-06,1.98237803769057e-06,4,643.629190645444,1.57608878981124,0.178959088505736
"WMH_postAV45.:factor(APOE4_BIN)",2.40845345659665e-08,2.40845345659665e-08,1,494.55068784901,0.0191483986482533,0.889998214743593
