"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.00969050502694082,0.00293497112642603,845.950176428036,-3.30173777169015,0.00100115182551264
"group1",-0.0021456619878284,0.00237753751731765,844.383439737913,-0.902472399362661,0.367063338901962
"group2",-0.00233658052859372,0.0010502023400817,847.351131957914,-2.22488604282862,0.0263515129940295
"group3",0.000933265900200852,0.00122166709824797,847.332966741661,0.763928161394602,0.4451227173134
"group4",-0.00222972186237212,0.00146175039753524,845.192389872288,-1.52537797570079,0.127538939969635
"group5",-0.00130684987264611,0.001298410220192,846.843308899426,-1.00649998923519,0.314462615283321
"group6",-0.00138835743782506,0.000994388718128182,847.36238086537,-1.39619186392065,0.163022373219193
"group9",-0.00119342981380827,0.00113232604937045,846.004910111369,-1.0539630475443,0.292200747527465
"group19",-0.00300549611617927,0.000990234375590334,846.893694300207,-3.03513611551561,0.00247781038193073
"group22",-0.00289741929803459,0.00167601318254364,846.711879289609,-1.72875686671942,0.0842171462284984
"group25",-0.00143733001460227,0.00180261404559506,853.375425983973,-0.797358712540038,0.425464526757369
"group29",-0.00387223251939966,0.00116145408350277,846.433464415891,-3.33395230547694,0.0008934140203265
"group34",-0.0023494033522152,0.00133202285409044,845.892210893201,-1.7637860679346,0.0781289484818082
"group56",-0.00289494000253861,0.00256063737384512,843.427709095276,-1.1305544596467,0.25856404672252
"WMH_postAV45.",0.000564022081309653,0.000211088897007919,651.182512243318,2.67196469972788,0.00772951144744383
"factor(diag_prior)EMCI",0.000724378329792813,0.000669147136364088,847.88572542629,1.08253968436424,0.279320555578102
"factor(diag_prior)LMCI",0.000454427886057614,0.000706009852246373,847.648642656893,0.643656578745639,0.519972254581295
"factor(diag_prior)N",-0.000301181413392058,0.000742892462540525,848.085741741607,-0.405417242169998,0.685273089830911
"factor(diag_prior)SMC",0.000432340088666485,0.000872077997142694,855.045078614597,0.495758510228464,0.620192195835043
"factor(APOE4_BIN)1",-0.000365058653723756,0.000465783217914444,846.707349173867,-0.783752268616106,0.433404669958311
"Age.AV45",0.000250803864002589,2.95557348797048e-05,842.226595276597,8.485793536293,0
"factor(Gender)1",-4.75858719168473e-05,0.000425572723901761,841.221619240164,-0.111816075712202,0.910995914998029
"Edu..Yrs.",-0.000127351701942537,7.76953936939251e-05,845.260760065644,-1.63911521504388,0.101561380915557
"group1:WMH_postAV45.",4.7753829213496e-05,0.000364533698635479,476.775553204022,0.130999765981164,0.895830749148328
"group2:WMH_postAV45.",-0.000364835545862985,0.000177614037123635,449.81654177051,-2.05409184865849,0.0405441728243887
"group3:WMH_postAV45.",-6.27810040618733e-05,0.000223337628878713,601.143598331477,-0.281103566725729,0.778727691413619
"group4:WMH_postAV45.",-0.000448954786347847,0.000238841989679495,475.796043674074,-1.87971464712007,0.0607578041629564
"group5:WMH_postAV45.",-0.000550612801899175,0.000228016202472568,484.122085134398,-2.41479682552567,0.0161136737169381
"group6:WMH_postAV45.",-0.000104629751091112,0.000173105940658799,486.017335007446,-0.604426114395135,0.545842427657885
"group9:WMH_postAV45.",-9.01770179076706e-05,0.000189836703288842,483.10556793702,-0.47502414625513,0.634984439210175
"group19:WMH_postAV45.",-0.000402050025074212,0.000167008522724719,446.739650315598,-2.40736232208288,0.0164727979404571
"group22:WMH_postAV45.",-0.000428120968592471,0.000290268384716283,552.595827201887,-1.47491422123332,0.140805103314975
"group25:WMH_postAV45.",-0.000196022875879278,0.000391453574617464,746.742059822359,-0.500756382339426,0.616690145841228
"group29:WMH_postAV45.",-0.0002713686306243,0.000190510704480706,483.556382915546,-1.4244272066706,0.154967861662543
"group34:WMH_postAV45.",-0.000276833178328939,0.000222960456986446,422.354269964237,-1.24162455563036,0.215064196728859
"group56:WMH_postAV45.",-0.000222634705790492,0.000346606179391883,269.860866306432,-0.642327572408265,0.521205810912585
"WMH_postAV45.:factor(diag_prior)EMCI",-0.000156483690654144,0.000147469940680633,967.68471325632,-1.0611226256138,0.288898935971073
"WMH_postAV45.:factor(diag_prior)LMCI",-2.97340092684228e-06,0.000153083460286175,986.764994038721,-0.0194233976765602,0.984507271896354
"WMH_postAV45.:factor(diag_prior)N",-4.10103694859786e-05,0.000158035337594489,936.69188758656,-0.259501261617888,0.795305530667581
"WMH_postAV45.:factor(diag_prior)SMC",0.000184701459860264,0.000218377115008972,869.468231050504,0.845791281072083,0.397901890309897
"WMH_postAV45.:factor(APOE4_BIN)1",1.09301553714944e-05,7.89875346074396e-05,494.553158087461,0.138378231778169,0.889997825225811
