"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.00311593949190571,0.00615662405918991,271.901047216431,-0.506111703743644,0.613188330760142
"group1",-0.0029730271946303,0.00407803643785531,274.827367292717,-0.729033994653036,0.466601681412554
"group2",-0.00514375503943634,0.0019560202992979,275.014105014878,-2.62970432427652,0.0090271345404267
"group3",-0.00117057775731855,0.00284094368315554,274.425418114335,-0.41203835340317,0.680632975049918
"group4",-0.00419931140430469,0.00258571885686342,273.951030590907,-1.62404021348192,0.105517230944819
"group5",-0.00423506247738262,0.00300672000722161,275.551762231455,-1.40853237654679,0.160100812010341
"group6",-0.00568805802626561,0.00226366760809712,275.138312024069,-2.51276203534453,0.0125511397838005
"group9",0.00354508636546234,0.00317138326090163,276.337992028943,1.11783599578389,0.264607911028393
"group19",-0.00606600559217066,0.00187341049289382,274.822513380194,-3.23794791113859,0.00135165196503451
"group22",-0.00388971776343527,0.0028459707980241,273.99176471058,-1.36674549371196,0.172825515257954
"group25",-0.00438464143289227,0.0031430945406842,275.853462074384,-1.39500781034025,0.164135650363204
"group29",-0.00695037433081034,0.00207280393556495,274.877442987087,-3.35312675335884,0.000911298184019804
"group34",-0.00513887244558767,0.00251053183888874,274.464012530896,-2.04692582104927,0.0416176279470206
"group56",-0.00159954055791423,0.00658253205347017,274.929911799617,-0.24299776209536,0.80818832629335
"WMH_postAV45.",0.000553039022127919,0.000303865120036465,149.817362051357,1.82001482125211,0.0707527655936082
"factor(APOE4_BIN)1",-5.97942134627912e-05,0.000938474471352264,274.661029670225,-0.0637142674500594,0.949244088583368
"Age.AV45",0.000146190174372076,6.66609406597427e-05,267.920711195027,2.19304097609835,0.0291641568289887
"factor(Gender)1",0.000151149116184458,0.000813655216931788,270.901424019966,0.185765558972787,0.852767631470117
"Edu..Yrs.",8.38159919180986e-05,0.000152407623950518,271.46831926545,0.549946188684831,0.582808455697846
"group1:WMH_postAV45.",-0.000422499596495206,0.000650917760899347,217.266030023985,-0.649082913195447,0.516970322310702
"group2:WMH_postAV45.",-0.000223611808520701,0.000331685900153074,162.562860048587,-0.674167362608731,0.501162446578606
"group3:WMH_postAV45.",-0.000133544201570223,0.00044046282204851,171.164344717481,-0.30319063241055,0.762112776891382
"group4:WMH_postAV45.",-0.000286823196984513,0.000410428018745375,186.032973051556,-0.698839221214218,0.485525259049177
"group5:WMH_postAV45.",-0.000821902691416664,0.00048493604864804,209.381282292535,-1.69486820727817,0.0915870831192214
"group6:WMH_postAV45.",-6.83987981056557e-05,0.000402046801073537,209.338194628756,-0.170126457723376,0.865074988845379
"group9:WMH_postAV45.",0.00225332254348635,0.000632589803639778,294.673826692374,3.56205953766761,0.000428941316755527
"group19:WMH_postAV45.",-0.000470771805086062,0.00031828795066641,156.45252463895,-1.47907517108452,0.141130846870387
"group22:WMH_postAV45.",-0.000511826568060581,0.000454693483424951,176.673492105742,-1.12565186596755,0.261839703748676
"group25:WMH_postAV45.",-0.000193597387924821,0.000613731926945482,273.014937004812,-0.315442914772818,0.752666371644324
"group29:WMH_postAV45.",-0.000255687995136798,0.000340731461076797,164.045889809304,-0.750409117868833,0.454083304889426
"group34:WMH_postAV45.",-0.000319254096499065,0.000434225255710944,202.368953866404,-0.735226918057448,0.46305250792838
"group56:WMH_postAV45.",-4.20049148263047e-05,0.000928099096359076,267.470639952041,-0.0452590838533186,0.963934571775901
"WMH_postAV45.:factor(APOE4_BIN)1",-4.36209056751132e-05,0.000147728605545655,232.432872300028,-0.295277312839945,0.768045638964775
