"ID","USERDATE","USERDATE2","MEDNAME","update_stamp"
"1","2012-12-03","","Abilify","2013-02-21 09:35:11.0"
"2","2012-12-03","","Acarbose","2013-02-21 09:35:11.0"
"3","2012-12-03","","Accolate","2013-02-21 09:35:11.0"
"4","2012-12-03","","Accupril","2013-02-21 09:35:11.0"
"5","2012-12-03","","Accuretic","2013-02-21 09:35:11.0"
"6","2012-12-03","","Accuzyme","2013-02-21 09:35:11.0"
"7","2012-12-03","","Acebutolol","2013-02-21 09:35:11.0"
"8","2012-12-03","","Aceon","2013-02-21 09:35:11.0"
"9","2012-12-03","","Acetaminophen","2013-02-21 09:35:11.0"
"10","2012-12-03","","Acetaminophen pm","2013-02-21 09:35:11.0"
"11","2012-12-03","","Acetaminophen wcodeine","2013-02-21 09:35:11.0"
"12","2012-12-03","","Acetazolamide","2013-02-21 09:35:11.0"
"13","2012-12-03","","Acetic acid","2013-02-21 09:35:11.0"
"14","2012-12-03","","Acetyl l-carnitine","2013-02-21 09:35:11.0"
"15","2012-12-03","","Acetylsalicylic acid","2013-02-21 09:35:11.0"
"16","2012-12-03","","Acid reducer","2013-02-21 09:35:11.0"
"17","2012-12-03","","Acidophilus","2013-02-21 09:35:11.0"
"18","2012-12-03","","Aciphex","2013-02-21 09:35:11.0"
"19","2012-12-03","","Actinol","2013-02-21 09:35:11.0"
"20","2012-12-03","","Activella","2013-02-21 09:35:11.0"
"21","2012-12-03","","Actonel","2013-02-21 09:35:11.0"
"22","2012-12-03","","Actos","2013-02-21 09:35:11.0"
"23","2012-12-03","","Actose","2013-02-21 09:35:11.0"
"24","2012-12-03","","Acular","2013-02-21 09:35:11.0"
"25","2012-12-03","","Acular ls","2013-02-21 09:35:11.0"
"26","2012-12-03","","Acyclovir","2013-02-21 09:35:11.0"
"27","2012-12-03","","Adacel","2013-02-21 09:35:11.0"
"28","2012-12-03","","Adalat","2013-02-21 09:35:11.0"
"29","2012-12-03","","Adalat cc","2013-02-21 09:35:11.0"
"30","2012-12-03","","Adderall","2013-02-21 09:35:11.0"
"31","2012-12-03","","Adenosine","2013-02-21 09:35:11.0"
"32","2012-12-03","","Adrenal","2013-02-21 09:35:11.0"
"33","2012-12-03","","Advacal","2013-02-21 09:35:11.0"
"34","2012-12-03","","Advair","2013-02-21 09:35:11.0"
"35","2012-12-03","","Advicor","2013-02-21 09:35:11.0"
"36","2012-12-03","","Advil","2013-02-21 09:35:11.0"
"37","2012-12-03","","Advil pm","2013-02-21 09:35:11.0"
"38","2012-12-03","","Aerobid","2013-02-21 09:35:11.0"
"39","2012-12-03","","Afeditab","2013-02-21 09:35:11.0"
"40","2012-12-03","","Afrin","2013-02-21 09:35:11.0"
"41","2012-12-03","","Aggrenox","2013-02-21 09:35:11.0"
"42","2012-12-03","","Ala","2013-02-21 09:35:11.0"
"43","2012-12-03","","Alamag","2013-02-21 09:35:11.0"
"44","2012-12-03","","Alavert","2013-02-21 09:35:11.0"
"45","2012-12-03","","Albuterol","2013-02-21 09:35:11.0"
"46","2012-12-03","","Albuterol sulfate","2013-02-21 09:35:11.0"
"47","2012-12-03","","Albuterol wipratropium","2013-02-21 09:35:11.0"
"48","2012-12-03","","Aldactone","2013-02-21 09:35:11.0"
"49","2012-12-03","","Aldara","2013-02-21 09:35:11.0"
"50","2012-12-03","","Alendronate","2013-02-21 09:35:11.0"
"51","2012-12-03","","Alendronate sodium","2013-02-21 09:35:11.0"
"52","2012-12-03","","Aleve","2013-02-21 09:35:11.0"
"53","2012-12-03","","Alfalfa","2013-02-21 09:35:11.0"
"54","2012-12-03","","Alfuzosin","2013-02-21 09:35:11.0"
"55","2012-12-03","","Alka seltzer","2013-02-21 09:35:11.0"
"56","2012-12-03","","Alka seltzer plus","2013-02-21 09:35:11.0"
"57","2012-12-03","","Alka-seltzer plus","2013-02-21 09:35:11.0"
"58","2012-12-03","","Alka-seltzer plus cold","2013-02-21 09:35:11.0"
"59","2012-12-03","","Allegra","2013-02-21 09:35:11.0"
"60","2012-12-03","","Allegra d","2013-02-21 09:35:11.0"
"61","2012-12-03","","Allergy relief","2013-02-21 09:35:11.0"
"62","2012-12-03","","Allopurinol","2013-02-21 09:35:11.0"
"63","2012-12-03","","Aloe vera","2013-02-21 09:35:11.0"
"64","2012-12-03","","Alopurinol","2013-02-21 09:35:11.0"
"65","2012-12-03","","Alpha lipoic acid","2013-02-21 09:35:11.0"
"66","2012-12-03","","Alphagan","2013-02-21 09:35:11.0"
"67","2012-12-03","","Alphagan p","2013-02-21 09:35:11.0"
"68","2012-12-03","","Alprazolam","2013-02-21 09:35:11.0"
"69","2012-12-03","","Alrex","2013-02-21 09:35:11.0"
"70","2012-12-03","","Altace","2013-02-21 09:35:11.0"
"71","2012-12-03","","Altocor","2013-02-21 09:35:11.0"
"72","2012-12-03","","Aluminum hydroxide","2013-02-21 09:35:11.0"
"73","2012-12-03","","Amaryl","2013-02-21 09:35:11.0"
"74","2012-12-03","","Ambien","2013-02-21 09:35:11.0"
"75","2012-12-03","","Ambien cr","2013-02-21 09:35:11.0"
"76","2012-12-03","","Ambrotose","2013-02-21 09:35:11.0"
"77","2012-12-03","","Ameryl","2013-02-21 09:35:11.0"
"78","2012-12-03","","Amidrine","2013-02-21 09:35:11.0"
"79","2012-12-03","","Amiloride","2013-02-21 09:35:11.0"
"80","2012-12-03","","Amiloride hcl","2013-02-21 09:35:11.0"
