,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0_RANK,CTX_ROSTRALMIDDLEFRONTAL_change,CTX_PARSTRIANGULARIS_change,CTX_MEDIALORBITOFRONTAL_change,CTX_POSTCENTRAL_change,CTX_LATERALORBITOFRONTAL_change,CTX_PERICALCARINE_change,CTX_CAUDALMIDDLEFRONTAL_change,CTX_PRECENTRAL_change,CTX_PARSORBITALIS_change,CTX_INFERIORPARIETAL_change,CTX_SUPERIORFRONTAL_change,CTX_TRANSVERSETEMPORAL_change,CTX_SUPERIORPARIETAL_change,CTX_PARSOPERCULARIS_change,CTX_BANKSSTS_change,CTX_FRONTALPOLE_change,CTX_LATERALOCCIPITAL_change,CTX_SUPRAMARGINAL_change,CTX_MIDDLETEMPORAL_change,CTX_INFERIORTEMPORAL_change,CTX_CUNEUS_change,CTX_SUPERIORTEMPORAL_change,CTX_TEMPORALPOLE_change,CTX_PARACENTRAL_change,ACCUMBENS_AREA_change,CTX_PRECUNEUS_change,CTX_LINGUAL_change,CTX_FUSIFORM_change,CTX_ROSTRALANTERIORCINGULATE_change,CTX_CAUDALANTERIORCINGULATE_change,CTX_POSTERIORCINGULATE_change,CTX_ENTORHINAL_change,CTX_PARAHIPPOCAMPAL_change,PUTAMEN_change,CTX_ISTHMUSCINGULATE_change,AMYGDALA_change,CTX_INSULA_change,CAUDATE_change,THALAMUS_PROPER_change,PALLIDUM_change,HIPPOCAMPUS_change,CEREBELLUM_CORTEX_change
0_UPTAKE,0.13045029100305655,0.12636755352666743,0.12051480361967126,0.1117296573058523,0.11124618601509248,0.11102373777574678,0.10958246935278779,0.10939518005682292,0.10924246645275353,0.10635445854672128,0.10584253563108034,0.10542341344478241,0.10472179651187244,0.1042233557130265,0.10083672485971311,0.10056010412711727,0.09936762408834084,0.09888507628786429,0.09484392873904744,0.09134805413106026,0.09060787530488958,0.08963345218717997,0.08600865256705167,0.08405477796889707,0.08235553394981603,0.08226696434029959,0.07983041510420127,0.07526816762243646,0.07438228257730198,0.07277636900938524,0.07073866925607021,0.06857406908181893,0.06388129511910089,0.06230335966687335,0.06025457504142462,0.05424106669733388,0.05395190211354993,0.04741406356726748,0.04055290708866879,0.03939084229450571,0.03706362625309041,0.026560521859474225
1_RANK,CTX_PERICALCARINE_change,CTX_FRONTALPOLE_change,CTX_LATERALOCCIPITAL_change,CTX_INFERIORTEMPORAL_change,CTX_ROSTRALMIDDLEFRONTAL_change,CTX_MIDDLETEMPORAL_change,CTX_TRANSVERSETEMPORAL_change,CTX_LATERALORBITOFRONTAL_change,CTX_POSTCENTRAL_change,CTX_CAUDALMIDDLEFRONTAL_change,CTX_SUPRAMARGINAL_change,CTX_INFERIORPARIETAL_change,CTX_PRECUNEUS_change,CTX_LINGUAL_change,CTX_SUPERIORPARIETAL_change,CTX_BANKSSTS_change,CTX_PARSTRIANGULARIS_change,CTX_ENTORHINAL_change,CTX_PARSORBITALIS_change,CTX_ISTHMUSCINGULATE_change,CTX_SUPERIORTEMPORAL_change,CTX_PRECENTRAL_change,CTX_PARSOPERCULARIS_change,CTX_PARACENTRAL_change,CTX_CUNEUS_change,CTX_MEDIALORBITOFRONTAL_change,CTX_FUSIFORM_change,CTX_SUPERIORFRONTAL_change,CTX_POSTERIORCINGULATE_change,CTX_CAUDALANTERIORCINGULATE_change,CTX_TEMPORALPOLE_change,CTX_INSULA_change,AMYGDALA_change,CTX_PARAHIPPOCAMPAL_change,CTX_ROSTRALANTERIORCINGULATE_change,HIPPOCAMPUS_change,CAUDATE_change,ACCUMBENS_AREA_change,PUTAMEN_change,THALAMUS_PROPER_change,PALLIDUM_change,CEREBELLUM_CORTEX_change
1_UPTAKE,0.0661543228553777,0.06583379478393502,0.058051309842560586,0.057175500040088346,0.055423108213436566,0.054093621600010265,0.052456991129374804,0.05226350809613455,0.05140800031314122,0.050751782297376924,0.05031181787643572,0.04986034628208792,0.04932780282460207,0.049314013869668855,0.04853193471743862,0.04837309060277493,0.04784941201699974,0.04656309091625993,0.04648410211153519,0.0460694043939366,0.04530118262229699,0.04485132656884326,0.043796406935055314,0.04336042155336901,0.043134185970596796,0.043080684070423154,0.04299442336980533,0.041882862146670245,0.03997464674630542,0.03761252189008541,0.035396881232451174,0.03359633116621334,0.03302161137670741,0.032158225887830336,0.0311997133867462,0.02761783010509358,0.022144294271235664,0.019586516654882404,0.01845214015522931,0.014870473836304096,0.010899730838565703,0.007376412984764044
2_RANK,CTX_FRONTALPOLE_change,CTX_TRANSVERSETEMPORAL_change,CTX_PRECUNEUS_change,CTX_BANKSSTS_change,CTX_LATERALORBITOFRONTAL_change,CTX_MEDIALORBITOFRONTAL_change,CTX_PARSORBITALIS_change,CTX_PERICALCARINE_change,CTX_PARSOPERCULARIS_change,CTX_INFERIORTEMPORAL_change,CTX_PARSTRIANGULARIS_change,CTX_ISTHMUSCINGULATE_change,CTX_ROSTRALMIDDLEFRONTAL_change,CTX_SUPERIORTEMPORAL_change,CTX_MIDDLETEMPORAL_change,CTX_SUPERIORFRONTAL_change,CTX_CAUDALANTERIORCINGULATE_change,CTX_FUSIFORM_change,CTX_INFERIORPARIETAL_change,CTX_ROSTRALANTERIORCINGULATE_change,CTX_POSTERIORCINGULATE_change,CTX_CAUDALMIDDLEFRONTAL_change,CTX_SUPRAMARGINAL_change,CTX_LINGUAL_change,CTX_INSULA_change,CTX_POSTCENTRAL_change,CTX_LATERALOCCIPITAL_change,CTX_PARACENTRAL_change,ACCUMBENS_AREA_change,CTX_SUPERIORPARIETAL_change,CTX_CUNEUS_change,CTX_PARAHIPPOCAMPAL_change,CTX_ENTORHINAL_change,CTX_TEMPORALPOLE_change,CTX_PRECENTRAL_change,CAUDATE_change,PUTAMEN_change,AMYGDALA_change,THALAMUS_PROPER_change,HIPPOCAMPUS_change,CEREBELLUM_CORTEX_change,PALLIDUM_change
2_UPTAKE,0.07194341530619534,0.06384174006014581,0.06042537552345761,0.0582807952538574,0.05823639668219254,0.05639762682939846,0.055427967933567766,0.052891005887144536,0.051836178737969196,0.05178578304124183,0.051005030312090686,0.05016309984079302,0.04929716160058819,0.04927398861973923,0.049003141332558835,0.044926150852414845,0.04334759994676163,0.04316933731534594,0.04310528333761686,0.04305046676137981,0.04269996507102769,0.04178406506662408,0.041379328766403864,0.04060921969883425,0.04037816431159203,0.03906547183599907,0.03774152764393691,0.03672475871546437,0.03605708538760131,0.035754875999352405,0.03554373015066974,0.033018018196904246,0.031571449557846035,0.030997395124179514,0.030360691855514193,0.028867119799662336,0.024476383701843626,0.023327658471281116,0.016824256247075238,0.015599553545829809,0.008892078083950537,0.0030916608382884118
3_RANK,CTX_FRONTALPOLE_change,CTX_ROSTRALMIDDLEFRONTAL_change,CTX_MEDIALORBITOFRONTAL_change,CTX_PARSOPERCULARIS_change,CTX_PARSTRIANGULARIS_change,CTX_ROSTRALANTERIORCINGULATE_change,CTX_CAUDALMIDDLEFRONTAL_change,CTX_SUPERIORFRONTAL_change,CTX_PRECUNEUS_change,CTX_POSTERIORCINGULATE_change,CTX_ISTHMUSCINGULATE_change,CTX_SUPRAMARGINAL_change,CTX_INSULA_change,ACCUMBENS_AREA_change,CTX_PARSORBITALIS_change,CTX_INFERIORPARIETAL_change,CTX_PARAHIPPOCAMPAL_change,CTX_SUPERIORPARIETAL_change,CTX_LATERALORBITOFRONTAL_change,AMYGDALA_change,CTX_BANKSSTS_change,CTX_TEMPORALPOLE_change,CTX_MIDDLETEMPORAL_change,CTX_CAUDALANTERIORCINGULATE_change,CTX_INFERIORTEMPORAL_change,PUTAMEN_change,THALAMUS_PROPER_change,PALLIDUM_change,CTX_SUPERIORTEMPORAL_change,CTX_ENTORHINAL_change,CTX_TRANSVERSETEMPORAL_change,CTX_PRECENTRAL_change,CTX_FUSIFORM_change,CAUDATE_change,HIPPOCAMPUS_change,CTX_POSTCENTRAL_change,CTX_PARACENTRAL_change,CEREBELLUM_CORTEX_change,CTX_LINGUAL_change,CTX_LATERALOCCIPITAL_change,CTX_CUNEUS_change,CTX_PERICALCARINE_change
3_UPTAKE,0.07615871185142845,0.06992807823680247,0.0667474525948656,0.06421712250736818,0.06253357148135034,0.05983098184132546,0.04989303290026502,0.046616918176418894,0.043874456533501936,0.04246004677025809,0.03947528196699481,0.0367980098522488,0.03678840123404544,0.03616239278314409,0.03560728414945306,0.034627986358894976,0.032927196941565345,0.03283412331810558,0.029425458206048093,0.02803197141669668,0.027866329214598855,0.0239361080761229,0.02293857221521494,0.02185821504447493,0.021378356424552176,0.021290524371983133,0.020519801157441522,0.02032384190609612,0.015384268979720476,0.011285965478106518,0.010310760073045926,0.00954111109425101,0.009093444741914442,0.007485757435030991,0.006621653695846404,0.005567690835639351,0.003956016363705941,-0.006212320531979954,-0.010067445440463884,-0.013670286379363626,-0.019754322426916403,-0.02587299497953181
4_RANK,CTX_PERICALCARINE_change,CTX_CUNEUS_change,CTX_ENTORHINAL_change,CTX_LATERALOCCIPITAL_change,CTX_CAUDALMIDDLEFRONTAL_change,CTX_LINGUAL_change,CTX_FUSIFORM_change,CTX_INFERIORTEMPORAL_change,CTX_TRANSVERSETEMPORAL_change,CTX_ROSTRALMIDDLEFRONTAL_change,CTX_SUPERIORPARIETAL_change,CTX_PRECENTRAL_change,CTX_SUPERIORFRONTAL_change,CTX_MIDDLETEMPORAL_change,CTX_PARSOPERCULARIS_change,CTX_BANKSSTS_change,CTX_SUPERIORTEMPORAL_change,CTX_PRECUNEUS_change,CTX_PARAHIPPOCAMPAL_change,CTX_POSTCENTRAL_change,CTX_POSTERIORCINGULATE_change,CTX_CAUDALANTERIORCINGULATE_change,CTX_INFERIORPARIETAL_change,CTX_TEMPORALPOLE_change,CTX_SUPRAMARGINAL_change,CTX_PARSTRIANGULARIS_change,CTX_PARSORBITALIS_change,CTX_PARACENTRAL_change,CTX_ROSTRALANTERIORCINGULATE_change,ACCUMBENS_AREA_change,CTX_INSULA_change,AMYGDALA_change,CTX_LATERALORBITOFRONTAL_change,CTX_ISTHMUSCINGULATE_change,CTX_MEDIALORBITOFRONTAL_change,CTX_FRONTALPOLE_change,CAUDATE_change,HIPPOCAMPUS_change,PUTAMEN_change,THALAMUS_PROPER_change,CEREBELLUM_CORTEX_change,PALLIDUM_change
4_UPTAKE,0.08153099645292175,0.07855987202958872,0.06643104394046484,0.062485180241327085,0.054920936934769876,0.05426768030242562,0.05380847500457932,0.05284812646664914,0.05279132828042061,0.05075097899149067,0.05069096242740472,0.04822009615505816,0.048035311950342434,0.04784434593723405,0.04779580822266805,0.04752268519449173,0.04651079080429457,0.046179489584500355,0.04522867943514716,0.04406538026309083,0.04230494349363005,0.041785850897516984,0.04161480451873785,0.04142253887947549,0.04091637446232491,0.03983709818508295,0.03816710894068306,0.03683424731660845,0.03435181841746123,0.033120471413677494,0.03155907462143012,0.03150733520572801,0.03150423898670145,0.030019376041455912,0.028900181824049114,0.02521929090170704,0.021120606033548966,0.0176039324677363,0.016550715566389415,0.010211057036974221,0.00829880158481897,5.7940346740764096e-05
