pattern,0.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,11.0,12.0,16.0,17.0,24.0,25.0,63.0,AD,AD-AD,AD-MCI,APOE4_BIN,Age@AV45,CSF_ABETA_closest_AV45,CSF_ABETA_slope,CSF_TAU_closest_AV45,CSF_TAU_slope,FAQTOTAL_AV45_6MTHS,FAQTOTAL_slope,FSX_HC/ICV_BL_3months,FSX_HC/ICV_slope,Gender,Handedness,MCI,MCI-AD,MCI-MCI,MCI-N,N,N-AD,N-MCI,N-N,NPITOTAL_AV45_6MTHS,NPITOTAL_slope,SMC,SMC-AD,SMC-SMC,UW_EF_BL_3months,UW_EF_slope,UW_MEM_BL_3months,UW_MEM_slope,WMH_percentOfICV_AV45_6MTHS,WMH_percentOfICV_slope,below_threshold,cortical_summary,cortical_summary_change,count_post,count_prior,neg-neg,neg-pos,pos-neg,pos-pos
0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,,,0.222222222222,76.9192375,154.622222222,-4.22147333333,71.8125,5.72838,2.66666666667,1.12961111111,0.00440666666667,-3.5e-05,1.33333333333,1.0,0.5,0.2,0.2,,0.357142857143,,,0.4,2.75,1.42857777778,0.142857142857,,0.2,0.156,-0.156722222222,0.470555555556,-0.158413333333,0.00873571428571,0.00183625,0.00524468067158,1.32178766649,0.102832027685,5.0,9.0,0.0,0.0,0.0,1.0
1.0,0.0,0.946808510638,0.0,0.0,0.0425531914894,0.0,0.0,0.0,0.0,0.0,0.0,0.0106382978723,0.0,0.0,0.0,0.372159090909,0.113402061856,0.0103092783505,0.725663716814,74.6366477876,130.224210526,-1.16747877551,126.048108108,1.74340104167,7.83771929825,2.36501906977,0.00422276923077,-0.000145647058824,1.52401746725,1.06986899563,0.488636363636,0.360824742268,0.319587628866,0.0103092783505,0.107954545455,0.0309278350515,0.020618556701,0.123711340206,4.97765363128,3.11312760417,0.03125,,0.0103092783505,-0.297752212389,-0.187390469484,-0.133314159292,-0.197636093023,0.00544700534759,0.000208682634731,0.00528814053356,1.48820523688,0.0480873606804,122.0,230.0,0.0,0.0,0.0,1.0
2.0,0.0,0.307692307692,0.461538461538,0.0,0.0769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153846153846,0.0,0.0597014925373,,,0.4375,75.4563043478,149.097297297,-4.87257375,100.335135135,3.432816875,2.64583333333,0.452702439024,0.00465625,-9.97368421053e-05,1.45833333333,1.10416666667,0.55223880597,0.0740740740741,0.62962962963,,0.313432835821,0.037037037037,0.037037037037,0.148148148148,3.08333333333,0.862128947368,0.0746268656716,,0.0740740740741,0.262125,-0.116159512195,0.384916666667,-0.0570358536585,0.00545472222222,2.5e-05,0.385799620238,0.955907995263,0.0475751663929,19.0,48.0,0.142857142857,0.214285714286,0.0,0.642857142857
3.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0967741935484,,,0.555555555556,73.8528764706,169.192857143,-4.751032,73.1384615385,4.1102,2.88888888889,1.49126666667,0.00486705882353,-4.93333333333e-05,1.38888888889,1.11111111111,0.516129032258,,0.5,0.25,0.322580645161,,0.125,0.125,3.9375,2.10312666667,0.0645161290323,,,0.463722222222,0.107631666667,0.466944444444,0.109091111111,0.006900625,0.000295,0.569774564943,0.894902058106,0.0421567979028,13.0,18.0,0.25,0.625,0.0,0.125
4.0,0.0,0.111111111111,0.0,0.0,0.888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.337837837838,0.111111111111,,0.470588235294,75.5935170213,130.442857143,-2.78971636364,114.205128205,-0.131695454545,8.29411764706,3.62131875,0.00424102564103,-0.000122285714286,1.56862745098,1.05882352941,0.459459459459,0.277777777778,0.277777777778,,0.175675675676,0.0555555555556,,0.277777777778,4.33333333333,3.01376666667,0.027027027027,,,-0.53304,-0.211487446809,-0.0947254901961,-0.170415625,0.00961926829268,0.00084175,0.0118805728947,1.51773238874,0.0448320270212,23.0,51.0,0.0,0.0,0.0,1.0
5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,,,0.571428571429,78.2739714286,122.3,-4.17597,93.9285714286,2.92334,6.71428571429,4.15271428571,0.00419428571429,-0.000106666666667,1.42857142857,1.0,0.5,,1.0,,0.125,,,,7.0,3.73682,0.125,,,-0.0477142857143,-0.41754,-0.0575714285714,-0.440822857143,0.00605666666667,0.000992,0.021190569447,1.67937522921,0.043882992533,1.0,7.0,0.0,0.0,0.0,1.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857142857143,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909090909091,,,0.3125,71.090525,233.984615385,8.29059,70.5307692308,1.98157666667,2.6875,0.56512,0.00443733333333,-0.000110833333333,1.375,1.0625,0.545454545455,,0.714285714286,,0.227272727273,,0.142857142857,0.142857142857,6.9,2.2417,0.136363636364,,,0.756125,-0.019566,0.6399375,0.04899,0.00422384615385,-0.000193636363636,0.864524388259,0.792947934488,-0.026302486151,6.0,16.0,0.857142857143,0.0,0.142857142857,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.941176470588,0.0,0.0,0.0,0.0588235294118,0.0,0.0,0.0,0.0740740740741,,,0.235294117647,71.4335151515,224.055,-4.481329,52.525,-0.722297,1.77142857143,1.01738387097,0.00500870967742,-9.04e-05,1.38888888889,1.08333333333,0.592592592593,0.157894736842,0.473684210526,0.0526315789474,0.259259259259,,0.0526315789474,0.263157894737,2.81818181818,-0.00335161290323,0.0740740740741,,,0.852235294118,-0.117795806452,1.05605882353,-0.11831516129,0.00432296296296,-7e-05,0.856592388686,0.809857478774,0.00787501125479,19.0,36.0,0.894736842105,0.105263157895,0.0,0.0
11.0,0.0,0.0,0.029197080292,0.00729927007299,0.0,0.0,0.0,0.0,0.824817518248,0.0,0.0875912408759,0.00729927007299,0.043795620438,0.0,0.0,0.0469973890339,0.0141843971631,,0.200819672131,73.2649644898,220.776923077,-2.71073723077,58.5322916667,7.82995353846,1.85425101215,0.374629957806,0.00487734883721,-5.96373056995e-05,1.43951612903,1.125,0.43864229765,0.0425531914894,0.368794326241,0.0851063829787,0.436031331593,0.0141843971631,0.0354609929078,0.425531914894,2.39361702128,0.135202192982,0.0783289817232,0.00709219858156,0.00709219858156,0.615410569106,-0.031786212766,0.616134146341,0.0160492765957,0.00354907317073,6.07537688442e-05,0.997179880736,0.666196740661,0.0120595228642,137.0,248.0,0.971830985915,0.0211267605634,0.0,0.00704225352113
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.25,76.2868,174.125,-15.73276,84.125,-2.66247,0.75,-0.172975,0.0044925,-0.0001225,1.5,1.0,0.0,,,,0.75,,,,0.0,0.1303,0.25,,,0.77425,-0.007725,0.717,0.0108625,0.00578333333333,0.001155,0.655039036253,0.862659705351,,0.0,4.0,0.0,0.0,0.0,0.0
