GROUP1,GROUP2,CORTICAL_SUMMARY_prior_PVALUE,CORTICAL_SUMMARY_prior_MEAN1,CORTICAL_SUMMARY_prior_MEAN2
0,1,0.00354,1.276729338,1.486715278
0,2,0,1.276729338,0.960887519
0,3,0,1.276729338,0.873392098
0,4,0.00908,1.276729338,1.506809776
0,5,0.00556,1.278632106,1.700234242
0,8,0,1.277461838,0.813794962
0,11,0,1.277084304,0.662251589
0,12,0,1.278743943,0.863153926
0,16,0,1.274746087,0.758357968
0,17,0.55219,1.276989071,1.239373004
0,24,0,1.278057068,0.594400892
0,25,0.03885,1.277954615,1.159391458
0,6,0,1.27968991,0.804122173
0,63,0,1.275701162,0.528335653
1,2,0,1.486652476,0.96230808
1,3,0,1.486090677,0.871966898
1,4,0.57896,1.487325772,1.504693659
1,5,0.01451,1.485895408,1.69088463
1,8,0,1.48636292,0.815177939
1,11,0,1.485933449,0.663007135
1,12,0,1.486878821,0.862188912
1,16,0,1.486318369,0.758166384
1,17,0,1.485981698,1.238437059
1,24,0,1.487084499,0.594488267
1,25,0,1.486107074,1.158338302
1,6,0,1.486341921,0.803590309
1,63,0,1.485989394,0.527540158
2,3,0.00372,0.961146305,0.872618012
2,4,0,0.961617773,1.504634269
2,5,0,0.960293826,1.685923299
2,8,0,0.961302852,0.8143518
2,11,0,0.962142235,0.662498853
2,12,0.12635,0.962391436,0.864992375
2,16,0,0.961777921,0.758767285
2,17,0,0.961264294,1.239112663
2,24,0,0.961757879,0.594665757
2,25,0,0.96207278,1.158383792
2,6,0,0.960572957,0.802449704
2,63,0,0.961012085,0.528275928
3,4,0,0.871564089,1.504685012
3,5,0,0.872759152,1.688919773
3,8,0.04198,0.872613315,0.815158331
3,11,0,0.871869854,0.662646351
3,12,0.84196,0.871851481,0.86396152
3,16,1.00E-05,0.873536364,0.758657751
3,17,0,0.873587156,1.23992043
3,24,0,0.872464483,0.59452045
3,25,0,0.871860913,1.158906471
3,6,0.0265,0.871956977,0.804615402
3,63,0,0.87288374,0.528448024
4,5,0.09511,1.505201006,1.688605807
4,8,0,1.505889457,0.814940462
4,11,0,1.50812005,0.662399642
4,12,0,1.504871436,0.859337228
4,16,0,1.50468601,0.758230565
4,17,0,1.506795842,1.238556771
4,24,0,1.504103862,0.594497139
4,25,0,1.504391205,1.159424144
4,6,0,1.503356262,0.805166289
4,63,0,1.505062998,0.527983109
5,8,0,1.685440475,0.814561574
5,11,0,1.693752692,0.662651289
5,12,0.00033,1.683613252,0.863449228
5,16,0,1.69191273,0.758665591
5,17,1.00E-05,1.683599587,1.238943159
5,24,0,1.689051831,0.594765864
5,25,0,1.686831776,1.157950067
5,6,0,1.684397427,0.803586649
5,63,0,1.684525484,0.529235793
8,11,0,0.815075936,0.66272462
8,12,0.409,0.815713118,0.866564395
8,16,0.00476,0.814127208,0.758421532
8,17,0,0.813946721,1.238978575
8,24,0,0.815005953,0.594369955
8,25,0,0.814741476,1.159469549
8,6,0.74448,0.813772337,0.804427703
8,63,0,0.814644056,0.528325123
11,12,5.00E-05,0.66266944,0.862500528
11,16,0,0.662559752,0.758712957
11,17,0,0.6630209,1.238715401
11,24,0,0.662658025,0.5945185
11,25,0,0.662647654,1.157793803
11,6,0,0.662612556,0.803219929
11,63,0.00044,0.662588006,0.52849317
12,16,0.05004,0.862861448,0.758533275
12,17,1.00E-05,0.864929011,1.238286119
12,24,0,0.864319432,0.594667014
12,25,0.00043,0.861470348,1.159852203
12,6,0.35579,0.863534011,0.804091313
12,63,0,0.862724626,0.528957084
16,17,0,0.758682623,1.238491241
16,24,0,0.75838879,0.594654605
16,25,0,0.757831721,1.159700693
16,6,0.10363,0.758795844,0.803138282
16,63,0,0.758550075,0.528439634
17,24,0,1.238098677,0.594520256
17,25,0.00789,1.237966673,1.158898258
17,6,0,1.238775718,0.803153568
17,63,0,1.238713235,0.528545286
24,25,0,0.594658085,1.158932199
24,6,0,0.59472542,0.805185406
24,63,0.00476,0.594553745,0.529024064
25,6,0,1.158828073,0.80429286
25,63,0,1.15891194,0.528708442
6,63,0,0.802923605,0.528593328
