,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
5_RANK,CTX_ROSTRALMIDDLEFRONTAL,CTX_SUPERIORPARIETAL,CTX_POSTCENTRAL,CTX_PARSTRIANGULARIS,CTX_CAUDALMIDDLEFRONTAL,CTX_INFERIORPARIETAL,CTX_PARACENTRAL,CTX_LATERALOCCIPITAL,CTX_PARSORBITALIS,CTX_PRECUNEUS,CTX_PERICALCARINE,CTX_PARSOPERCULARIS,CTX_PRECENTRAL,CTX_SUPERIORFRONTAL,CTX_SUPRAMARGINAL,CTX_FRONTALPOLE,CTX_BANKSSTS,CTX_CUNEUS,CTX_TRANSVERSETEMPORAL,CTX_POSTERIORCINGULATE,CTX_MEDIALORBITOFRONTAL,CTX_CAUDALANTERIORCINGULATE,CTX_LATERALORBITOFRONTAL,CTX_MIDDLETEMPORAL,CTX_ROSTRALANTERIORCINGULATE,CTX_INFERIORTEMPORAL,CTX_SUPERIORTEMPORAL,CTX_LINGUAL,CTX_ISTHMUSCINGULATE,CTX_FUSIFORM,CTX_INSULA,CTX_PARAHIPPOCAMPAL,CTX_TEMPORALPOLE,THALAMUS_PROPER,CAUDATE,PUTAMEN,PALLIDUM,AMYGDALA,CTX_ENTORHINAL,CEREBELLUM_CORTEX,HIPPOCAMPUS,ACCUMBENS_AREA
5_UPTAKE,0.031543105,0.031279893,0.030611558,0.030359043,0.030315489,0.029632588,0.028977034,0.028403101,0.028347165,0.027746588,0.027720334,0.027319398,0.027295835,0.02720938,0.027205157,0.026771524,0.026135955,0.025146273,0.024986254,0.024539786,0.023740267,0.023426058,0.022892432,0.022756263,0.022178772,0.021487416,0.021016419,0.020619458,0.019691922,0.019363054,0.015596471,0.01524083,0.015160417,0.014172263,0.013777035,0.013396525,0.012332963,0.011202643,0.011144704,0.010412642,0.010305161,0.010208639
4_RANK,CTX_PERICALCARINE,CTX_LATERALOCCIPITAL,CTX_SUPERIORPARIETAL,CTX_CUNEUS,CTX_INFERIORPARIETAL,CTX_ROSTRALMIDDLEFRONTAL,CTX_BANKSSTS,CTX_PRECUNEUS,CTX_PARSORBITALIS,CTX_FRONTALPOLE,CTX_LINGUAL,CTX_CAUDALMIDDLEFRONTAL,CTX_POSTCENTRAL,CTX_INFERIORTEMPORAL,CTX_LATERALORBITOFRONTAL,CTX_PARSTRIANGULARIS,CTX_TRANSVERSETEMPORAL,CTX_SUPRAMARGINAL,CTX_MIDDLETEMPORAL,CTX_PARACENTRAL,CTX_FUSIFORM,CTX_PARSOPERCULARIS,CTX_MEDIALORBITOFRONTAL,CTX_SUPERIORFRONTAL,CTX_POSTERIORCINGULATE,CTX_PRECENTRAL,CTX_ISTHMUSCINGULATE,CTX_ROSTRALANTERIORCINGULATE,CTX_SUPERIORTEMPORAL,CTX_CAUDALANTERIORCINGULATE,CTX_TEMPORALPOLE,CTX_INSULA,CTX_PARAHIPPOCAMPAL,CTX_ENTORHINAL,PALLIDUM,THALAMUS_PROPER,CAUDATE,AMYGDALA,HIPPOCAMPUS,PUTAMEN,CEREBELLUM_CORTEX,ACCUMBENS_AREA
4_UPTAKE,0.032503036,0.032045998,0.029139726,0.028810499,0.027562783,0.027313919,0.027263336,0.027101061,0.027045061,0.026520006,0.026017616,0.025988839,0.025668895,0.025645864,0.025168204,0.02481537,0.024790037,0.024694947,0.024243803,0.024125077,0.023761972,0.023744357,0.023653346,0.023571428,0.02304199,0.022904943,0.022642985,0.022097619,0.021960369,0.021628217,0.018091397,0.016554017,0.015347939,0.014731247,0.013795664,0.013794165,0.013324568,0.012791039,0.012317535,0.012062044,0.011355589,0.008618905
1_RANK,CTX_ROSTRALMIDDLEFRONTAL,CTX_FRONTALPOLE,CTX_PARSORBITALIS,CTX_PRECUNEUS,CTX_INFERIORPARIETAL,CTX_PARSTRIANGULARIS,CTX_CAUDALMIDDLEFRONTAL,CTX_SUPERIORPARIETAL,CTX_BANKSSTS,CTX_LATERALORBITOFRONTAL,CTX_MEDIALORBITOFRONTAL,CTX_PARSOPERCULARIS,CTX_SUPERIORFRONTAL,CTX_SUPRAMARGINAL,CTX_POSTCENTRAL,CTX_ROSTRALANTERIORCINGULATE,CTX_INFERIORTEMPORAL,CTX_POSTERIORCINGULATE,CTX_ISTHMUSCINGULATE,CTX_CAUDALANTERIORCINGULATE,CTX_TRANSVERSETEMPORAL,CTX_PARACENTRAL,CTX_MIDDLETEMPORAL,CTX_LATERALOCCIPITAL,CTX_SUPERIORTEMPORAL,CTX_PERICALCARINE,CTX_PRECENTRAL,CTX_FUSIFORM,CTX_TEMPORALPOLE,CTX_CUNEUS,CTX_LINGUAL,CTX_INSULA,CTX_PARAHIPPOCAMPAL,CAUDATE,THALAMUS_PROPER,CTX_ENTORHINAL,PALLIDUM,PUTAMEN,AMYGDALA,HIPPOCAMPUS,ACCUMBENS_AREA,CEREBELLUM_CORTEX
1_UPTAKE,0.029854796,0.029244892,0.028618967,0.028187128,0.027185628,0.026960862,0.026869186,0.026767163,0.026730412,0.026271274,0.026173906,0.025492492,0.025488829,0.025356383,0.025054535,0.02483608,0.024831523,0.024665494,0.02454659,0.024303189,0.024296961,0.024282004,0.024233318,0.024152107,0.022405317,0.022105487,0.021944195,0.021275825,0.019127896,0.018549656,0.018031429,0.017526392,0.016027712,0.01539421,0.015312279,0.014860445,0.014134128,0.01402548,0.013650215,0.012605365,0.012514041,0.010913174
0_RANK,CTX_FRONTALPOLE,CTX_ROSTRALMIDDLEFRONTAL,CTX_CAUDALMIDDLEFRONTAL,CTX_PARSORBITALIS,CTX_PARSTRIANGULARIS,CTX_CAUDALANTERIORCINGULATE,CTX_SUPERIORFRONTAL,CTX_PARSOPERCULARIS,CTX_SUPRAMARGINAL,CTX_INFERIORPARIETAL,CTX_LATERALORBITOFRONTAL,CTX_POSTERIORCINGULATE,CTX_PRECUNEUS,CTX_SUPERIORPARIETAL,CTX_ROSTRALANTERIORCINGULATE,CTX_POSTCENTRAL,CTX_MEDIALORBITOFRONTAL,CTX_BANKSSTS,CTX_PRECENTRAL,CTX_INFERIORTEMPORAL,CTX_MIDDLETEMPORAL,CTX_PARACENTRAL,CTX_ISTHMUSCINGULATE,CTX_LATERALOCCIPITAL,CTX_SUPERIORTEMPORAL,PALLIDUM,CTX_FUSIFORM,CTX_TEMPORALPOLE,CTX_INSULA,THALAMUS_PROPER,CTX_ENTORHINAL,CTX_TRANSVERSETEMPORAL,CAUDATE,CTX_PARAHIPPOCAMPAL,CTX_CUNEUS,CTX_LINGUAL,PUTAMEN,HIPPOCAMPUS,CEREBELLUM_CORTEX,AMYGDALA,CTX_PERICALCARINE,ACCUMBENS_AREA
0_UPTAKE,0.035107856,0.034593172,0.031718384,0.031616127,0.031010899,0.029552775,0.029448568,0.029067824,0.028785123,0.028071287,0.027578043,0.027279077,0.026893379,0.026647232,0.025862899,0.02561794,0.025607772,0.024361971,0.023971563,0.023518793,0.023422796,0.023334839,0.023200107,0.021042154,0.019075862,0.017821993,0.017672481,0.016330781,0.015655468,0.01527209,0.014847681,0.014825669,0.014802312,0.014094145,0.013125332,0.012773794,0.01248741,0.012169017,0.011954393,0.011626884,0.010982688,0.005811255
17_RANK,CTX_ROSTRALMIDDLEFRONTAL,CTX_PRECUNEUS,CTX_MEDIALORBITOFRONTAL,CTX_ROSTRALANTERIORCINGULATE,CTX_TRANSVERSETEMPORAL,CTX_CAUDALANTERIORCINGULATE,CTX_LATERALORBITOFRONTAL,CTX_PARSORBITALIS,CTX_SUPERIORFRONTAL,CTX_CAUDALMIDDLEFRONTAL,CTX_PARSOPERCULARIS,CTX_PARSTRIANGULARIS,CTX_BANKSSTS,CTX_POSTERIORCINGULATE,CTX_ISTHMUSCINGULATE,CTX_PARACENTRAL,CTX_SUPERIORPARIETAL,CTX_INFERIORPARIETAL,CTX_SUPRAMARGINAL,CTX_FRONTALPOLE,CTX_POSTCENTRAL,CTX_SUPERIORTEMPORAL,CTX_INFERIORTEMPORAL,CTX_PRECENTRAL,CTX_MIDDLETEMPORAL,CTX_FUSIFORM,CTX_TEMPORALPOLE,CAUDATE,CTX_INSULA,THALAMUS_PROPER,CTX_LATERALOCCIPITAL,PALLIDUM,CTX_PARAHIPPOCAMPAL,CTX_PERICALCARINE,CTX_LINGUAL,CTX_ENTORHINAL,CTX_CUNEUS,PUTAMEN,AMYGDALA,HIPPOCAMPUS,ACCUMBENS_AREA,CEREBELLUM_CORTEX
17_UPTAKE,0.027777035,0.027723839,0.027632666,0.027324268,0.02714907,0.026897785,0.026479438,0.026346807,0.026103037,0.026002161,0.025827494,0.025681784,0.025599165,0.025484027,0.024553532,0.024545886,0.024187618,0.023833618,0.023596298,0.023323844,0.0232076,0.022327703,0.022213584,0.02135897,0.021329584,0.020439043,0.019442235,0.019398331,0.018950565,0.018712656,0.018116917,0.016937758,0.01660641,0.016505076,0.016185264,0.016170789,0.015993168,0.01595649,0.015374474,0.014936948,0.013784154,0.012231364
