GROUP1,GROUP2,CORTICAL_SUMMARY_prior_PVALUE,CORTICAL_SUMMARY_prior_MEAN1,CORTICAL_SUMMARY_prior_MEAN2
1.0,2.0,0.0,0.929888077928,1.8169960602
1.0,4.0,0.0,0.929888077928,2.28975657198
1.0,7.0,0.0,0.929888077928,1.97049834315
1.0,8.0,0.0,0.929888077928,2.0582589307
1.0,9.0,0.0,0.929853710618,1.12209314784
1.0,10.0,0.0,0.929873400527,2.05625514534
1.0,13.0,0.0,0.929751329038,1.20262402726
1.0,14.0,0.0,0.929590054613,1.33999456814
1.0,16.0,0.0,0.929841005151,1.08697868313
1.0,18.0,0.0,0.929880041119,0.978138214419
1.0,19.0,0.0,0.929824795345,1.4424635624
1.0,22.0,0.0,0.9298828465,1.24746611574
1.0,26.0,0.0,0.929831716608,1.8004183994
1.0,72.0,0.00371,0.930006638976,0.841172749008
2.0,4.0,0.0,1.8155706613,2.28961107781
2.0,7.0,0.19478,1.81860313489,1.97030783532
2.0,8.0,4e-05,1.81881182458,2.05961934146
2.0,9.0,0.0,1.81654734795,1.12205848187
2.0,10.0,0.00174,1.81599060588,2.05450661721
2.0,13.0,0.0,1.81779346939,1.20266968613
2.0,14.0,0.0,1.81629797414,1.33894989102
2.0,16.0,0.0,1.8145249985,1.0873813964
2.0,18.0,0.0,1.8172118107,0.978192762529
2.0,19.0,0.0,1.81856480426,1.44151317763
2.0,22.0,0.0,1.81847558082,1.24874692394
2.0,26.0,0.77399,1.8172924888,1.79856276694
2.0,72.0,0.0,1.81938467783,0.844524947099
4.0,7.0,0.00677,2.28571840075,1.96821965724
4.0,8.0,0.0,2.29021608555,2.05877044658
4.0,9.0,0.0,2.28949334866,1.12120701294
4.0,10.0,0.0002,2.2888489157,2.05381739551
4.0,13.0,0.0,2.2915387734,1.2032038595
4.0,14.0,0.0,2.29126210982,1.33813692147
4.0,16.0,0.0,2.29014977611,1.08670907453
4.0,18.0,0.0,2.29183843908,0.978317941945
4.0,19.0,0.0,2.29051793574,1.44271163644
4.0,22.0,0.0,2.29079653773,1.24754418357
4.0,26.0,0.0,2.28843009529,1.79794301991
4.0,72.0,0.0,2.2883972002,0.844447932267
7.0,8.0,0.35207,1.96752333108,2.05853429764
7.0,9.0,0.0,1.96910857338,1.12211054607
7.0,10.0,0.49301,1.96781123128,2.05436786919
7.0,13.0,0.0,1.9667586224,1.20345420678
7.0,14.0,0.0,1.9721516626,1.34024626184
7.0,16.0,0.0,1.96585263923,1.086775729
7.0,18.0,0.0,1.96463316141,0.978183430003
7.0,19.0,0.0,1.96637740555,1.44164137909
7.0,22.0,0.0,1.97196226249,1.24749617743
7.0,26.0,0.09357,1.9701956012,1.79918094015
7.0,72.0,0.0,1.96673660351,0.84420089242
8.0,9.0,0.0,2.05871974847,1.12241110741
8.0,10.0,0.95223,2.05857761238,2.05797276136
8.0,13.0,0.0,2.05838246712,1.20243600436
8.0,14.0,0.0,2.05725572528,1.33650776249
8.0,16.0,0.0,2.05889020682,1.08697868209
8.0,18.0,0.0,2.05914531813,0.978023152299
8.0,19.0,0.0,2.05838889253,1.44294484549
8.0,22.0,0.0,2.05929205926,1.24721185037
8.0,26.0,0.0,2.05780864241,1.7999019921
8.0,72.0,0.0,2.05846555128,0.84326061846
9.0,10.0,0.0,1.12175743074,2.05693939646
9.0,13.0,0.00551,1.12238764183,1.20173246218
9.0,14.0,0.0,1.12247606355,1.33932953018
9.0,16.0,0.0401,1.12218706837,1.08702517622
