GROUP1,GROUP2,CORTICAL_SUMMARY_prior_PVALUE,CORTICAL_SUMMARY_prior_MEAN1,CORTICAL_SUMMARY_prior_MEAN2
1.0,2.0,0.0,0.936154893389,1.71429712874
1.0,4.0,0.0,0.936154893389,2.1423387204
1.0,7.0,0.0,0.936154893389,1.90163045585
1.0,8.0,0.0,0.936154893389,1.89406980758
1.0,9.0,0.0,0.935609855765,1.12771940493
1.0,10.0,0.0,0.935670033351,1.83992488127
1.0,13.0,0.0,0.93569747039,1.2121955835
1.0,14.0,0.0,0.935435453228,1.26134323215
1.0,16.0,0.0,0.934840254698,1.10040663026
1.0,18.0,0.00409,0.934928928928,0.975241303056
1.0,19.0,0.0,0.934962616082,1.44264168301
1.0,22.0,0.0,0.935101930648,1.27726595011
1.0,26.0,0.0,0.935438028788,1.70091717277
2.0,4.0,0.00027,1.71802485385,2.14617587122
2.0,7.0,0.13977,1.71683628463,1.89777581156
2.0,8.0,0.03259,1.71651048241,1.89564972522
2.0,9.0,0.0,1.7090678845,1.12802500046
2.0,10.0,0.3038,1.71427322947,1.84232931725
2.0,13.0,0.0,1.71298741482,1.21117456039
2.0,14.0,0.0,1.70894649916,1.25818028212
2.0,16.0,0.0,1.71513855061,1.10013663587
2.0,18.0,0.0,1.71366769368,0.975794048507
2.0,19.0,0.00012,1.70783032259,1.44047131112
2.0,22.0,0.0,1.7113764377,1.27753678032
2.0,26.0,0.92477,1.71149088691,1.70050606449
4.0,7.0,0.11006,2.14399106487,1.90082042998
4.0,8.0,0.00538,2.14770748518,1.8941499328
4.0,9.0,0.0,2.14759459929,1.1276892699
4.0,10.0,0.01341,2.14770109593,1.84074945503
4.0,13.0,0.0,2.14590056224,1.21125014259
4.0,14.0,0.0,2.14870705879,1.25957635464
4.0,16.0,0.0,2.14294877904,1.09928987989
4.0,18.0,0.0,2.14409522442,0.975742644621
4.0,19.0,0.0,2.14937211947,1.44130443755
4.0,22.0,0.0,2.14990395877,1.27623488684
4.0,26.0,3e-05,2.14965128656,1.70341754743
7.0,8.0,0.96707,1.9011649632,1.89716876686
7.0,9.0,0.0,1.89887619926,1.12799408682
7.0,10.0,0.69593,1.90146408925,1.84007148455
7.0,13.0,0.0,1.90265403264,1.21452183184
7.0,14.0,0.0,1.89997247906,1.25693465212
7.0,16.0,0.0,1.90073528459,1.10001473919
7.0,18.0,0.0,1.89777599207,0.975543273292
7.0,19.0,0.0,1.90260083806,1.44320345784
7.0,22.0,0.0,1.90170890184,1.27751852398
7.0,26.0,0.0778,1.90329320318,1.70214950368
8.0,9.0,0.0,1.89666835673,1.12851840482
8.0,10.0,0.52953,1.8966317922,1.84267959767
8.0,13.0,0.0,1.89523795246,1.21203578018
8.0,14.0,0.0,1.89793513362,1.25854281812
8.0,16.0,0.0,1.89486572047,1.10015563163
8.0,18.0,0.0,1.89329382025,0.975969791123
8.0,19.0,0.0,1.89690748538,1.4447039315
8.0,22.0,0.0,1.89589038458,1.27689598159
8.0,26.0,0.01431,1.89460768952,1.70452608315
9.0,10.0,0.0,1.12759598632,1.83358989805
9.0,13.0,0.06771,1.12814743581,1.2080382991
9.0,14.0,0.00093,1.12747213004,1.26161998559
9.0,16.0,0.2876,1.12826235787,1.09971109113
9.0,18.0,0.0,1.12830036751,0.975895067054
9.0,19.0,0.0,1.12859946851,1.4421778318
9.0,22.0,0.0,1.12836709594,1.27594170642
9.0,26.0,0.0,1.12730515738,1.70210790608
10.0,13.0,0.0,1.83956325427,1.2127900396
10.0,14.0,4e-05,1.8371194528,1.25834390166
10.0,16.0,0.0,1.84036004487,1.09991803924
10.0,18.0,0.0,1.84031059182,0.975419173032
10.0,19.0,0.0,1.84076464042,1.44166834058
10.0,22.0,4e-05,1.83932242224,1.2758574873
10.0,26.0,0.23569,1.84007848187,1.70514882687
13.0,14.0,0.50148,1.21181689679,1.2605028081
13.0,16.0,0.00261,1.21380625852,1.1009694485
13.0,18.0,0.0,1.21273832645,0.975454124929
13.0,19.0,0.00023,1.21201555534,1.44411505414
13.0,22.0,0.29819,1.21407159386,1.27727446943
13.0,26.0,0.0,1.21246000833,1.70482624429
14.0,16.0,4e-05,1.25938578974,1.09966433172
14.0,18.0,0.0,1.26104164821,0.9757040976
14.0,19.0,0.00576,1.25909026296,1.44197818759
14.0,22.0,0.74751,1.25916812136,1.27727672907
14.0,26.0,0.0,1.26004551188,1.7051206929
16.0,18.0,0.0,1.099832547,0.975649396971
16.0,19.0,0.0,1.09965508202,1.4409811244
16.0,22.0,0.0,1.10034971523,1.27877528109
16.0,26.0,0.0,1.10001461027,1.70273752787
18.0,19.0,0.0,0.975658051018,1.44187136566
18.0,22.0,0.0,0.975684727703,1.27654502914
18.0,26.0,0.0,0.975630168041,1.70432060119
19.0,22.0,0.00998,1.44102380767,1.27797176526
19.0,26.0,7e-05,1.44283536455,1.70142653626
22.0,26.0,0.0,1.27714015759,1.70073363364
