,1_RANK,1_UPTAKE,2_RANK,2_UPTAKE,4_RANK,4_UPTAKE,7_RANK,7_UPTAKE,8_RANK,8_UPTAKE,9_RANK,9_UPTAKE,10_RANK,10_UPTAKE,13_RANK,13_UPTAKE,14_RANK,14_UPTAKE,16_RANK,16_UPTAKE,18_RANK,18_UPTAKE,19_RANK,19_UPTAKE,22_RANK,22_UPTAKE,26_RANK,26_UPTAKE
0,CEREBRAL_WHITE_MATTER,0.03901073844787245,CTX_FRONTALPOLE,0.03342289474530888,CTX_ROSTRALMIDDLEFRONTAL,0.032643712581215796,CTX_ROSTRALMIDDLEFRONTAL,0.03572586684010903,CTX_FRONTALPOLE,0.02819262607599588,BRAIN_STEM,0.0315362318858678,CTX_PERICALCARINE,0.03249164807196231,CEREBRAL_WHITE_MATTER,0.031129647666991653,CTX_PARSORBITALIS,0.03251000921917114,CEREBRAL_WHITE_MATTER,0.033056703049990886,CEREBRAL_WHITE_MATTER,0.036035204762945645,CEREBELLUM_WHITE_MATTER,0.026538220050020885,CEREBRAL_WHITE_MATTER,0.03581660767992368,CTX_TRANSVERSETEMPORAL,0.029965211675164128
1,CEREBELLUM_WHITE_MATTER,0.03782662516183463,CTX_PARSORBITALIS,0.031262651339429494,CTX_FRONTALPOLE,0.03076603690144516,CTX_FRONTALPOLE,0.03484067842153767,CTX_ROSTRALMIDDLEFRONTAL,0.028176944423842845,VENTRALDC,0.030464373741239788,CTX_LATERALOCCIPITAL,0.03142805821552066,CEREBELLUM_WHITE_MATTER,0.02941020023662463,CEREBRAL_WHITE_MATTER,0.031355425127191784,BRAIN_STEM,0.031878871174278935,CEREBELLUM_WHITE_MATTER,0.03554609413313662,CTX_PARSORBITALIS,0.02638779729446913,CTX_PARSORBITALIS,0.03219548592279846,CTX_ROSTRALMIDDLEFRONTAL,0.028524635216829877
2,BRAIN_STEM,0.037146093260402475,CTX_ROSTRALMIDDLEFRONTAL,0.030215603322674634,CTX_PARSORBITALIS,0.02995006665498407,CTX_PARSORBITALIS,0.03297805060700614,CTX_PARSORBITALIS,0.027692797566721758,CEREBRAL_WHITE_MATTER,0.030076494909805247,CTX_CUNEUS,0.030906767588548493,CTX_LATERALOCCIPITAL,0.029136196875146698,CEREBELLUM_WHITE_MATTER,0.03046884086301112,CEREBELLUM_WHITE_MATTER,0.03185504154531422,BRAIN_STEM,0.034852173705722855,CEREBRAL_WHITE_MATTER,0.02637388883476631,CTX_POSTCENTRAL,0.030940846729229112,CTX_CAUDALANTERIORCINGULATE,0.02812172006182984
3,VENTRALDC,0.0350812273529369,CTX_LATERALORBITOFRONTAL,0.02880223294818818,CTX_PARSTRIANGULARIS,0.02974052380604436,CTX_CAUDALMIDDLEFRONTAL,0.03244054277558398,CTX_PRECUNEUS,0.027043302032396233,CEREBELLUM_WHITE_MATTER,0.030042722992465142,CTX_SUPERIORPARIETAL,0.028668888235393746,BRAIN_STEM,0.02912011614354812,BRAIN_STEM,0.030424079787516527,CTX_PARSORBITALIS,0.030147693317026852,VENTRALDC,0.032778431661791486,CTX_ROSTRALMIDDLEFRONTAL,0.025966730268582948,CTX_PARSTRIANGULARIS,0.030825914730793498,CTX_ROSTRALANTERIORCINGULATE,0.028063714875430558
4,PALLIDUM,0.02723833078895724,CTX_PARSTRIANGULARIS,0.028641375207121064,CTX_PRECUNEUS,0.02829866664329205,CTX_PARSTRIANGULARIS,0.03147534733938449,CTX_PARSTRIANGULARIS,0.02665397100909793,CTX_CAUDALANTERIORCINGULATE,0.02761185853280857,CTX_FRONTALPOLE,0.02778785274425652,CTX_PARSORBITALIS,0.028623804815000774,CTX_LATERALORBITOFRONTAL,0.029506548309713634,VENTRALDC,0.02938916032374361,CTX_PARSORBITALIS,0.027036019775256156,BRAIN_STEM,0.025946671810633048,CEREBELLUM_WHITE_MATTER,0.03026075285697469,CTX_PARSTRIANGULARIS,0.02755429492330882
5,THALAMUS_PROPER,0.026277620687165378,CTX_MEDIALORBITOFRONTAL,0.0282477678783452,CTX_SUPERIORPARIETAL,0.028120240473751872,CTX_PARSOPERCULARIS,0.029477661804511338,CTX_BANKSSTS,0.026624068098077006,CTX_PARACENTRAL,0.025159433156286597,CTX_INFERIORPARIETAL,0.027108259204225577,CTX_CUNEUS,0.02816789409693091,CTX_ROSTRALMIDDLEFRONTAL,0.028975907541693255,CTX_FRONTALPOLE,0.028379075707817062,PALLIDUM,0.025706374865803613,CTX_PARSTRIANGULARIS,0.0258434816046982,CTX_PARACENTRAL,0.029840929554661333,CTX_PARSOPERCULARIS,0.027544531500039295
6,CTX_PARSORBITALIS,0.02613815422695915,CTX_PRECUNEUS,0.027845309131218406,CTX_CAUDALMIDDLEFRONTAL,0.027887983236692195,CTX_SUPERIORFRONTAL,0.02909890740056242,CTX_INFERIORPARIETAL,0.0263719935502031,CTX_POSTERIORCINGULATE,0.025069436647361675,CTX_ROSTRALMIDDLEFRONTAL,0.026841760546138453,VENTRALDC,0.02757084145777777,CTX_ROSTRALANTERIORCINGULATE,0.028766079939530773,CTX_LATERALOCCIPITAL,0.027827085798683197,CTX_LATERALORBITOFRONTAL,0.024385230278586092,CTX_SUPERIORPARIETAL,0.025797350121220728,BRAIN_STEM,0.029363871935186723,CTX_POSTERIORCINGULATE,0.027318805723306683
7,CTX_LATERALORBITOFRONTAL,0.02610058080035102,CTX_BANKSSTS,0.027183173843431684,CTX_POSTCENTRAL,0.027432584228359893,CTX_SUPRAMARGINAL,0.028729068726068164,CTX_SUPERIORPARIETAL,0.026362317633792997,THALAMUS_PROPER,0.02499634020708374,CTX_PRECUNEUS,0.026721049047409108,CTX_SUPERIORPARIETAL,0.027481063594890342,VENTRALDC,0.02875318117574512,CTX_POSTCENTRAL,0.026123014282904308,THALAMUS_PROPER,0.024084539493624293,CTX_PRECUNEUS,0.025796693916782333,CTX_PRECENTRAL,0.028665949037119547,CTX_SUPERIORFRONTAL,0.027063169995957835
8,CTX_TRANSVERSETEMPORAL,0.024722735919407466,CTX_PARSOPERCULARIS,0.027153030051607126,CTX_CAUDALANTERIORCINGULATE,0.027324141808713936,CTX_INFERIORPARIETAL,0.028575015660963245,CTX_MEDIALORBITOFRONTAL,0.026265136677009707,CTX_ISTHMUSCINGULATE,0.02497773987647023,CTX_PARSORBITALIS,0.026479563482297977,CTX_LATERALORBITOFRONTAL,0.027246695645055382,CTX_MEDIALORBITOFRONTAL,0.028466061495185314,CTX_SUPERIORPARIETAL,0.025448581438828655,CTX_FRONTALPOLE,0.023981606093140657,CTX_FRONTALPOLE,0.02552576526757072,VENTRALDC,0.02860629120598093,CTX_MEDIALORBITOFRONTAL,0.02692942244642055
9,CTX_TEMPORALPOLE,0.023336706022595147,CEREBRAL_WHITE_MATTER,0.026980649616189487,CTX_SUPRAMARGINAL,0.02720341093974983,CTX_LATERALORBITOFRONTAL,0.028463433761974653,CTX_LATERALORBITOFRONTAL,0.026114176172196527,CTX_ROSTRALANTERIORCINGULATE,0.024976849414779016,CTX_POSTCENTRAL,0.026020363726989314,CTX_PRECUNEUS,0.02621402344093965,CTX_PARSTRIANGULARIS,0.028073037410761763,CTX_PARSTRIANGULARIS,0.025330836974967158,CTX_PARACENTRAL,0.023929487975786208,VENTRALDC,0.024902364787374974,CTX_LATERALOCCIPITAL,0.028420331696481633,CTX_CAUDALMIDDLEFRONTAL,0.026904704630674233
