,1_RANK,1_UPTAKE,2_RANK,2_UPTAKE,4_RANK,4_UPTAKE,7_RANK,7_UPTAKE,8_RANK,8_UPTAKE,9_RANK,9_UPTAKE,10_RANK,10_UPTAKE,13_RANK,13_UPTAKE,14_RANK,14_UPTAKE,16_RANK,16_UPTAKE,18_RANK,18_UPTAKE,19_RANK,19_UPTAKE,22_RANK,22_UPTAKE,26_RANK,26_UPTAKE
0,CEREBRAL_WHITE_MATTER,1.75393113542706,CTX_FRONTALPOLE,2.134369443890327,CTX_ROSTRALMIDDLEFRONTAL,2.7245550857130003,CTX_ROSTRALMIDDLEFRONTAL,2.550753384617118,CTX_FRONTALPOLE,2.1349213590918072,BRAIN_STEM,1.5960053018941078,CTX_PERICALCARINE,2.348557802430717,CEREBRAL_WHITE_MATTER,1.673647209144616,CTX_PARSORBITALIS,1.759249988791902,CEREBRAL_WHITE_MATTER,1.5788818082685787,CEREBRAL_WHITE_MATTER,1.6321303703983707,CEREBELLUM_WHITE_MATTER,1.5702758592602446,CEREBRAL_WHITE_MATTER,1.8816810322849749,CTX_TRANSVERSETEMPORAL,1.989235063529599
1,CEREBELLUM_WHITE_MATTER,1.700262750424454,CTX_PARSORBITALIS,1.9954511953236944,CTX_FRONTALPOLE,2.5732778010173365,CTX_FRONTALPOLE,2.4777422626510477,CTX_ROSTRALMIDDLEFRONTAL,2.1314892345051835,VENTRALDC,1.5440084243729157,CTX_LATERALOCCIPITAL,2.2662003653697065,CEREBELLUM_WHITE_MATTER,1.5814086610755558,CEREBRAL_WHITE_MATTER,1.6952545116635662,BRAIN_STEM,1.5238904709512846,CEREBELLUM_WHITE_MATTER,1.6100918733479672,CTX_PARSORBITALIS,1.5698970507154422,CTX_PARSORBITALIS,1.6867966077118277,CTX_ROSTRALMIDDLEFRONTAL,1.9032306534854557
2,BRAIN_STEM,1.6715851092983558,CTX_ROSTRALMIDDLEFRONTAL,1.9379662627072392,CTX_PARSTRIANGULARIS,2.4797904051593673,CTX_PARSORBITALIS,2.348779486842358,CTX_PARSORBITALIS,2.0970581791248595,CEREBRAL_WHITE_MATTER,1.521559674894559,CTX_CUNEUS,2.234079882430579,CTX_LATERALOCCIPITAL,1.5676896177817683,CEREBELLUM_WHITE_MATTER,1.646935744224331,CEREBELLUM_WHITE_MATTER,1.5219994394088092,BRAIN_STEM,1.5796005997777967,CEREBRAL_WHITE_MATTER,1.5604278039476134,CTX_POSTCENTRAL,1.6232115084067906,CTX_ROSTRALANTERIORCINGULATE,1.871833729638279
3,VENTRALDC,1.5796504267113933,CTX_LATERALORBITOFRONTAL,1.8497089127420046,CTX_PARSORBITALIS,2.4671241229912813,CTX_CAUDALMIDDLEFRONTAL,2.30705949766649,CTX_PRECUNEUS,2.049036886284339,CEREBELLUM_WHITE_MATTER,1.5201342672342186,CTX_SUPERIORPARIETAL,2.08967838076396,BRAIN_STEM,1.5624924006793879,BRAIN_STEM,1.6436883968172609,CTX_PARSORBITALIS,1.4448167930177123,VENTRALDC,1.4864815696408211,CTX_ROSTRALMIDDLEFRONTAL,1.5489057223840716,CTX_PARSTRIANGULARIS,1.6195307534171872,CTX_CAUDALANTERIORCINGULATE,1.87131928926891
4,PALLIDUM,1.2276372258175559,CTX_PARSTRIANGULARIS,1.8359102140761683,CTX_PRECUNEUS,2.376140972285702,CTX_PARSTRIANGULARIS,2.248678167370517,CTX_BANKSSTS,2.017490000763381,CTX_CAUDALANTERIORCINGULATE,1.3971015113861345,CTX_FRONTALPOLE,2.0128692452895933,CTX_PARSORBITALIS,1.5489018470204237,CTX_LATERALORBITOFRONTAL,1.6000356598303636,VENTRALDC,1.4055410628769784,CTX_PARSORBITALIS,1.2289856081231114,CTX_PARSTRIANGULARIS,1.5420736361069798,CEREBELLUM_WHITE_MATTER,1.5799891622759556,CTX_PARSTRIANGULARIS,1.838295259594925
5,THALAMUS_PROPER,1.184118178171896,CTX_MEDIALORBITOFRONTAL,1.811909903230008,CTX_SUPERIORPARIETAL,2.347356903505554,CTX_PARSOPERCULARIS,2.103514271668364,CTX_PARSTRIANGULARIS,2.014931577671677,CTX_PARACENTRAL,1.2759349721356614,CTX_INFERIORPARIETAL,1.965581578926077,CTX_CUNEUS,1.5230667609723,CTX_ROSTRALMIDDLEFRONTAL,1.5723858161552429,CTX_FRONTALPOLE,1.3593115732939962,PALLIDUM,1.1667273906114457,CTX_SUPERIORPARIETAL,1.538350516469313,CTX_PARACENTRAL,1.5658246093740185,CTX_PARSOPERCULARIS,1.8361778733575405
6,CTX_PARSORBITALIS,1.179684376445668,CTX_PRECUNEUS,1.7973145180928114,CTX_CAUDALMIDDLEFRONTAL,2.3280989097793228,CTX_SUPERIORFRONTAL,2.072307739022898,CTX_INFERIORPARIETAL,1.9965064658130898,CTX_POSTERIORCINGULATE,1.2718734852497722,CTX_ROSTRALMIDDLEFRONTAL,1.9532476715272435,CTX_SUPERIORPARIETAL,1.4818174225139895,CTX_ROSTRALANTERIORCINGULATE,1.5602943307420833,CTX_LATERALOCCIPITAL,1.3339405372288826,CTX_LATERALORBITOFRONTAL,1.1077613885509618,CTX_PRECUNEUS,1.5383171944118252,BRAIN_STEM,1.5356970106157812,CTX_POSTERIORCINGULATE,1.8223570377102625
7,CTX_LATERALORBITOFRONTAL,1.179206863694984,CTX_BANKSSTS,1.7521191867825776,CTX_POSTCENTRAL,2.294942306298227,CTX_SUPRAMARGINAL,2.0513473697614604,CTX_SUPERIORPARIETAL,1.9892991530257278,CTX_ISTHMUSCINGULATE,1.2671096526159527,CTX_PRECUNEUS,1.948873654424357,VENTRALDC,1.478523678562576,VENTRALDC,1.5543159872711756,CTX_POSTCENTRAL,1.251752390281233,THALAMUS_PROPER,1.092036614537285,BRAIN_STEM,1.5361666159378509,VENTRALDC,1.5008343676801428,CTX_SUPERIORFRONTAL,1.8023059335190839
8,CTX_TRANSVERSETEMPORAL,1.1149433105142372,CTX_PARSOPERCULARIS,1.7470136150593254,CTX_SUPRAMARGINAL,2.275601321591394,CTX_INFERIORPARIETAL,2.0348210439307857,CTX_MEDIALORBITOFRONTAL,1.9892084024181393,THALAMUS_PROPER,1.2665873882493597,CTX_PARSORBITALIS,1.9213021579908072,CTX_LATERALORBITOFRONTAL,1.4758106070362107,CTX_MEDIALORBITOFRONTAL,1.5463480859203387,CTX_SUPERIORPARIETAL,1.2211720560697013,CTX_FRONTALPOLE,1.0887392367443378,CTX_FRONTALPOLE,1.5238040615151407,CTX_PRECENTRAL,1.499460555362924,CTX_CAUDALMIDDLEFRONTAL,1.797328258072585
9,CTX_TEMPORALPOLE,1.052211255706736,CTX_INFERIORPARIETAL,1.720283440756758,CTX_CAUDALANTERIORCINGULATE,2.271482309369346,CTX_LATERALORBITOFRONTAL,2.029288350738486,CTX_LATERALORBITOFRONTAL,1.9739605037273584,CTX_ROSTRALANTERIORCINGULATE,1.2629998363259833,CTX_POSTCENTRAL,1.8957322066988818,CTX_PRECUNEUS,1.4134793569938928,CTX_PARSTRIANGULARIS,1.521756496366993,CTX_PARSTRIANGULARIS,1.215177620476223,CTX_PARACENTRAL,1.086283381428724,CTX_LATERALORBITOFRONTAL,1.4784759963555374,CTX_FRONTALPOLE,1.4992627687200943,CTX_MEDIALORBITOFRONTAL,1.7924220223585323
