pattern,count_prior,count_post,cortical_summary,below_threshold,cortical_summary_change,N,SMC,MCI,AD,neg-neg,neg-pos,pos-neg,pos-pos,AD-AD,AD-MCI,MCI-AD,MCI-MCI,MCI-N,N-AD,N-MCI,N-N,SMC-AD,SMC-SMC,Age@AV45,Age@AV45_N,Gender,Gender_N,APOE2_BIN,APOE2_BIN_N,APOE4_BIN,APOE4_BIN_N,Edu.(Yrs),Edu.(Yrs)_N,SMOKING,SMOKING_N,DIABETES,DIABETES_N,UW_MEM_BL_3months,UW_MEM_BL_3months_N,UW_MEM_slope,UW_MEM_slope_N,UW_EF_BL_3months,UW_EF_BL_3months_N,UW_EF_slope,UW_EF_slope_N,WMH_percentOfICV_AV45_6MTHS,WMH_percentOfICV_AV45_6MTHS_N,WMH_percentOfICV_slope,WMH_percentOfICV_slope_N,CSF_TAU_closest_AV45,CSF_TAU_closest_AV45_N,CSF_TAU_slope,CSF_TAU_slope_N,CSF_ABETA_closest_AV45,CSF_ABETA_closest_AV45_N,CSF_ABETA_slope,CSF_ABETA_slope_N,FSX_HC/ICV_BL_3months,FSX_HC/ICV_BL_3months_N,FSX_HC/ICV_slope,FSX_HC/ICV_slope_N,FDG_PONS_AV45_6MTHS,FDG_PONS_AV45_6MTHS_N,FDG_postAV45_slope,FDG_postAV45_slope_N
0.0,44.0,24.0,1.13463661915,0.921116599261,0.015150121627,0.253731343284,0.134328358209,0.567164179104,0.044776119403,0.862068965517,0.0689655172414,0.0,0.0689655172414,,,0.103448275862,0.48275862069,0.0689655172414,,0.0344827586207,0.172413793103,,0.137931034483,70.8354780488,41.0,1.36363636364,44.0,0.0952380952381,42.0,0.333333333333,42.0,16.7727272727,44.0,0.295454545455,44.0,0.159090909091,44.0,1.01280952381,42.0,-0.0204017948718,39.0,0.827285714286,42.0,-0.121247179487,39.0,0.00383142857143,35.0,0.000206470588235,34.0,53.9481481481,27.0,-0.0218130769231,13.0,216.385185185,27.0,-2.36190615385,13.0,0.005006,40.0,-8.27272727273e-05,33.0,1.25748651163,43.0,-0.0132464705882,17.0
1.0,40.0,28.0,1.58725938776,0.119885804477,0.0608584002252,0.208955223881,0.0597014925373,0.626865671642,0.10447761194,0.0,0.0384615384615,0.0,0.961538461538,,,0.153846153846,0.5,0.153846153846,,0.0384615384615,0.115384615385,,0.0384615384615,73.4953425,40.0,1.45,40.0,0.125,40.0,0.725,40.0,16.075,40.0,0.3,40.0,0.075,40.0,0.394875,40.0,-0.109173157895,38.0,0.39285,40.0,-0.0511305263158,38.0,0.00594878787879,33.0,0.000525151515152,33.0,94.3967741935,31.0,5.226597,10.0,144.940625,32.0,-1.932022,10.0,0.00485090909091,33.0,-6.39393939394e-05,33.0,1.30052475,40.0,-0.0273427777778,18.0
4.0,49.0,25.0,1.44065575097,0.191108618856,0.0512830550373,0.283783783784,0.0810810810811,0.554054054054,0.0810810810811,0.0,0.0714285714286,0.0,0.928571428571,,,0.0740740740741,0.555555555556,,0.037037037037,0.037037037037,0.185185185185,,0.111111111111,76.2379708333,48.0,1.44897959184,49.0,0.142857142857,49.0,0.469387755102,49.0,16.0816326531,49.0,0.265306122449,49.0,0.102040816327,49.0,0.352918367347,49.0,-0.0562972093023,43.0,0.195816326531,49.0,-0.110818604651,43.0,0.0059575,40.0,7.23684210526e-05,38.0,102.592105263,38.0,3.241513125,16.0,143.8,38.0,-3.842369375,16.0,0.004649,40.0,-0.000100810810811,37.0,1.26229708333,48.0,-0.0214961904762,21.0
5.0,254.0,137.0,2.11328142216,0.00328882748629,0.0492069042558,0.112820512821,0.0487179487179,0.487179487179,0.351282051282,0.0,0.0,0.0,1.0,0.102803738318,0.00934579439252,0.364485981308,0.289719626168,0.00934579439252,0.0280373831776,0.018691588785,0.121495327103,,0.0560747663551,74.2726254032,248.0,1.5256916996,253.0,0.032,250.0,0.732,250.0,15.8260869565,253.0,0.228346456693,254.0,0.0826771653543,254.0,-0.122988047809,251.0,-0.176550541667,240.0,-0.252250996016,251.0,-0.191001260504,238.0,0.0054359047619,210.0,0.000349308510638,188.0,126.948529412,204.0,1.99894980769,52.0,130.954761905,210.0,-1.06342792453,53.0,0.00425455399061,213.0,-0.000148064516129,186.0,1.14952776892,251.0,-0.0366202222222,90.0
7.0,88.0,42.0,1.78767770005,0.0331653532756,0.0669827929014,0.107692307692,0.0307692307692,0.592307692308,0.269230769231,0.0181818181818,0.0181818181818,0.0,0.963636363636,0.109090909091,,0.236363636364,0.509090909091,,0.0363636363636,0.0545454545455,0.0363636363636,,0.0181818181818,75.2887464286,84.0,1.23863636364,88.0,0.0340909090909,88.0,0.704545454545,88.0,15.8977272727,88.0,0.204545454545,88.0,0.113636363636,88.0,0.00317045454545,88.0,-0.185290833333,84.0,0.139034090909,88.0,-0.186752289157,83.0,0.00598929577465,71.0,-5.75e-05,72.0,112.55942029,69.0,1.7469625,28.0,132.951388889,72.0,-2.17590068966,29.0,0.00413807692308,78.0,-0.000109594594595,74.0,1.16957471264,87.0,-0.019084,40.0
8.0,14.0,6.0,1.230308157,0.673730200117,-0.00802755418423,0.25,0.15,0.5,0.1,0.5,0.333333333333,0.166666666667,0.0,,,,0.666666666667,,,0.166666666667,0.166666666667,,,71.3949428571,14.0,1.35714285714,14.0,0.285714285714,14.0,0.285714285714,14.0,16.0714285714,14.0,0.285714285714,14.0,0.142857142857,14.0,0.611928571429,14.0,0.0328971428571,14.0,0.784785714286,14.0,-0.0585335714286,14.0,0.00437,12.0,-0.000207,10.0,72.9333333333,12.0,1.303085,2.0,237.058333333,12.0,7.733975,2.0,0.00441909090909,11.0,-0.000108,10.0,1.37183692308,13.0,0.03026,4.0
12.0,62.0,32.0,2.02286180016,0.0200315332143,0.0414167117986,0.18085106383,0.0425531914894,0.436170212766,0.340425531915,0.0,0.0,0.0,1.0,0.08,,0.24,0.28,,0.04,0.04,0.24,,0.08,76.1499672414,58.0,1.54838709677,62.0,0.0806451612903,62.0,0.483870967742,62.0,15.6612903226,62.0,0.258064516129,62.0,0.129032258065,62.0,-0.0787704918033,61.0,-0.203165263158,57.0,-0.477016666667,60.0,-0.224550714286,56.0,0.0093586,50.0,0.000652916666667,48.0,112.32,50.0,0.516299166667,12.0,129.886792453,53.0,-3.7131575,12.0,0.0042452173913,46.0,-0.000104318181818,44.0,1.12810868852,61.0,-0.032093,20.0
15.0,136.0,69.0,1.10327986678,0.959658841465,0.0173517785715,0.346341463415,0.170731707317,0.478048780488,0.00487804878049,0.848837209302,0.116279069767,0.0,0.0348837209302,,,0.0119047619048,0.464285714286,0.0357142857143,,,0.321428571429,,0.166666666667,71.5778457364,129.0,1.69852941176,136.0,0.132352941176,136.0,0.227941176471,136.0,16.5588235294,136.0,0.161764705882,136.0,0.0588235294118,136.0,0.832729323308,133.0,-0.00427360902256,133.0,0.675142857143,133.0,0.0686578030303,132.0,0.00395336206897,116.0,0.000352072072072,111.0,58.4579439252,107.0,1.55266939394,33.0,213.866055046,109.0,-3.49072205882,34.0,0.00515460176991,113.0,-5.43119266055e-05,109.0,1.34005619403,134.0,-0.00788761904762,63.0
17.0,5.0,1.0,2.26224457693,7.62414517082e-11,0.0366633124205,0.166666666667,0.166666666667,0.5,0.166666666667,0.0,0.0,0.0,1.0,,,,1.0,,,,,,,77.3388,5.0,1.6,5.0,0.0,5.0,0.4,5.0,15.4,5.0,0.0,5.0,0.0,5.0,0.314,5.0,-0.26774,5.0,0.2426,5.0,-0.2866,5.0,0.0035675,4.0,9.33333333333e-05,3.0,100.88,5.0,2.92334,1.0,127.72,5.0,-4.17597,1.0,0.004525,4.0,-0.000233333333333,3.0,1.299492,5.0,-0.02353,1.0
18.0,6.0,4.0,1.28981343687,0.472313593877,0.060599763131,0.6,0.2,0.1,0.1,1.0,0.0,0.0,0.0,,,,,,,,,,1.0,78.9098833333,6.0,1.5,6.0,0.166666666667,6.0,0.333333333333,6.0,16.8333333333,6.0,0.166666666667,6.0,0.166666666667,6.0,0.556666666667,6.0,-0.0801083333333,6.0,0.622666666667,6.0,-0.128578333333,6.0,0.005505,4.0,0.000643333333333,3.0,72.1,5.0,-2.66247,1.0,159.14,5.0,-15.73276,1.0,0.00437166666667,6.0,-8.8e-05,5.0,1.32101833333,6.0,0.0211066666667,3.0
