pattern,count_prior,count_post,cortical_summary,below_threshold,cortical_summary_change,N,SMC,MCI,AD,neg-neg,neg-pos,pos-neg,pos-pos,AD-AD,AD-MCI,MCI-AD,MCI-MCI,MCI-N,N-AD,N-MCI,N-N,SMC-AD,SMC-SMC
0.0,130.0,94.0,1.41022436569,0.0446428571429,0.0208838399844,0.401785714286,0.0803571428571,0.473214285714,0.0446428571429,0.0384615384615,0.0128205128205,0.0,0.948717948718,0.0128205128205,,0.025641025641,0.474358974359,0.0128205128205,,0.0384615384615,0.384615384615,,0.0512820512821
1.0,394.0,218.0,1.40349992011,0.0669934640523,0.0303995667779,0.350245499182,0.142389525368,0.474631751227,0.0327332242226,0.0306513409962,0.0536398467433,0.0114942528736,0.904214559387,0.0153256704981,,0.0191570881226,0.444444444444,0.0459770114943,,0.0114942528736,0.348659003831,0.00383141762452,0.111111111111
2.0,55.0,27.0,3.03960868534,0.0,0.0883621709727,0.0609756097561,0.0,0.292682926829,0.646341463415,0.0,0.0,0.0,1.0,0.444444444444,,0.277777777778,0.222222222222,,,,0.0555555555556,,
3.0,28.0,12.0,2.69548086087,0.0,0.0473727613715,0.1,0.025,0.5,0.375,0.0,0.0,0.0,1.0,0.125,,0.5,0.25,,,,0.125,,
4.0,33.0,14.0,2.26288060304,0.0,0.0641954608749,0.276595744681,0.127659574468,0.489361702128,0.106382978723,0.0,0.0,0.0,1.0,,,0.176470588235,0.411764705882,,,0.0588235294118,0.235294117647,,0.117647058824
5.0,7.0,4.0,1.60262607713,0.0,0.0948322961686,0.181818181818,0.0909090909091,0.454545454545,0.272727272727,0.0,0.0,0.0,1.0,,,0.5,0.5,,,,,,
6.0,152.0,74.0,2.41900399535,0.0,0.0888175784855,0.163716814159,0.0619469026549,0.615044247788,0.159292035398,0.0,0.0,0.0,1.0,0.0326086956522,0.0108695652174,0.184782608696,0.478260869565,0.0326086956522,,0.0326086956522,0.152173913043,,0.0760869565217
7.0,31.0,17.0,2.30990806567,0.0,0.107005184699,0.145833333333,0.0208333333333,0.416666666667,0.416666666667,0.0,0.0,0.0,1.0,0.230769230769,,0.230769230769,0.384615384615,,0.0769230769231,,0.0769230769231,,
8.0,46.0,36.0,1.52056056764,0.0121951219512,0.0493903690676,0.463414634146,0.0853658536585,0.341463414634,0.109756097561,0.0,0.0,0.0333333333333,0.966666666667,0.0666666666667,,,0.333333333333,0.0333333333333,0.0333333333333,0.0333333333333,0.4,,0.1
10.0,133.0,65.0,2.86621820037,0.0,0.0749856688125,0.0964467005076,0.0558375634518,0.472081218274,0.375634517766,0.0,0.0,0.0,1.0,0.2,,0.254545454545,0.345454545455,0.0181818181818,,0.0363636363636,0.109090909091,,0.0363636363636
53.0,40.0,25.0,2.29508278593,0.0,0.107242330996,0.184615384615,0.0615384615385,0.6,0.153846153846,0.0,0.0,0.0,1.0,0.0434782608696,,0.173913043478,0.521739130435,,,0.0434782608696,0.130434782609,,0.0869565217391
72.0,17.0,18.0,3.12311566031,0.0,0.215458798317,0.0,0.0,0.114285714286,0.885714285714,0.0,0.0,0.0,1.0,1.0,,,,,,,,,
