,0_RANK,0_UPTAKE,1_RANK,1_UPTAKE,2_RANK,2_UPTAKE,3_RANK,3_UPTAKE,4_RANK,4_UPTAKE,5_RANK,5_UPTAKE,8_RANK,8_UPTAKE,11_RANK,11_UPTAKE,12_RANK,12_UPTAKE,16_RANK,16_UPTAKE,17_RANK,17_UPTAKE,24_RANK,24_UPTAKE,25_RANK,25_UPTAKE,6_RANK,6_UPTAKE,63_RANK,63_UPTAKE
0,CTX_ROSTRALMIDDLEFRONTAL_change,0.13045029100305655,CTX_PERICALCARINE_change,0.06615432285537767,CTX_FRONTALPOLE_change,0.07194341530619532,CTX_FRONTALPOLE_change,0.07615871185142845,CTX_PERICALCARINE_change,0.08153099645292178,CTX_LINGUAL_change,0.15954176140115953,CTX_PARSORBITALIS_change,0.027492479856386837,CTX_CUNEUS_change,0.02034166969632555,CTX_BANKSSTS_change,,CTX_TRANSVERSETEMPORAL_change,0.02463265806466761,CTX_FRONTALPOLE_change,0.07055848423394259,CTX_FRONTALPOLE_change,0.018599535780998606,CTX_CAUDALMIDDLEFRONTAL_change,0.07119178721580473,CEREBELLUM_WHITE_MATTER_change,0.017884523647348764,CTX_PRECENTRAL_change,0.004851830512890324
1,CTX_PARSTRIANGULARIS_change,0.12636755352666743,CTX_FRONTALPOLE_change,0.06583379478393504,CTX_TRANSVERSETEMPORAL_change,0.06384174006014583,CTX_ROSTRALMIDDLEFRONTAL_change,0.06992807823680247,CTX_CUNEUS_change,0.07855987202958872,CTX_PARSORBITALIS_change,0.14142736803520287,CTX_PARAHIPPOCAMPAL_change,0.024967803218094987,CTX_PARSORBITALIS_change,0.0179795909715719,CTX_PRECENTRAL_change,,CTX_PARSOPERCULARIS_change,0.01865193819182651,CTX_ROSTRALMIDDLEFRONTAL_change,0.06232512924288846,CTX_ROSTRALMIDDLEFRONTAL_change,0.016254024220766407,CTX_POSTCENTRAL_change,0.06950577727453543,CEREBRAL_WHITE_MATTER_change,0.004374564733933062,CEREBRAL_WHITE_MATTER_change,0.0021935630943438
2,CTX_MEDIALORBITOFRONTAL_change,0.12051480361967126,CTX_LATERALOCCIPITAL_change,0.058051309842560635,CTX_PRECUNEUS_change,0.06042537552345761,CTX_MEDIALORBITOFRONTAL_change,0.0667474525948656,CTX_ENTORHINAL_change,0.06643104394046484,CTX_SUPERIORFRONTAL_change,0.13383108548585115,CTX_TRANSVERSETEMPORAL_change,0.024508745282205088,CTX_ENTORHINAL_change,0.017251601356201768,CTX_MEDIALORBITOFRONTAL_change,,CTX_BANKSSTS_change,0.018618295487481302,CTX_PRECUNEUS_change,0.05215425384662959,CTX_PARSTRIANGULARIS_change,0.012455601369464041,CTX_SUPERIORPARIETAL_change,0.06832022076007638,CTX_BANKSSTS_change,0.002248306655304092,CEREBELLUM_WHITE_MATTER_change,0.0013324061671644166
3,CTX_POSTCENTRAL_change,0.1117296573058523,CTX_INFERIORTEMPORAL_change,0.057175500040088346,CTX_BANKSSTS_change,0.058280795253857376,CTX_PARSOPERCULARIS_change,0.06421712250736818,CTX_LATERALOCCIPITAL_change,0.062485180241327085,PUTAMEN_change,0.12382637182716254,CTX_BANKSSTS_change,0.024398784228454734,CTX_ISTHMUSCINGULATE_change,0.017092765567003277,CTX_PARSORBITALIS_change,,CTX_ROSTRALANTERIORCINGULATE_change,0.018085105768329984,CTX_PARSTRIANGULARIS_change,0.05138830397071214,CTX_SUPERIORPARIETAL_change,0.011851441354281936,CTX_ROSTRALMIDDLEFRONTAL_change,0.06457600546657062,CTX_FRONTALPOLE_change,-0.0015629007104059126,CTX_POSTCENTRAL_change,0.0009698527136948836
4,CTX_LATERALORBITOFRONTAL_change,0.11124618601509248,CTX_ROSTRALMIDDLEFRONTAL_change,0.05542310821343657,CTX_LATERALORBITOFRONTAL_change,0.058236396682192555,CTX_PARSTRIANGULARIS_change,0.06253357148135034,CTX_CAUDALMIDDLEFRONTAL_change,0.054920936934769876,CTX_PARACENTRAL_change,0.12098299896013945,CTX_PARSTRIANGULARIS_change,0.02231809339476166,CTX_PERICALCARINE_change,0.016829388292424977,CAUDATE_change,,CTX_CAUDALANTERIORCINGULATE_change,0.016661338666889618,CTX_SUPERIORPARIETAL_change,0.05065440051230156,CTX_CAUDALMIDDLEFRONTAL_change,0.010251456248821733,CTX_SUPERIORFRONTAL_change,0.05958123586297579,CTX_PARACENTRAL_change,-0.0043798406525725215,CTX_SUPERIORPARIETAL_change,0.00017157514518530078
5,CTX_PERICALCARINE_change,0.11102373777574678,CTX_MIDDLETEMPORAL_change,0.05409362160001029,CTX_MEDIALORBITOFRONTAL_change,0.056397626829398466,CTX_ROSTRALANTERIORCINGULATE_change,0.05983098184132546,CTX_LINGUAL_change,0.05426768030242563,CTX_FUSIFORM_change,0.10544415971137679,CTX_LATERALORBITOFRONTAL_change,0.022066245883417063,CTX_PRECUNEUS_change,0.01667955441028948,CTX_LINGUAL_change,,CTX_ISTHMUSCINGULATE_change,0.01651208096851139,CTX_INFERIORPARIETAL_change,0.0494127290286398,CTX_LATERALOCCIPITAL_change,0.010049157284941372,CTX_PRECENTRAL_change,0.059031803051116424,PALLIDUM_change,-0.00494276732204466,CTX_SUPERIORTEMPORAL_change,-0.006556193018880827
6,CTX_CAUDALMIDDLEFRONTAL_change,0.10958246935278779,CTX_TRANSVERSETEMPORAL_change,0.05245699112937484,CTX_PARSORBITALIS_change,0.05542796793356778,CTX_CAUDALMIDDLEFRONTAL_change,0.04989303290026502,CTX_FUSIFORM_change,0.053808475004579304,CTX_LATERALORBITOFRONTAL_change,0.1022059412549749,CTX_MIDDLETEMPORAL_change,0.02046781669112802,CTX_INFERIORTEMPORAL_change,0.015790966604264132,THALAMUS_PROPER_change,,CTX_PRECUNEUS_change,0.015957597259714337,CTX_BANKSSTS_change,0.04875814116057672,CTX_SUPRAMARGINAL_change,0.00944252072187466,CTX_FRONTALPOLE_change,0.05688917613473856,VENTRALDC_change,-0.005518786220377427,CEREBELLUM_CORTEX_change,-0.006653793236801052
7,CTX_PRECENTRAL_change,0.10939518005682292,CTX_LATERALORBITOFRONTAL_change,0.052263508096134524,CTX_PERICALCARINE_change,0.05289100588714452,CTX_SUPERIORFRONTAL_change,0.046616918176418894,CTX_INFERIORTEMPORAL_change,0.05284812646664915,CTX_INFERIORTEMPORAL_change,0.10017614971554839,CTX_LATERALOCCIPITAL_change,0.01845157531972835,CTX_MEDIALORBITOFRONTAL_change,0.014928750330488683,CEREBELLUM_CORTEX_change,,CTX_FRONTALPOLE_change,0.015422752416053953,CTX_CAUDALMIDDLEFRONTAL_change,0.04850137624216634,CTX_PARSORBITALIS_change,0.009348850551128598,CTX_PERICALCARINE_change,0.05636793738210743,CTX_LATERALORBITOFRONTAL_change,-0.006367029627604039,AMYGDALA_change,-0.009573503471498407
8,CTX_PARSORBITALIS_change,0.10924246645275353,CTX_POSTCENTRAL_change,0.051408000313141196,CTX_PARSOPERCULARIS_change,0.051836178737969175,CTX_PRECUNEUS_change,0.043874456533501936,CTX_TRANSVERSETEMPORAL_change,0.05279132828042061,CTX_CAUDALMIDDLEFRONTAL_change,0.08105795166330106,CTX_INFERIORTEMPORAL_change,0.017455143518437157,CTX_FRONTALPOLE_change,0.014332596758012607,PALLIDUM_change,,CTX_PARAHIPPOCAMPAL_change,0.015219212872221223,CTX_POSTCENTRAL_change,0.04762715053613016,CTX_INFERIORPARIETAL_change,0.00896681763061409,CTX_INFERIORPARIETAL_change,0.055890492584353205,CTX_PERICALCARINE_change,-0.007279095712233036,CTX_CUNEUS_change,-0.010730902459428714
9,CTX_INFERIORPARIETAL_change,0.10635445854672128,CTX_CAUDALMIDDLEFRONTAL_change,0.050751782297376896,CTX_INFERIORTEMPORAL_change,0.05178578304124183,CTX_POSTERIORCINGULATE_change,0.04246004677025809,CTX_ROSTRALMIDDLEFRONTAL_change,0.05075097899149066,CTX_CAUDALANTERIORCINGULATE_change,0.08088820824721128,CTX_ENTORHINAL_change,0.016879298548067995,CTX_POSTERIORCINGULATE_change,0.01408765199202142,CTX_ISTHMUSCINGULATE_change,,CTX_SUPERIORTEMPORAL_change,0.014875812903556086,CTX_INFERIORTEMPORAL_change,0.04663229472027452,CTX_PRECENTRAL_change,0.00721569863812584,CTX_BANKSSTS_change,0.05524481497506169,BRAIN_STEM_change,-0.00818969238202682,CTX_LATERALOCCIPITAL_change,-0.010962008791984817
