,0_RANK,0_UPTAKE,1_RANK,1_UPTAKE,2_RANK,2_UPTAKE,3_RANK,3_UPTAKE,4_RANK,4_UPTAKE,5_RANK,5_UPTAKE,8_RANK,8_UPTAKE,11_RANK,11_UPTAKE,12_RANK,12_UPTAKE,16_RANK,16_UPTAKE,17_RANK,17_UPTAKE,24_RANK,24_UPTAKE,25_RANK,25_UPTAKE,6_RANK,6_UPTAKE,63_RANK,63_UPTAKE
0,CTX_ROSTRALMIDDLEFRONTAL,0.034765161398305676,CTX_ROSTRALMIDDLEFRONTAL,0.029807490683567847,CEREBRAL_WHITE_MATTER,0.027857625242182275,CTX_PARSORBITALIS,0.03100303089664729,CTX_PERICALCARINE,0.03237769077709315,CTX_ROSTRALMIDDLEFRONTAL,0.03139346521060579,BRAIN_STEM,0.031215677170982954,CEREBRAL_WHITE_MATTER,0.03555317592241311,CTX_LATERALOCCIPITAL,0.03274068807454652,CEREBRAL_WHITE_MATTER,0.03297906770396264,CTX_ROSTRALMIDDLEFRONTAL,0.027738452682312176,CEREBRAL_WHITE_MATTER,0.03886983562929805,CTX_FRONTALPOLE,0.03192468681672901,CEREBRAL_WHITE_MATTER,0.03368819159477133,CEREBRAL_WHITE_MATTER,0.041271857041168855
1,CTX_FRONTALPOLE,0.03374969897673217,CTX_FRONTALPOLE,0.02917577103360729,CEREBELLUM_WHITE_MATTER,0.027487244180907183,CTX_ROSTRALMIDDLEFRONTAL,0.0300123388085614,CTX_LATERALOCCIPITAL,0.03196526592719473,CTX_SUPERIORPARIETAL,0.031255696711592534,VENTRALDC,0.030197864852709075,CEREBELLUM_WHITE_MATTER,0.035246726031433674,CEREBRAL_WHITE_MATTER,0.029455327217477182,CEREBELLUM_WHITE_MATTER,0.031786601937546635,CTX_PRECUNEUS,0.0276950746278194,CEREBELLUM_WHITE_MATTER,0.03761418252504211,CTX_PARSORBITALIS,0.031502032114859996,CTX_PARSTRIANGULARIS,0.03092426217367106,CEREBELLUM_WHITE_MATTER,0.04115008676333347
2,CTX_PARSORBITALIS,0.031917070524466705,CTX_PARSORBITALIS,0.028554369536180024,CTX_SUPERIORPARIETAL,0.026871332658559406,CEREBRAL_WHITE_MATTER,0.029931647010409682,CTX_CUNEUS,0.029128307840841205,CTX_CAUDALMIDDLEFRONTAL,0.030534347329579586,CEREBRAL_WHITE_MATTER,0.0296617749108791,BRAIN_STEM,0.034527031984356756,CEREBELLUM_WHITE_MATTER,0.029306168993371948,BRAIN_STEM,0.031688446779630806,CTX_MEDIALORBITOFRONTAL,0.027497874045388077,BRAIN_STEM,0.03668289326879421,CTX_ROSTRALMIDDLEFRONTAL,0.03069276672579634,CEREBELLUM_WHITE_MATTER,0.03041327989662548,BRAIN_STEM,0.0389131393277233
3,CTX_CAUDALMIDDLEFRONTAL,0.031610016327897554,CTX_PRECUNEUS,0.028124799882262817,BRAIN_STEM,0.026575192369866635,CTX_LATERALORBITOFRONTAL,0.02932704253818562,CTX_SUPERIORPARIETAL,0.028983234000154377,CTX_POSTCENTRAL,0.030408819740960207,CEREBELLUM_WHITE_MATTER,0.02950263605625094,VENTRALDC,0.0325469247800471,CTX_LATERALORBITOFRONTAL,0.02912517987794383,CTX_PARSORBITALIS,0.03033684209899913,CTX_ROSTRALANTERIORCINGULATE,0.027250018068761744,VENTRALDC,0.035061400670959995,CTX_PARSTRIANGULARIS,0.028700886334044332,CTX_POSTCENTRAL,0.030212591408611465,VENTRALDC,0.03749858575117177
4,CTX_PARSTRIANGULARIS,0.031237681042614047,CTX_INFERIORPARIETAL,0.027140388298299664,CTX_PRECUNEUS,0.026568714967487146,BRAIN_STEM,0.029171284184232184,CTX_INFERIORPARIETAL,0.027430159449425236,CTX_PARSTRIANGULARIS,0.029926351211389392,CTX_CAUDALANTERIORCINGULATE,0.027470376044832545,CTX_PARSORBITALIS,0.02707715970470804,CTX_CUNEUS,0.02906664012254921,VENTRALDC,0.02948676787494185,CTX_TRANSVERSETEMPORAL,0.027208385057387815,PALLIDUM,0.027301304434940426,CTX_LATERALORBITOFRONTAL,0.028592141327802856,BRAIN_STEM,0.02942723753021181,CTX_TRANSVERSETEMPORAL,0.028418996311881883
5,CTX_PARSOPERCULARIS,0.029563565003517405,CTX_PARSTRIANGULARIS,0.026915084570212137,CTX_LATERALOCCIPITAL,0.02624044013277432,CTX_ROSTRALANTERIORCINGULATE,0.02903012829639353,CTX_ROSTRALMIDDLEFRONTAL,0.02723098729167562,CTX_PARACENTRAL,0.029427821078256082,CTX_PARACENTRAL,0.025373964243462638,PALLIDUM,0.025654059230210073,CTX_INFERIORTEMPORAL,0.028927024146184397,CTX_FRONTALPOLE,0.028373438550425407,CTX_CAUDALANTERIORCINGULATE,0.026813956828558,CTX_PARSORBITALIS,0.026355722222531984,CTX_MEDIALORBITOFRONTAL,0.0279787002592946,CTX_PARACENTRAL,0.029125154003554112,CTX_ROSTRALANTERIORCINGULATE,0.028115139752944253
6,CTX_SUPERIORFRONTAL,0.029441498777379792,CTX_CAUDALMIDDLEFRONTAL,0.026876903873037036,CTX_INFERIORPARIETAL,0.025824774307156035,CEREBELLUM_WHITE_MATTER,0.028823144175622144,CTX_BANKSSTS,0.02716000922981405,CTX_INFERIORPARIETAL,0.02933606823845478,CTX_POSTERIORCINGULATE,0.025243641207524516,CTX_LATERALORBITOFRONTAL,0.024466064756099234,CTX_PARSORBITALIS,0.028195020731192757,CTX_LATERALOCCIPITAL,0.02781097490136105,CTX_LATERALORBITOFRONTAL,0.026512155986280168,THALAMUS_PROPER,0.026267614231729713,CTX_PRECUNEUS,0.027196629941414932,CTX_PARSORBITALIS,0.029100529439437903,THALAMUS_PROPER,0.027875015971917702
7,CTX_CAUDALANTERIORCINGULATE,0.02907548436618782,CTX_SUPERIORPARIETAL,0.026767120855426384,CTX_PARSORBITALIS,0.025579588995524604,VENTRALDC,0.027793485909045294,CTX_PRECUNEUS,0.027022918764085788,CTX_LATERALOCCIPITAL,0.028482621179211763,CTX_TRANSVERSETEMPORAL,0.02510733582147164,CTX_LATERALOCCIPITAL,0.024009947761978033,BRAIN_STEM,0.028082343177769496,CTX_POSTCENTRAL,0.025889708436285745,CTX_PARSORBITALIS,0.02633615985952929,CTX_LATERALORBITOFRONTAL,0.026109843153055395,CTX_ROSTRALANTERIORCINGULATE,0.026918441573507673,CTX_PRECENTRAL,0.028640577563065425,CTX_TEMPORALPOLE,0.02761291693262502
8,CTX_SUPRAMARGINAL,0.02869831247208246,CTX_BANKSSTS,0.026750560706134442,VENTRALDC,0.025470315840556007,CTX_FRONTALPOLE,0.027772345131813713,CTX_PARSORBITALIS,0.026847133462395145,CTX_PARSORBITALIS,0.028389967295567746,CTX_PARSTRIANGULARIS,0.024533025210794736,CTX_FRONTALPOLE,0.02397950052901718,CTX_FUSIFORM,0.027650336149263113,CTX_LATERALORBITOFRONTAL,0.025452944413076568,CTX_CAUDALMIDDLEFRONTAL,0.026027436376771608,CTX_TRANSVERSETEMPORAL,0.025069792993718996,CTX_PARSOPERCULARIS,0.026437256646287842,VENTRALDC,0.028251846612194573,CTX_PARACENTRAL,0.027499354401650834
9,CTX_INFERIORPARIETAL,0.02805589818244657,CTX_LATERALORBITOFRONTAL,0.026246969461800638,CTX_ROSTRALMIDDLEFRONTAL,0.025176623471067694,CTX_MEDIALORBITOFRONTAL,0.027666811959764486,CTX_FRONTALPOLE,0.026705556014815342,CTX_PRECUNEUS,0.028096726663618374,THALAMUS_PROPER,0.024390329307734403,CTX_PARACENTRAL,0.023944270293613342,VENTRALDC,0.027039800590971053,CTX_ROSTRALMIDDLEFRONTAL,0.025234706999760638,CTX_SUPERIORFRONTAL,0.025990248155066398,CTX_ROSTRALANTERIORCINGULATE,0.02313791804298101,CTX_INFERIORPARIETAL,0.02572079495681197,CTX_ROSTRALMIDDLEFRONTAL,0.02793923461721327,PALLIDUM,0.027224234745685635
