,0_RANK,0_UPTAKE,1_RANK,1_UPTAKE,2_RANK,2_UPTAKE,3_RANK,3_UPTAKE,4_RANK,4_UPTAKE,5_RANK,5_UPTAKE,8_RANK,8_UPTAKE,11_RANK,11_UPTAKE,12_RANK,12_UPTAKE,16_RANK,16_UPTAKE,17_RANK,17_UPTAKE,24_RANK,24_UPTAKE,25_RANK,25_UPTAKE,6_RANK,6_UPTAKE,63_RANK,63_UPTAKE
0,CTX_ROSTRALMIDDLEFRONTAL,1.6509224782296352,CTX_ROSTRALMIDDLEFRONTAL,1.6986129948522601,CEREBRAL_WHITE_MATTER,1.0858164839643147,CTX_PARSORBITALIS,1.1462038795912786,CTX_PERICALCARINE,1.9526513763892341,CTX_ROSTRALMIDDLEFRONTAL,1.9593520921996284,BRAIN_STEM,1.1302675293149793,CEREBRAL_WHITE_MATTER,1.0881389468819587,CTX_LATERALOCCIPITAL,1.2182232328653924,CEREBRAL_WHITE_MATTER,1.0832759074148566,CTX_ROSTRALMIDDLEFRONTAL,1.3728731884804202,CEREBRAL_WHITE_MATTER,1.0994217782917246,CTX_FRONTALPOLE,1.427848855531611,CEREBRAL_WHITE_MATTER,1.096939052486862,CEREBRAL_WHITE_MATTER,1.1031878266117496
1,CTX_FRONTALPOLE,1.5960109131308233,CTX_FRONTALPOLE,1.6598417505389642,CEREBELLUM_WHITE_MATTER,1.074180964116701,CTX_ROSTRALMIDDLEFRONTAL,1.1125563364303523,CTX_LATERALOCCIPITAL,1.9198667648346706,CTX_SUPERIORPARIETAL,1.9465391465035375,VENTRALDC,1.0947765157320848,CEREBELLUM_WHITE_MATTER,1.0814567078056205,CTX_LATERALORBITOFRONTAL,1.1127341706641267,CEREBELLUM_WHITE_MATTER,1.0467964366099352,CTX_PRECUNEUS,1.3683058346121912,CEREBELLUM_WHITE_MATTER,1.0658819817604315,CTX_PARSORBITALIS,1.4052881718873416,CTX_PARSTRIANGULARIS,1.0276661552672204,CEREBELLUM_WHITE_MATTER,1.100038976864302
2,CTX_PARSORBITALIS,1.5112923440750923,CTX_PARSORBITALIS,1.6225961840228218,CTX_SUPERIORPARIETAL,1.0645403026425673,CEREBRAL_WHITE_MATTER,1.0928088254662203,CTX_CUNEUS,1.7518542046839802,CTX_CAUDALMIDDLEFRONTAL,1.9134869604722897,CEREBRAL_WHITE_MATTER,1.0682749892895333,BRAIN_STEM,1.0614426984706016,CTX_CUNEUS,1.0936228137620276,BRAIN_STEM,1.0463629328101003,CTX_MEDIALORBITOFRONTAL,1.3596723934543133,BRAIN_STEM,1.0416243793676414,CTX_ROSTRALMIDDLEFRONTAL,1.372083779994824,CTX_POSTCENTRAL,1.0040651892188643,BRAIN_STEM,1.0418754444328544
3,CTX_CAUDALMIDDLEFRONTAL,1.4950841140247921,CTX_PRECUNEUS,1.6008312034335626,CTX_PRECUNEUS,1.0540685373877112,CTX_LATERALORBITOFRONTAL,1.0853761094608645,CTX_SUPERIORPARIETAL,1.7445333002409698,CTX_POSTCENTRAL,1.8804368951849775,CEREBELLUM_WHITE_MATTER,1.0661815773349614,VENTRALDC,1.0025757524294647,CEREBRAL_WHITE_MATTER,1.0896397983768904,CTX_PARSORBITALIS,1.0113715623235267,CTX_TRANSVERSETEMPORAL,1.350828923108784,VENTRALDC,0.9973637465613522,CTX_PARSTRIANGULARIS,1.2792485575770012,CEREBELLUM_WHITE_MATTER,0.9970829564540736,VENTRALDC,1.0042401434909736
4,CTX_PARSTRIANGULARIS,1.4855125878630844,CTX_INFERIORPARIETAL,1.5464539986657562,CTX_LATERALOCCIPITAL,1.0438601261622322,CTX_ROSTRALANTERIORCINGULATE,1.0778203561689668,CTX_INFERIORPARIETAL,1.650520699799083,CTX_PARSTRIANGULARIS,1.8743597588176852,CTX_CAUDALANTERIORCINGULATE,0.9989716229691039,CTX_PARSORBITALIS,0.8388398039786338,CEREBELLUM_WHITE_MATTER,1.0839171579287965,VENTRALDC,0.9754455993782319,CTX_ROSTRALANTERIORCINGULATE,1.3454721201347593,PALLIDUM,0.7777746811006258,CTX_LATERALORBITOFRONTAL,1.2743789518581565,BRAIN_STEM,0.9691113737870929,CTX_TRANSVERSETEMPORAL,0.7632157965874499
5,CTX_PARSOPERCULARIS,1.4043302524093024,CTX_CAUDALMIDDLEFRONTAL,1.5322496255422207,BRAIN_STEM,1.0418605821518612,BRAIN_STEM,1.0684130746578786,CTX_ROSTRALMIDDLEFRONTAL,1.643957175483093,CTX_INFERIORPARIETAL,1.8450520787148104,CTX_PARACENTRAL,0.92464145002058,PALLIDUM,0.7918017786657324,CTX_INFERIORTEMPORAL,1.079696583179749,CTX_FRONTALPOLE,0.9439706115548182,CTX_CAUDALANTERIORCINGULATE,1.32284996092495,CTX_PARSORBITALIS,0.7531236392749013,CTX_MEDIALORBITOFRONTAL,1.2507747160991542,CTX_PARSORBITALIS,0.9656501719357571,CTX_ROSTRALANTERIORCINGULATE,0.7538536046440716
6,CTX_SUPERIORFRONTAL,1.3928743447148013,CTX_PARSTRIANGULARIS,1.5299289006381989,CTX_INFERIORPARIETAL,1.0266533890451597,CEREBELLUM_WHITE_MATTER,1.0530986561968798,CTX_BANKSSTS,1.639737471303195,CTX_PARACENTRAL,1.8227440949584655,CTX_POSTERIORCINGULATE,0.9226233465381781,CTX_LATERALORBITOFRONTAL,0.7584192613059806,CTX_PARSORBITALIS,1.07920161827981,CTX_LATERALOCCIPITAL,0.9324915248606133,CTX_LATERALORBITOFRONTAL,1.3097292392897122,THALAMUS_PROPER,0.7488866741420118,CTX_PRECUNEUS,1.2180907993511998,CTX_PARACENTRAL,0.9647533142055488,THALAMUS_PROPER,0.7466435835619749
7,CTX_CAUDALANTERIORCINGULATE,1.3777494530758987,CTX_SUPERIORPARIETAL,1.5240194956485893,CTX_PARSORBITALIS,1.0162283829016343,CTX_FRONTALPOLE,1.034650432899065,CTX_PRECUNEUS,1.6316080632749526,CTX_LATERALOCCIPITAL,1.812079089115641,CTX_TRANSVERSETEMPORAL,0.9150591594184068,CTX_LATERALOCCIPITAL,0.7462112373403753,BRAIN_STEM,1.0362472669363911,CTX_POSTCENTRAL,0.8652841151304362,CTX_PARSORBITALIS,1.2969891336462414,CTX_LATERALORBITOFRONTAL,0.7462605744979601,CTX_ROSTRALANTERIORCINGULATE,1.1989155610415152,CTX_PRECENTRAL,0.9504209227532382,CTX_TEMPORALPOLE,0.7430373030601554
8,CTX_SUPRAMARGINAL,1.3580939947546964,CTX_BANKSSTS,1.522525958120857,CTX_ROSTRALMIDDLEFRONTAL,1.0010708526459797,CTX_MEDIALORBITOFRONTAL,1.0288247849703722,CTX_PARSORBITALIS,1.6118984201407,CTX_PARSORBITALIS,1.8040489212914101,CTX_PARSTRIANGULARIS,0.8939507301242725,CTX_FRONTALPOLE,0.7435367413217155,CTX_FUSIFORM,1.0246535964825005,CTX_LATERALORBITOFRONTAL,0.8472428603930207,CTX_CAUDALMIDDLEFRONTAL,1.2895059230335288,CTX_TRANSVERSETEMPORAL,0.715792682389616,CTX_PARSOPERCULARIS,1.176340988072155,VENTRALDC,0.9317021626901275,CTX_PARACENTRAL,0.7398627530865037
9,CTX_INFERIORPARIETAL,1.3257534139583957,CTX_LATERALORBITOFRONTAL,1.49306654352989,VENTRALDC,0.999980438251291,VENTRALDC,1.0208886843703977,CTX_FRONTALPOLE,1.602423834327633,CTX_PRECUNEUS,1.7166104956853248,CTX_POSTCENTRAL,0.8889302286730796,CTX_PARACENTRAL,0.7414730884282436,CTX_INFERIORPARIETAL,1.0105704186378306,CTX_SUPERIORPARIETAL,0.8425748867630596,CTX_SUPERIORFRONTAL,1.2849655074692712,CTX_MEDIALORBITOFRONTAL,0.6610884157415929,CTX_ISTHMUSCINGULATE,1.1496224548546665,CTX_ROSTRALMIDDLEFRONTAL,0.9271671851168398,PALLIDUM,0.7309418375361058
