"","ttest_pvalue","ttest_pvalues_bonferroni","ttest_pvalues_holm","ttest_pvalues_BH"
"CTX_LH_SUPERIORPARIETAL",0.010205098975566,0.785792621118584,0.571485542631697,0.0329236506179959
"LEFT_CAUDATE",0.0457475661945749,1,1,0.0681119649992581
"CTX_RH_FUSIFORM",0.00770663527150913,0.593410915906203,0.466757960571211,0.0323734218009436
"CTX_LH_ISTHMUSCINGULATE",0.0197161854656419,1,0.847795975022603,0.0428127015902183
"CTX_RH_CAUDALANTERIORCINGULATE",0.478255875316623,1,1,0.515199376036405
"RIGHT_PARSFR",0.0437362487623909,1,1,0.0673538230940821
"HEMIWM",0.481744871098976,1,1,0.515199376036405
"CTX_RH_PARACENTRAL",0.0957857631507119,1,1,0.12090989774762
"CTX_LH_PARAHIPPOCAMPAL",0.000833562802242977,0.0641843357727093,0.0591829589592514,0.00916919082467275
"CTX_LH_PARACENTRAL",0.356496722368313,1,1,0.403680112093531
"CTX_RH_INFERIORTEMPORAL",0.00840868098725807,0.647468436018872,0.490711844030878,0.0323734218009436
"CTX_LH_LATERALOCCIPITAL",0.06634432762448,1,1,0.09122345048366
"RIGHT_MIDDLEFR",0.0175334655411329,1,0.807984138550011,0.0418560956913685
"CTX_LH_INFERIORPARIETAL",0.0776985572179674,1,1,0.0997131484297249
"RIGHT_CAUDATE",0.00765176984542968,0.589186278098086,0.466757960571211,0.0323734218009436
"LEFT_ORBITOFR",0.0104817357275515,0.807093651021466,0.576495465015333,0.0329236506179959
"CTX_RH_LINGUAL",0.0144283918311567,1,0.70699119972668,0.0383098679654851
"CTX_RH_ISTHMUSCINGULATE",0.00342053040713547,0.263380841349431,0.222334476463806,0.020260064719187
"RIGHT_ORBITOFR",0.0124232874846452,0.956593136317679,0.633587661716905,0.0343985084228399
"CTX_RH_MIDDLETEMPORAL",0.0171911518840428,1,0.807984138550011,0.0418560956913685
"CTX_LH_LINGUAL",0.184671020614545,1,1,0.225709025195555
"LEFT_PALLIDUM",0.434607140131922,1,1,0.478067854145114
"CTX_LH_CAUDALANTERIORCINGULATE",0.968277535591739,1,1,0.968277535591739
"CHOROID",0.62410374795051,1,1,0.649405251245801
"CTX_LH_TEMPORALPOLE",0.00423504899907467,0.326098772928749,0.271043135940779,0.0232927694949107
"LEFT_AMYGDALA",0.000105619208901099,0.00813267908538464,0.00802705987648355,0.00406633954269232
"CTX_RH_PRECENTRAL",0.0433104367765747,1,1,0.0673538230940821
"CTX_RH_ROSTRALANTERIORCINGULATE",0.0691093530878274,1,1,0.0933582489081177
"CTX_LH_PRECENTRAL",0.00947722655087077,0.72974644441705,0.540201913399634,0.0329236506179959
"CTX_LH_TRANSVERSETEMPORAL",0.634182230815573,1,1,0.651093756970655
"CTX_RH_POSTERIORCINGULATE",0.0184819123832017,1,0.826387904976672,0.0418560956913685
"CTX_LH_MIDDLETEMPORAL",0.0507927697624889,1,1,0.0737932692775781
"CTX_RH_POSTCENTRAL",0.0183641756661483,1,0.826387904976672,0.0418560956913685
"CTX_RH_PERICALCARINE",0.0414620193455561,1,1,0.0673538230940821
"RIGHT_THALAMUS_PROPER",0.128523996159315,1,1,0.159618511359149
"CTX_LH_PRECUNEUS",0.0205723371277672,1,0.847795975022603,0.0428127015902183
"CTX_RH_TRANSVERSETEMPORAL",0.958403772300453,1,1,0.968277535591739
"CTX_LH_BANKSSTS",0.0459976906488496,1,1,0.0681119649992581
"CTX_LH_SUPERIORTEMPORAL",0.0435989559719386,1,1,0.0673538230940821
"CTX_LH_FUSIFORM",0.0106894969538948,0.823091265449897,0.576837439231872,0.0329236506179959
"CTX_LH_SUPERIORFRONTAL",0.0152706183539186,1,0.732989680988091,0.039194587108391
"CTX_LH_SUPRAMARGINAL",0.0395776905486204,1,1,0.0666337718297751
"CTX_RH_SUPERIORFRONTAL",0.0119075340985724,0.916880125590078,0.619191773125767,0.0343985084228399
"CTX_LH_POSTERIORCINGULATE",0.0269739238759672,1,1,0.050658344840231
"LEFT_ACCUMBENS_AREA",0.00278699733834098,0.214598795052255,0.189515819007187,0.0195351630009047
"LEFT_PUTAMEN",0.00214161156069258,0.164904090173329,0.147771197687788,0.0183226766859254
"CTX_LH_ROSTRALANTERIORCINGULATE",0.0338779441149866,1,1,0.0606651557407899
"LEFT_MIDDLEFR",0.0608182657880349,1,1,0.0866012973729325
"LEFT_HIPPOCAMPUS",0.00324789916070386,0.250088235374197,0.214361344606455,0.020260064719187
"RIGHT_PALLIDUM",0.317654612176148,1,1,0.365065748321842
"LEFT_THALAMUS_PROPER",0.228926073527537,1,1,0.275426682212818
"CTX_RH_PRECUNEUS",0.00279073757155781,0.214886793009951,0.189515819007187,0.0195351630009047
"CTX_RH_PARAHIPPOCAMPAL",0.000569713530795306,0.0438679418712386,0.0410193742172621,0.00731132364520643
"CTX_RH_SUPRAMARGINAL",0.0280278109852464,1,1,0.0513843201396184
"CEREBWM",0.263114773025889,1,1,0.306967235196871
"RIGHT_AMYGDALA",1.06526036763955e-05,0.00082025048308245,0.00082025048308245,0.00082025048308245
"CTX_LH_CUNEUS",0.254188651752115,1,1,0.301115787460198
"CTX_LH_POSTCENTRAL",0.0398071883658397,1,1,0.0666337718297751
"CTX_RH_BANKSSTS",0.0201064101102979,1,0.847795975022603,0.0428127015902183
"CTX_RH_ENTORHINAL",0.000378410551835711,0.0291376124913498,0.0280023808358426,0.00728440312283744
"CTX_LH_PERICALCARINE",0.579483948328977,1,1,0.611236493442893
"BRAIN_STEM",0.434543402834093,1,1,0.478067854145114
"CTX_RH_TEMPORALPOLE",0.00831714989882844,0.64042054220979,0.490711844030878,0.0323734218009436
"CTX_RH_CUNEUS",0.0618580695520946,1,1,0.0866012973729325
"CTX_RH_INFERIORPARIETAL",0.0259039035201305,1,1,0.0498650142762511
"RIGHT_PUTAMEN",0.000519793979477344,0.0400241364197555,0.0379449605018461,0.00731132364520643
"CTX_LH_INFERIORTEMPORAL",0.0245262404247801,1,0.981049616991202,0.0496979082291596
"LEFT_PARSFR",0.0758178693830604,1,1,0.0993006614099021
"CTX_LH_INSULA",0.0760875197816133,1,1,0.0993006614099021
"OTHER",0.000248988318004263,0.0191721004863282,0.0186741238503197,0.00639070016210941
"CTX_LH_ENTORHINAL",0.00193032433487148,0.148634973785104,0.135122703441003,0.0183226766859254
"CTX_RH_LATERALOCCIPITAL",0.0351319779116655,1,1,0.0614809613454146
"CTX_RH_SUPERIORTEMPORAL",0.0257886851919376,1,1,0.0498650142762511
"RIGHT_ACCUMBENS_AREA",0.00670952459308959,0.516633393667898,0.422700049364644,0.0323734218009436
"RIGHT_HIPPOCAMPUS",0.00685566624323613,0.527886300729182,0.42505130708064,0.0323734218009436
"CTX_RH_INSULA",0.0125085485173963,0.963158235839519,0.633587661716905,0.0343985084228399
"CTX_RH_SUPERIORPARIETAL",0.0106821748005902,0.822527459645447,0.576837439231872,0.0329236506179959
