FACTOR,BRAAK1,BRAAK2,BRAAK3,BRAAK4,BRAAK5,BRAAK6
NSFA_13,0.0,0.0,0.0,0.0,0.0,0.0
NSFA_11,0.0,0.0,0.0,-0.319412,0.175448,0.0
NSFA_12,0.0,0.0,0.0,0.0,0.0,0.0
NSFA_1,0.187012,0.337082,0.965343,0.318318,-1.892696,-1.025258
NSFA_0,0.143893,0.252408,0.370049,-0.068177,-0.161969,-0.156781
NSFA_3,0.0,0.0,-0.045588,0.0,-0.132294,0.602962
NSFA_2,-0.30198,0.029327,-0.650318,-0.650955,0.042599,0.741014
NSFA_5,-0.025581,-0.010247,0.298042,0.281997,0.844551,-0.718352
NSFA_4,0.0,0.0,-0.429995,0.369786,0.045099,-0.331905
NSFA_7,-0.453365,0.0,-0.327069,0.426156,0.96843,0.0
NSFA_6,0.0,0.0,-0.210835,0.0,1.164025,0.624639
NSFA_9,0.0,0.169651,0.0,-0.353825,-0.450807,0.0
NSFA_8,0.0,0.0,-0.408456,-0.329751,-0.064405,0.324781
NSFA_10,-0.1388,0.0,-0.110247,-0.615363,0.496873,0.0
