CTX_BANKSSTS,CTX_PRECENTRAL,CTX_MEDIALORBITOFRONTAL,CTX_PARSORBITALIS,CAUDATE,CTX_LINGUAL,THALAMUS_PROPER,CEREBELLUM_CORTEX,PALLIDUM,CTX_ISTHMUSCINGULATE,AMYGDALA,CTX_PARAHIPPOCAMPAL,CTX_INFERIORTEMPORAL,CTX_LATERALOCCIPITAL,CTX_POSTCENTRAL,CTX_CUNEUS,CTX_PARSTRIANGULARIS,CTX_INSULA,CTX_CAUDALMIDDLEFRONTAL,CTX_ENTORHINAL,CTX_SUPERIORTEMPORAL,CTX_INFERIORPARIETAL,PUTAMEN,CTX_ROSTRALMIDDLEFRONTAL,CTX_PERICALCARINE,CEREBELLUM_WHITE_MATTER,CTX_SUPRAMARGINAL,CTX_ROSTRALANTERIORCINGULATE,CTX_PARACENTRAL,CTX_TRANSVERSETEMPORAL,CTX_MIDDLETEMPORAL,CTX_TEMPORALPOLE,CTX_FUSIFORM,CTX_SUPERIORPARIETAL,CTX_LATERALORBITOFRONTAL,CTX_PARSOPERCULARIS,HIPPOCAMPUS,CEREBRAL_WHITE_MATTER,BRAIN_STEM,ACCUMBENS_AREA,CTX_POSTERIORCINGULATE,CTX_FRONTALPOLE,CTX_PRECUNEUS,CTX_SUPERIORFRONTAL,CTX_CAUDALANTERIORCINGULATE
0.150565,-0.000000,0.000000,-0.178784,0.000000,0.057779,0.000000,-0.000000,-0.000000,0.079492,0.316860,0.113060,-0.078954,-0.006821,-0.000000,0.000000,-0.162841,0.000000,-0.007824,0.141450,0.021490,-0.097309,0.045197,-0.182965,-0.000000,-0.000000,-0.211048,0.000000,-0.176783,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.278695,-0.000000,-0.000000,0.196278,-0.203674,-0.000000,-0.046487,-0.000000,-0.000000
0.163975,-0.381993,-0.018861,-0.463213,0.290585,0.169868,0.286084,-0.110452,0.162987,0.235180,0.438062,0.147978,-0.225108,-0.096463,-0.363096,0.129651,-0.451131,0.286876,-0.136158,0.150289,-0.243758,-0.254983,0.387845,-0.537393,0.033043,0.142223,-0.339568,0.157407,-0.235239,0.208645,-0.247958,-0.074581,0.064008,-0.362455,-0.003776,-0.038794,0.335575,0.115825,0.043943,0.415390,-0.018490,-0.426644,0.172052,-0.268251,-0.193369
0.028436,-0.052354,0.014953,-0.198302,0.483050,0.231391,0.597365,0.394654,0.375255,-0.281940,-0.202608,-0.287849,-0.487786,-0.258449,-0.004492,0.228817,0.059198,0.098943,-0.236238,-0.277893,0.078365,-0.415389,0.425087,-0.183080,0.332496,0.440341,-0.366205,0.166866,0.189474,0.440811,-0.456266,0.001267,-0.349986,-0.324841,0.182928,0.267651,0.027315,0.301921,0.416131,0.152870,-0.363314,-0.083382,-0.252307,-0.094015,0.124749
-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.052488,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.116858,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.251374,-0.174521,-0.204798,0.000000,0.322855,0.024529,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.172023,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,-0.495856,0.000000,-0.000000,-0.000000,-0.000000,0.098220,0.000000,0.138653,-0.142001,-0.000000,-0.208128,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.115778,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.125030,-0.160497,0.218965,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.229093,-0.000000,0.000000,-0.000000,0.122204,0.000000
0.174505,-0.161536,0.080774,0.216917,0.051623,0.024259,0.018111,-0.051712,-0.038796,-0.032734,0.033369,0.079203,0.153395,-0.188919,-0.246812,-0.169520,-0.003855,0.124805,0.059937,-0.023662,0.095662,-0.065174,0.115245,-0.026310,-0.104848,-0.000000,0.045488,0.074114,-0.000000,0.204796,-0.082295,-0.001769,0.230346,-0.206865,0.245568,0.143025,-0.021701,0.117716,-0.119930,-0.085438,-0.063501,-0.134544,0.041528,0.059126,0.009766
-0.000000,0.335354,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.374577,0.260642,-0.000000,0.000000,0.000000,0.523039,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.402992,0.000000,0.000000,0.117300,0.000000,-0.000000,-0.197020,-0.000000,0.000000,0.379904,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.120813,0.000000,0.334867,0.000000
-0.000000,0.000000,0.437859,-0.118925,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.309318,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.424056,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.406499,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.234290,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.222241,0.000000
0.000000,0.000000,-0.000000,-0.205461,-0.000000,0.000000,-0.000000,-0.000000,0.137152,-0.000000,0.000000,0.000000,-0.283515,0.000000,0.109174,0.132637,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.171572,-0.133495,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.350375,0.000000,-0.159667,-0.000000,0.000000,-0.292377,-0.067613,0.144758,-0.000000,0.000000,-0.000000,-0.000000,-0.000000
0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.372000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.427662,-0.000000,-0.000000
0.220556,0.000000,-0.236107,-0.084149,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.231156,0.000000,0.000000,-0.000000,-0.208129,0.000000,-0.000000,-0.000000,0.290900,0.000000,0.010795,-0.000000,-0.000000,0.000000,-0.237251,0.000000,0.000000,0.000000,-0.179444,0.000000,0.226701,-0.256177,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000
