FACTOR,BRAAK1,BRAAK2,BRAAK3,BRAAK4,BRAAK5,BRAAK6,BASALGANGLIA,CEREBELLUM_GRAY,CEREBELLUM_WHITE,CEREBRAL_WHITE,CINGULATE,FRONTAL,LIMBIC,MEDIAL_OCCIPITAL,MEDIAL_TEMPORAL,OCCIPITAL,PARIETAL,SENSORY,TEMPORAL,THALAMUS,BRAAK1_CUM,BRAAK2_CUM,BRAAK3_CUM,BRAAK4_CUM,BRAAK5_CUM,BRAAK6_CUM,BASALGANGLIA_NEG_ASYM,BASALGANGLIA_POS_ASYM,CEREBELLUM_GRAY_NEG_ASYM,CEREBELLUM_GRAY_POS_ASYM,CEREBELLUM_WHITE_NEG_ASYM,CEREBELLUM_WHITE_POS_ASYM,CEREBRAL_WHITE_NEG_ASYM,CEREBRAL_WHITE_POS_ASYM,CINGULATE_NEG_ASYM,CINGULATE_POS_ASYM,FRONTAL_NEG_ASYM,FRONTAL_POS_ASYM,LIMBIC_NEG_ASYM,LIMBIC_POS_ASYM,MEDIAL_OCCIPITAL_NEG_ASYM,MEDIAL_OCCIPITAL_POS_ASYM,MEDIAL_TEMPORAL_NEG_ASYM,MEDIAL_TEMPORAL_POS_ASYM,OCCIPITAL_NEG_ASYM,OCCIPITAL_POS_ASYM,PARIETAL_NEG_ASYM,PARIETAL_POS_ASYM,SENSORY_NEG_ASYM,SENSORY_POS_ASYM,TEMPORAL_NEG_ASYM,TEMPORAL_POS_ASYM,THALAMUS_NEG_ASYM,THALAMUS_POS_ASYM,varperc
NSFA_0,-0.201069,0.219195,0.085173,-0.045698,-1.467142,-0.047463,1.918731,0.256867,0.640304,0.641262,0.093745,-1.099121,0.187738,0.815112,0.187738,-0.368741,-2.16061,-0.606637,-0.991611,0.75439,-0.201069,0.018126,0.103299,0.057601,-1.409541,-1.457004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.564947482676
NSFA_1,-0.540408,-0.442849,-2.009955,0.059496,2.700286,1.824725,-0.210319,0.50069,0.365738,0.215267,0.223781,2.928254,-2.4164,-0.629196,-2.4164,-0.146735,0.242195,1.717234,-0.321396,0.203877,-0.540408,-0.983257,-2.993212,-2.933716,-0.23343,1.591295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.457406871229
NSFA_7,0.0,0.0,0.0,-0.970527,0.526195,0.0,0.0,0.0,0.0,0.0,-0.970527,0.758728,0.0,0.0,0.0,0.0,-0.501366,0.0,0.268833,0.0,0.0,0.0,0.0,-0.970527,-0.444332,-0.444332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0836447833997
NSFA_10,-0.031429,0.022488,0.148011,0.115376,-0.373743,-0.349332,0.006647,0.0,0.032395,0.0,-0.007277,-0.381854,0.031353,0.04752,0.031353,0.145396,-0.069006,-0.244943,0.003535,0.0,-0.031429,-0.008941,0.13907,0.254446,-0.119297,-0.468629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0179818190407
NSFA_8,0.0,0.0,-0.153083,0.022195,-0.344107,-0.262404,0.160592,0.0,0.0,0.032761,-0.106934,-0.30461,0.029732,-0.286006,0.029732,0.073432,-0.116695,-0.11832,-0.06859,0.0,0.0,0.0,-0.153083,-0.130888,-0.474995,-0.737399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0148515885208
NSFA_3,-0.009724,-0.031962,-0.06021,-0.27864,-0.076648,0.092134,0.192237,0.01172,0.091346,-0.003263,-0.104045,-0.294347,-0.14875,0.072109,-0.14875,0.077765,0.034253,-0.013728,-0.228754,0.04821,-0.009724,-0.041686,-0.101896,-0.380536,-0.457184,-0.36505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0134709737258
NSFA_6,0.0,0.0,-0.120461,0.197295,0.052515,-0.166185,0.0,0.0,0.0,0.0,0.0,0.167922,-0.007321,-0.367248,-0.007321,-0.109184,0.075994,0.087923,0.115078,0.0,0.0,0.0,-0.120461,0.076834,0.129349,-0.036836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122346999647
NSFA_2,-0.085355,-0.05137,-0.264763,-0.153614,0.684791,0.042573,0.204026,0.028276,0.004644,0.01375,-0.120023,0.221194,-0.242569,-0.160912,-0.242569,-0.115983,0.148586,0.045607,0.143113,0.049223,-0.085355,-0.136725,-0.401488,-0.555102,0.129689,0.172262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115149496748
NSFA_4,-0.022111,-0.036117,0.223712,-0.109197,0.168249,0.098404,-0.110159,0.010916,0.0,0.001522,-0.022052,0.03086,-0.183094,0.355741,-0.183094,-0.018272,0.084341,0.042357,0.143218,0.0,-0.022111,-0.058228,0.165484,0.056287,0.224536,0.32294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113640258842
NSFA_9,0.044386,0.0,0.064414,-0.277381,-0.074748,0.093736,-0.013953,0.0,0.0,-0.044259,-0.2118,-0.412742,-0.041153,0.149174,-0.041153,0.098152,0.191205,0.0,0.091524,0.0,0.044386,0.044386,0.1088,-0.168581,-0.243329,-0.149593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010995329604
