CTX_BANKSSTS,CTX_PRECENTRAL,PALLIDUM,CAUDATE,CEREBGM,CTX_LINGUAL,HEMIWM,THALAMUS_PROPER,ORBITOFR,CTX_ISTHMUSCINGULATE,AMYGDALA,CTX_PARAHIPPOCAMPAL,CTX_INFERIORTEMPORAL,CTX_LATERALOCCIPITAL,CTX_POSTCENTRAL,CTX_CUNEUS,CTX_INSULA,CTX_ENTORHINAL,PARSFR,CTX_SUPERIORTEMPORAL,CTX_INFERIORPARIETAL,PUTAMEN,MIDDLEFR,CTX_PERICALCARINE,CTX_SUPRAMARGINAL,CTX_ROSTRALANTERIORCINGULATE,CTX_PARACENTRAL,CTX_TRANSVERSETEMPORAL,CTX_MIDDLETEMPORAL,CTX_TEMPORALPOLE,CTX_POSTERIORCINGULATE,CTX_SUPERIORPARIETAL,HIPPOCAMPUS,CEREBWM,BRAIN_STEM,ACCUMBENS_AREA,CTX_FUSIFORM,CTX_PRECUNEUS,CTX_SUPERIORFRONTAL,CTX_CAUDALANTERIORCINGULATE
0.549210,-0.136683,-0.680362,-0.783871,-0.674095,-0.415334,-0.593758,-0.847380,-0.103978,0.482832,0.337854,0.425545,0.751251,0.320954,-0.147928,-0.409918,-0.075907,0.381103,0.072095,0.145012,0.761797,-0.745276,0.603683,-0.466101,0.660524,-0.141248,-0.361761,-0.533655,0.757639,-0.063859,0.422666,0.504277,-0.051228,-0.613223,-0.706234,-0.192836,0.535125,0.275604,0.326497,-0.087340
0.151493,-0.599884,-0.000000,0.074548,-0.075370,0.122542,0.139453,-0.059326,0.000000,0.299589,0.475749,0.233819,-0.047944,0.008958,-0.482341,0.011100,0.117342,0.448385,-0.244245,-0.027961,-0.094718,-0.009194,-0.113199,-0.167495,-0.324181,-0.083411,-0.629146,0.000000,0.034748,0.277958,-0.313821,-0.606737,0.431378,0.000000,-0.000000,0.261749,0.054438,-0.272404,-0.300150,-0.252198
-0.180194,0.505475,-0.000000,-0.000000,-0.000000,-0.343956,0.000000,0.000000,-0.165511,0.000000,0.000000,-0.000000,-0.365791,-0.000000,0.700443,0.000000,0.000000,-0.000000,0.279413,0.000000,0.000000,0.000000,0.242410,-0.000000,0.316508,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.526216,-0.109038,0.000000,0.188478
0.000000,-0.000000,-0.000000,0.000000,-0.370922,0.000000,-0.711193,-0.297829,-0.348956,0.000000,0.480709,0.227627,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.192667,-0.362977,-0.000000,0.000000,0.000000,-0.000000,0.234638,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.688878,-0.555713,0.256402,0.000000,0.211107,0.000000,-0.319901
-0.000000,0.000000,-0.000000,0.000000,0.000000,0.481959,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.164859,0.164234,0.238477,-0.000000,-0.000000,0.000000,-0.000000,-0.327010,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.246411,-0.417136,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.250745,0.431325,0.000000,-0.000000,0.000000
0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.469147,0.000000,0.000000,-0.000000,-0.000000,0.479365,0.000000,0.000000,-0.621215,0.157620,-0.267829,-0.325347,0.237778,0.000000,-0.000000,-0.167749,0.000000,-0.640560,0.000000,-0.413734,0.000000,-0.146427,0.000000,0.375506,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.210168,-0.342957
-0.500733,-0.000000,0.000000,-0.237135,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.263767,0.133259,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.302910,-0.000000,-0.497076,-0.348303,-0.000000,-0.170771,0.000000,-0.254297,-0.000000,0.237900,-0.408255,-0.195507,0.254755,0.000000,-0.000000,0.219641,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.550242,0.000000,0.000000,0.000000,0.000000,0.000000,0.383462,0.378028,-0.000000,-0.258761,-0.583085,0.000000,0.000000,0.000000,-0.000000,0.000000,0.301419,-0.000000,-0.625828,-0.000000,-0.000000,-0.000000,-0.185943,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.317724,0.000000,0.000000,-0.000000
-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.862944,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.307196,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.331928,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.702103,0.000000,-0.000000
-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.175341,-0.658113,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.387620,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000
0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.306016,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.291205,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.279640,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.350626,-0.000000
