FACTOR,BRAAK1,BRAAK2,BRAAK3,BRAAK4,BRAAK5,BRAAK6,BASALGANGLIA,CEREBELLUM_GRAY,CEREBELLUM_WHITE,CEREBRAL_WHITE,CINGULATE,FRONTAL,LIMBIC,MEDIAL_OCCIPITAL,MEDIAL_TEMPORAL,OCCIPITAL,PARIETAL,SENSORY,TEMPORAL,THALAMUS,BRAAK1_CUM,BRAAK2_CUM,BRAAK3_CUM,BRAAK4_CUM,BRAAK5_CUM,BRAAK6_CUM,BASALGANGLIA_NEG_ASYM,BASALGANGLIA_POS_ASYM,CEREBELLUM_GRAY_NEG_ASYM,CEREBELLUM_GRAY_POS_ASYM,CEREBELLUM_WHITE_NEG_ASYM,CEREBELLUM_WHITE_POS_ASYM,CEREBRAL_WHITE_NEG_ASYM,CEREBRAL_WHITE_POS_ASYM,CINGULATE_NEG_ASYM,CINGULATE_POS_ASYM,FRONTAL_NEG_ASYM,FRONTAL_POS_ASYM,LIMBIC_NEG_ASYM,LIMBIC_POS_ASYM,MEDIAL_OCCIPITAL_NEG_ASYM,MEDIAL_OCCIPITAL_POS_ASYM,MEDIAL_TEMPORAL_NEG_ASYM,MEDIAL_TEMPORAL_POS_ASYM,OCCIPITAL_NEG_ASYM,OCCIPITAL_POS_ASYM,PARIETAL_NEG_ASYM,PARIETAL_POS_ASYM,SENSORY_NEG_ASYM,SENSORY_POS_ASYM,TEMPORAL_NEG_ASYM,TEMPORAL_POS_ASYM,THALAMUS_NEG_ASYM,THALAMUS_POS_ASYM,varperc
NSFA_0,-0.56497,0.382639,-1.18679,0.453498,-1.515375,0.442686,4.656816,0.78758,1.46882,1.635352,-0.092342,-1.713351,-0.248689,0.924035,-0.248689,-0.652754,-4.474978,-0.777438,-1.477068,1.867457,-0.56497,-0.182331,-1.369121,-0.915623,-2.430998,-1.988312,0.0,0.0170438342421,0.0,0.00138652581325,0.0,-0.0264334635966,0.0,0.02861280018,-0.393097390058,-0.193171214012,-0.224875719394,0.60409745502,-0.343321000575,0.509447531115,-0.482089923793,0.718269444457,-0.343321000575,0.509447531115,-0.698174197324,0.0,-0.293920551118,0.0,-0.350692161636,1.0,-0.356430932643,0.329423667722,0.0,0.00801678432221,0.738697002755
NSFA_2,1.057383,0.938448,3.631491,-0.445348,-6.21808,-3.199885,0.769382,-0.925416,-0.593294,-0.343731,-0.42785,-6.62479,5.310795,0.598034,5.310795,0.181574,-0.433625,-3.206957,-0.034993,-0.367561,1.057383,1.995831,5.627322,5.181974,-1.036106,-4.235991,-0.559276624246,0.124124993613,-0.00696983842942,0.0,-0.0934073157659,0.0,-0.154670367235,0.0,-0.368378073487,0.218610539642,-0.055501187933,1.0,0.0,-0.0258630557572,1.0,-0.110297220986,0.0,-0.0258630557572,0.0,0.461090244198,-0.08449274638,0.0756500614822,-0.0583228898922,0.0,-0.035009269764,0.682198122384,-0.336746825697,0.0,0.467704928455
NSFA_1,-0.39218,-0.048206,0.083016,0.261841,4.031473,0.199285,1.420397,-0.131074,0.0,0.070645,0.29503,0.647166,0.021174,0.007658,0.021174,-0.528326,1.027127,0.23468,0.609465,0.400858,-0.39218,-0.440386,-0.35737,-0.095529,3.935944,4.135229,-0.494263237677,-0.0956760484161,0.327494392481,0.0,0.0,0.0,0.0,-0.796843371789,0.0762372329669,-0.312719572645,0.53889582909,-0.898495558339,0.0343081851603,-0.919185833385,0.125832648964,-0.895329758522,0.0343081851603,-0.919185833385,0.639359032113,0.0,1.0,-1.0,1.0,-0.849921670368,0.779734288199,-0.775989810347,0.0,-0.223315987207,0.223934720428
NSFA_3,0.0,0.0,-1.678194,-1.017714,2.071455,2.341411,0.0,0.0,0.0,0.0,0.0,1.439175,-0.182305,-1.495889,-0.182305,0.0,0.63228,2.341411,-1.017714,0.0,0.0,0.0,-1.678194,-2.695908,-0.624453,1.716958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.601635695577,-1.0,0.0,-0.177972429773,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0538175484782,-0.0273770430592,0.0,0.0,0.0,0.168198663264
NSFA_4,-0.44201,-0.164192,-0.65214,-0.441087,0.234083,0.605874,0.0,0.0,0.0,0.0,-0.006283,-2.623089,-1.763199,0.779988,-1.763199,1.062354,1.372473,0.0,0.318284,0.0,-0.44201,-0.606202,-1.258342,-1.699429,-1.465346,-0.859472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0891029621946,0.0,-0.215896994582,0.0,-1.0,1.0,-0.215896994582,0.0,0.0,0.378596964854,0.0,0.378322196502,0.0,0.0,-1.0,0.986063526264,0.0,0.0,0.137449457792
NSFA_5,0.0,-0.461798,0.1809,1.638589,1.745894,-0.454641,0.0,0.0,0.0,0.0,1.153176,0.118079,-0.672756,0.08175,-0.672756,-0.335174,1.807685,-0.144533,0.640717,0.0,0.0,-0.461798,-0.280898,1.357691,3.103585,2.648944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203219629961,1.0,-1.0,-0.428181985742,0.0,-1.0,1.0,-0.428181985742,0.0,-1.0,0.0,0.0,0.357613743545,1.0,0.0,-1.0,1.0,0.0,0.0,0.100822358415
NSFA_9,0.0,0.202064,-0.869272,2.117405,0.193502,-0.517434,0.422718,0.0,0.0,0.0,0.0,0.0,0.564144,-1.386706,0.564144,-0.251536,0.412469,0.0,1.365176,0.0,0.0,0.202064,-0.667208,1.450197,1.643699,1.126265,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-0.795984219447,0.0,0.0,0.0954530852056
NSFA_10,0.0,0.0,-0.234539,0.796595,-0.651305,1.227493,0.0,0.0,0.0,0.0,0.362748,0.199549,0.0,-0.234539,0.0,-0.503791,0.182488,1.227493,-0.095704,0.0,0.0,0.0,-0.234539,0.562056,-0.089249,1.138244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0896854618872,-0.134912058003,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,-0.0588850608517,-1.0,0.423967435525,0.0,0.0,0.0760177644606
NSFA_18,0.0,0.0,0.0,-1.482517,0.823743,0.0,1.002844,0.0,0.0,0.0,-0.783421,-0.179101,-0.699096,0.0,-0.699096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.482517,-0.658774,-0.658774,0.0,0.246014335231,0.0,0.0,0.0,0.0,0.0,0.0,-0.135665242571,0.0,1.0,1.0,0.306421435683,0.0,0.0,0.0,0.306421435683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0613511094281
NSFA_7,0.0,0.0,0.0,-1.63523,0.150535,0.0,0.0,0.0,0.0,0.0,-1.63523,0.118769,0.0,0.0,0.0,0.0,-0.559406,0.0,0.591172,0.0,0.0,0.0,0.0,-1.63523,-1.484695,-1.484695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.307337805691,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.299238835479,0.0,0.0,0.0,0.0,0.144438505207,0.0,0.0,0.06056359203
