FACTOR,BRAAK1,BRAAK2,BRAAK3,BRAAK4,BRAAK5,BRAAK6,BASALGANGLIA,CEREBELLUM_GRAY,CEREBELLUM_WHITE,CEREBRAL_WHITE,CINGULATE,FRONTAL,LIMBIC,MEDIAL_OCCIPITAL,MEDIAL_TEMPORAL,OCCIPITAL,PARIETAL,SENSORY,TEMPORAL,THALAMUS,BASALGANGLIA_NEG_ASYM,BASALGANGLIA_POS_ASYM,CEREBELLUM_GRAY_NEG_ASYM,CEREBELLUM_GRAY_POS_ASYM,CEREBELLUM_WHITE_NEG_ASYM,CEREBELLUM_WHITE_POS_ASYM,CEREBRAL_WHITE_NEG_ASYM,CEREBRAL_WHITE_POS_ASYM,CINGULATE_NEG_ASYM,CINGULATE_POS_ASYM,FRONTAL_NEG_ASYM,FRONTAL_POS_ASYM,LIMBIC_NEG_ASYM,LIMBIC_POS_ASYM,MEDIAL_OCCIPITAL_NEG_ASYM,MEDIAL_OCCIPITAL_POS_ASYM,MEDIAL_TEMPORAL_NEG_ASYM,MEDIAL_TEMPORAL_POS_ASYM,OCCIPITAL_NEG_ASYM,OCCIPITAL_POS_ASYM,PARIETAL_NEG_ASYM,PARIETAL_POS_ASYM,SENSORY_NEG_ASYM,SENSORY_POS_ASYM,TEMPORAL_NEG_ASYM,TEMPORAL_POS_ASYM,THALAMUS_NEG_ASYM,THALAMUS_POS_ASYM,varperc
NSFA_6,-0.660379,-0.893967,0.042783,1.418354,7.467656,0.493683,-1.158618,-0.921668,-0.936796,-0.930726,1.772156,4.248769,-1.731324,0.896084,-1.731324,0.131225,2.873745,0.04984,1.706107,-0.919854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516477440347
NSFA_8,0.0,0.078131,-0.28595,2.00956,1.757338,-2.220558,1.293369,-0.168585,0.0,0.0,1.940229,2.062474,1.063207,-1.684162,1.063207,-0.853254,-0.909808,-1.247645,-0.469513,0.143624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201097293193
NSFA_0,0.132548,0.178806,1.807126,0.646425,-3.094729,-0.21073,0.024581,0.0,0.00864,-0.040059,-0.015328,-2.736274,1.280904,1.969468,1.280904,0.014594,-0.828369,-1.029413,0.779283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116857781411
NSFA_7,0.072559,-0.119605,-0.030648,0.086545,0.229908,-0.697225,-0.769849,0.0,0.015858,0.020797,-0.617271,1.623152,-0.449614,0.150055,-0.449614,0.252128,-0.271905,-0.697225,0.535533,-0.21347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0934331310609
NSFA_3,0.0,0.0,-0.06056,-1.006736,-1.129813,0.841094,-0.032062,0.104265,0.0,0.0,-0.222057,-0.042146,-0.31699,1.18492,-0.31699,0.0,-0.657879,-0.12509,-1.144711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0453953689377
NSFA_12,0.0,0.0,0.07989,-0.118928,0.728738,-1.283088,0.0,0.0,0.0,0.0,0.027048,-0.307849,-0.229926,0.07989,-0.229926,0.0,0.78644,-1.283088,0.334097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375324276552
NSFA_5,-0.452402,-0.100913,-0.609795,-0.449869,-0.216173,-0.338313,0.1019,-0.110907,0.335067,0.318152,-0.337183,-0.243698,-1.024064,-0.29718,-1.024064,0.0,-0.002432,-0.180179,-0.30278,0.118151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033031158317
NSFA_14,0.0,0.0,-0.430986,0.585935,-0.631497,0.329599,-0.339754,0.0,0.0,-0.059543,0.965074,-0.104874,-0.097985,-0.265264,-0.097985,0.0,-0.021028,0.224241,-0.507359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0324116745274
NSFA_24,0.0,0.0,-0.051066,-0.117302,0.397631,-0.027937,0.0,0.0,0.0,0.0,-0.264929,-0.217584,-0.051066,-0.155902,-0.051066,-0.255715,-0.40058,0.127965,1.419137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0314411821792
NSFA_10,0.0,0.0,0.0,-0.249514,-0.544221,0.602752,0.365691,0.0,0.0,0.0,0.0,-1.017138,0.074479,0.0,0.074479,0.0,-0.172517,0.602752,-0.137257,0.093007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0313206965567
