CTX_BANKSSTS,CTX_PRECENTRAL,CTX_MEDIALORBITOFRONTAL,CTX_PARSORBITALIS,CAUDATE,CTX_LINGUAL,THALAMUS_PROPER,CEREBELLUM_CORTEX,PALLIDUM,CTX_ISTHMUSCINGULATE,AMYGDALA,CTX_PARAHIPPOCAMPAL,CTX_INFERIORTEMPORAL,CTX_LATERALOCCIPITAL,CTX_POSTCENTRAL,CTX_CUNEUS,CTX_PARSTRIANGULARIS,CTX_INSULA,CTX_CAUDALMIDDLEFRONTAL,CTX_ENTORHINAL,CTX_SUPERIORTEMPORAL,CTX_INFERIORPARIETAL,PUTAMEN,CTX_ROSTRALMIDDLEFRONTAL,CTX_PERICALCARINE,CEREBELLUM_WHITE_MATTER,CTX_SUPRAMARGINAL,CTX_ROSTRALANTERIORCINGULATE,CTX_PARACENTRAL,CTX_TRANSVERSETEMPORAL,CTX_MIDDLETEMPORAL,CTX_TEMPORALPOLE,CTX_FUSIFORM,CTX_SUPERIORPARIETAL,CTX_LATERALORBITOFRONTAL,CTX_PARSOPERCULARIS,HIPPOCAMPUS,CEREBRAL_WHITE_MATTER,BRAIN_STEM,ACCUMBENS_AREA,CTX_POSTERIORCINGULATE,CTX_FRONTALPOLE,CTX_PRECUNEUS,CTX_SUPERIORFRONTAL,CTX_CAUDALANTERIORCINGULATE
0.145009,-0.000000,0.000000,-0.178396,0.000000,0.052830,0.000000,-0.000000,-0.000000,0.083257,0.311177,0.000000,-0.074175,-0.002761,-0.000000,0.000000,-0.160288,0.000000,-0.000000,0.144242,0.019624,-0.095461,0.044708,-0.182982,-0.000000,-0.050773,-0.210169,0.000000,-0.171686,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.278617,-0.000000,-0.000000,0.200491,-0.203639,-0.000000,-0.047293,-0.000000,-0.000000
0.169029,-0.382328,-0.019783,-0.466608,0.295160,0.173067,0.284066,-0.122276,0.165817,0.242304,0.439587,0.158580,-0.223674,-0.098226,-0.366262,0.122322,-0.454511,0.290860,-0.131354,0.156225,-0.233992,-0.259011,0.387136,-0.530564,0.040438,0.136863,-0.336205,0.161870,-0.245578,0.196801,-0.245977,-0.077575,0.065782,-0.357583,-0.009149,-0.027585,0.325861,0.111592,0.039437,0.404225,-0.015577,-0.431769,0.172970,-0.272475,-0.176117
0.039820,-0.051206,0.013502,-0.198976,0.484459,0.231437,0.601949,0.393943,0.384343,-0.288008,-0.206434,-0.287571,-0.491115,-0.261789,-0.002934,0.234875,0.062033,0.092564,-0.230457,-0.281903,0.080782,-0.418550,0.424642,-0.162772,0.329630,0.443174,-0.364861,0.168964,0.187360,0.429964,-0.461316,-0.008432,-0.353148,-0.320642,0.183477,0.261718,0.021516,0.299556,0.421041,0.160610,-0.371114,-0.076523,-0.252130,-0.092171,0.124566
-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.049681,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.116345,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.256282,-0.176329,-0.203901,0.000000,0.325133,0.027167,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.170810,-0.000000,0.000000,-0.000000,-0.084438,-0.000000,0.000000,-0.000000
-0.000000,0.000000,0.000000,0.000000,0.000000,-0.502866,0.000000,-0.000000,-0.000000,-0.000000,0.097857,0.000000,0.134081,-0.133935,-0.000000,-0.209168,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.119787,-0.164637,0.207206,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.238298,-0.000000,0.000000,-0.000000,0.131673,-0.000000
0.180369,-0.165989,0.088171,0.229290,0.063623,0.024604,0.015492,-0.055685,-0.037834,-0.037906,0.034632,0.078685,0.154403,-0.190383,-0.249812,-0.184594,-0.010728,0.113285,0.055916,-0.030375,0.099403,-0.062204,0.107440,-0.028596,-0.105112,-0.030096,0.047305,0.078738,-0.000000,0.204428,-0.087260,0.011295,0.230532,-0.207344,0.240736,0.154488,-0.010165,0.113976,-0.120822,-0.094684,-0.061429,-0.136544,0.042812,0.056630,0.010438
-0.000000,0.335837,0.000000,-0.000000,0.000000,-0.140024,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.371738,0.264475,-0.000000,0.000000,0.000000,0.529138,-0.194099,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.400825,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.201938,-0.000000,-0.000000,0.383029,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.119223,0.000000,0.336482,0.000000
-0.000000,0.000000,0.438163,-0.111029,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.311389,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.435187,0.000000,0.000000,-0.000000,0.146359,0.000000,0.000000,0.000000,0.404286,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.230218,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.218968,0.000000
0.000000,0.000000,-0.000000,-0.204875,-0.000000,-0.000000,-0.000000,-0.000000,0.131735,-0.000000,0.000000,0.000000,-0.286115,0.000000,0.116361,0.131200,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.163986,-0.136331,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.354617,0.000000,-0.161261,-0.000000,0.000000,-0.292464,-0.061513,0.142471,-0.000000,0.000000,-0.000000,-0.000000,-0.000000
0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.368789,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.428242,-0.000000,-0.000000
