BRAIN_STEM,CTX_LH_BANKSSTS,CTX_LH_CAUDALANTERIORCINGULATE,CTX_LH_CAUDALMIDDLEFRONTAL,CTX_LH_CUNEUS,CTX_LH_ENTORHINAL,CTX_LH_FRONTALPOLE,CTX_LH_FUSIFORM,CTX_LH_INFERIORPARIETAL,CTX_LH_INFERIORTEMPORAL,CTX_LH_INSULA,CTX_LH_ISTHMUSCINGULATE,CTX_LH_LATERALOCCIPITAL,CTX_LH_LATERALORBITOFRONTAL,CTX_LH_LINGUAL,CTX_LH_MEDIALORBITOFRONTAL,CTX_LH_MIDDLETEMPORAL,CTX_LH_PARACENTRAL,CTX_LH_PARAHIPPOCAMPAL,CTX_LH_PARSOPERCULARIS,CTX_LH_PARSORBITALIS,CTX_LH_PARSTRIANGULARIS,CTX_LH_PERICALCARINE,CTX_LH_POSTCENTRAL,CTX_LH_POSTERIORCINGULATE,CTX_LH_PRECENTRAL,CTX_LH_PRECUNEUS,CTX_LH_ROSTRALANTERIORCINGULATE,CTX_LH_ROSTRALMIDDLEFRONTAL,CTX_LH_SUPERIORFRONTAL,CTX_LH_SUPERIORPARIETAL,CTX_LH_SUPERIORTEMPORAL,CTX_LH_SUPRAMARGINAL,CTX_LH_TEMPORALPOLE,CTX_LH_TRANSVERSETEMPORAL,CTX_RH_BANKSSTS,CTX_RH_CAUDALANTERIORCINGULATE,CTX_RH_CAUDALMIDDLEFRONTAL,CTX_RH_CUNEUS,CTX_RH_ENTORHINAL,CTX_RH_FRONTALPOLE,CTX_RH_FUSIFORM,CTX_RH_INFERIORPARIETAL,CTX_RH_INFERIORTEMPORAL,CTX_RH_INSULA,CTX_RH_ISTHMUSCINGULATE,CTX_RH_LATERALOCCIPITAL,CTX_RH_LATERALORBITOFRONTAL,CTX_RH_LINGUAL,CTX_RH_MEDIALORBITOFRONTAL,CTX_RH_MIDDLETEMPORAL,CTX_RH_PARACENTRAL,CTX_RH_PARAHIPPOCAMPAL,CTX_RH_PARSOPERCULARIS,CTX_RH_PARSORBITALIS,CTX_RH_PARSTRIANGULARIS,CTX_RH_PERICALCARINE,CTX_RH_POSTCENTRAL,CTX_RH_POSTERIORCINGULATE,CTX_RH_PRECENTRAL,CTX_RH_PRECUNEUS,CTX_RH_ROSTRALANTERIORCINGULATE,CTX_RH_ROSTRALMIDDLEFRONTAL,CTX_RH_SUPERIORFRONTAL,CTX_RH_SUPERIORPARIETAL,CTX_RH_SUPERIORTEMPORAL,CTX_RH_SUPRAMARGINAL,CTX_RH_TEMPORALPOLE,CTX_RH_TRANSVERSETEMPORAL,LEFT_ACCUMBENS_AREA,LEFT_AMYGDALA,LEFT_CAUDATE,LEFT_CEREBELLUM_CORTEX,LEFT_CEREBELLUM_WHITE_MATTER,LEFT_CEREBRAL_WHITE_MATTER,LEFT_HIPPOCAMPUS,LEFT_PALLIDUM,LEFT_PUTAMEN,LEFT_THALAMUS_PROPER,RIGHT_ACCUMBENS_AREA,RIGHT_AMYGDALA,RIGHT_CAUDATE,RIGHT_CEREBELLUM_CORTEX,RIGHT_CEREBELLUM_WHITE_MATTER,RIGHT_CEREBRAL_WHITE_MATTER,RIGHT_HIPPOCAMPUS,RIGHT_PALLIDUM,RIGHT_PUTAMEN,RIGHT_THALAMUS_PROPER
0.829604,-0.464921,0.302083,-0.509657,0.610466,-0.397239,0.230752,-0.384120,-0.660083,-0.595050,0.171031,-0.239463,-0.115521,0.183337,0.600222,0.118510,-0.627558,0.564038,-0.400147,0.225002,0.155151,0.566853,0.618912,0.469407,-0.395114,0.369327,-0.489887,0.004786,-0.249848,-0.052654,-0.424117,-0.161939,-0.536859,0.089330,0.440452,-0.635324,0.395693,-0.677696,0.434600,-0.332164,0.232364,-0.640096,-0.977473,-0.749936,0.014222,-0.320143,-0.416870,0.272263,0.412503,0.166533,-0.762516,0.426161,-0.700788,-0.058154,-0.087019,0.432291,0.425905,0.285922,-0.405305,0.262561,-0.465191,0.326737,-0.225524,-0.379585,-0.492864,-0.067285,-0.601460,0.280832,0.419455,0.157422,-0.515588,0.610717,0.728861,0.724145,0.725310,0.040943,0.600766,0.476224,0.831281,0.156178,-0.473116,0.518751,0.713861,0.775510,0.715146,0.010894,0.552669,0.371004,0.885058
-0.000000,-0.449026,-0.000000,-0.824504,0.000000,-0.000000,-0.000000,0.000000,-0.620320,-0.534241,-0.161831,-0.121348,-0.000000,-0.142277,0.000000,-0.000000,-0.692136,0.000000,0.000000,-0.583080,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.465121,0.000000,-0.586966,-0.581699,-0.000000,-0.622966,-0.621792,-0.000000,0.000000,-0.000000,-0.000000,-0.277831,0.000000,0.000000,0.150361,0.573910,-0.000000,0.324452,0.409287,0.000000,0.632689,0.356491,0.284757,0.294701,-0.000000,0.198844,0.000000,0.000000,0.478556,0.000000,0.210831,-0.000000,0.460120,0.000000,0.470035,0.000000,0.252304,0.000000,0.540110,0.322522,0.334794,0.000000,0.208249,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.085132,0.141056,0.000000,-0.000000,0.000000,0.302536,-0.000000,0.168386,0.000000
0.000000,0.525423,0.000000,-0.000000,-0.000000,-0.254718,-0.000000,0.131692,0.224082,0.000000,0.000000,-0.370119,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.418623,-0.000000,0.000000,0.000000,0.367077,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.166369,0.000000,-0.000000,-0.548429,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.614978,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.414348,0.572036,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.559950,0.264842,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000
0.119228,-0.419014,0.060154,0.164849,0.041133,-0.437891,0.276106,-0.525872,0.097531,-0.149095,-0.432108,-0.400564,-0.040225,0.025660,-0.395820,-0.070872,0.009769,0.423305,-0.426233,0.138425,0.561218,0.520985,0.024599,0.756340,0.042911,0.709384,-0.222471,-0.151231,0.460133,0.434368,0.599163,-0.045490,0.303838,-0.164842,-0.093064,-0.032715,0.382311,0.423548,0.083589,-0.190576,0.401847,-0.177907,0.434288,0.201466,-0.360577,-0.112855,0.284272,0.050072,-0.102367,0.063343,0.207637,0.448854,-0.338240,0.176410,0.483436,0.450983,0.049725,0.853217,0.303393,0.812793,-0.078957,-0.071792,0.573605,0.425781,0.663833,0.348286,0.594129,0.025808,-0.051741,-0.629391,-0.688968,-0.211242,0.274415,0.019943,-0.146184,-0.411009,-0.118498,-0.163961,-0.151127,-0.418964,-0.628572,-0.286725,0.283070,0.044336,-0.082653,-0.408065,-0.024622,-0.258437,-0.060679
0.232906,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.466809,0.607837,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.466730,0.618848,-0.000000,-0.000000,0.000000,-0.000000
0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.615046,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.479289,0.000000,-0.507418,-0.000000,0.270915,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.619559,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.468888,-0.000000,-0.572963,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.445089,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.261219,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000
0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.582456,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.580142,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000
0.000000,0.102970,-0.099081,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.105312,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.109439,-0.000000,-0.000000,-0.214903,-0.000000,-0.181511,-0.383266,-0.050080,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.218274,-0.000000,-0.166454,0.000000,0.153010,-0.148327,0.309062,-0.000000,-0.291277,-0.183559,-0.279068,0.089940,-0.115721,0.000000,-0.000000,-0.244193,-0.000000,-0.453858,-0.290909,0.000000,0.000000,-0.152336,0.000000,-0.069939,-0.150938,-0.114503,0.216400,0.079184,0.220118,0.202615,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.197951,-0.258082,0.139298,0.000000,0.284638,0.466694,-0.000000,0.000000,0.000000,0.000000,0.173449,0.436450,0.447788,0.119912,0.093846,0.334060,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.531395,0.301944
-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,-0.254788,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.184147,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.200226,-0.000000,0.454850,0.541554,0.000000,-0.470447,0.000000,-0.392137,0.000000,0.585846,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.244275,0.159733,0.000000,0.504588,-0.165273,0.000000,-0.255474,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.318838,0.000000,0.000000,-0.000000
-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.745250,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.602088,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.232430,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000
