FACTOR,BRAAK1,BRAAK2,BRAAK3,BRAAK4,BRAAK5,BRAAK6,BASALGANGLIA,CEREBELLUM_GRAY,CEREBELLUM_WHITE,CEREBRAL_WHITE,CINGULATE,FRONTAL,LIMBIC,MEDIAL_OCCIPITAL,MEDIAL_TEMPORAL,OCCIPITAL,PARIETAL,SENSORY,TEMPORAL,THALAMUS,BRAAK1_CUM,BRAAK2_CUM,BRAAK3_CUM,BRAAK4_CUM,BRAAK5_CUM,BRAAK6_CUM,BASALGANGLIA_NEG_ASYM,BASALGANGLIA_POS_ASYM,CEREBELLUM_GRAY_NEG_ASYM,CEREBELLUM_GRAY_POS_ASYM,CEREBELLUM_WHITE_NEG_ASYM,CEREBELLUM_WHITE_POS_ASYM,CEREBRAL_WHITE_NEG_ASYM,CEREBRAL_WHITE_POS_ASYM,CINGULATE_NEG_ASYM,CINGULATE_POS_ASYM,FRONTAL_NEG_ASYM,FRONTAL_POS_ASYM,LIMBIC_NEG_ASYM,LIMBIC_POS_ASYM,MEDIAL_OCCIPITAL_NEG_ASYM,MEDIAL_OCCIPITAL_POS_ASYM,MEDIAL_TEMPORAL_NEG_ASYM,MEDIAL_TEMPORAL_POS_ASYM,OCCIPITAL_NEG_ASYM,OCCIPITAL_POS_ASYM,PARIETAL_NEG_ASYM,PARIETAL_POS_ASYM,SENSORY_NEG_ASYM,SENSORY_POS_ASYM,TEMPORAL_NEG_ASYM,TEMPORAL_POS_ASYM,THALAMUS_NEG_ASYM,THALAMUS_POS_ASYM,varperc
NSFA_0,-0.729403,0.051837,-2.10113,-0.794032,-1.863237,4.467299,3.443731,1.442722,1.499655,1.440456,-0.330726,0.342919,-2.581952,2.078392,-2.581952,-0.532391,-4.647934,2.377416,-2.83446,1.716339,-0.729403,-0.677566,-2.778696,-3.572728,-5.435965,-0.968666,0.0,0.0715871826226,0.0,0.0103970134232,0.0,-0.0342512111119,0.0,0.00705609890201,-0.0668156835352,-0.403732054534,-0.274902383202,0.145623633402,-0.183545218841,0.78813108946,-0.249923844189,0.179394883272,-0.183545218841,0.78813108946,-0.566029478335,0.0,-0.0916626613028,0.0,0.0,0.180081231051,-0.0899471992942,-0.138614175302,0.0,-0.0313323882986,0.707622646386
NSFA_3,-0.628467,-0.819074,-3.283979,-0.821421,5.78972,4.202939,-2.11184,0.557485,0.064279,-0.228837,0.052327,5.559897,-4.322239,-1.00292,-4.322239,0.244047,2.391354,4.003893,-0.162995,-0.211806,-0.628467,-1.447541,-4.73152,-5.552941,0.236779,4.439718,0.0636146677779,0.0,0.0,-0.0155250813923,0.0,-0.379486301903,0.277625558804,0.0,0.49854299456,-0.738668735713,1.0,-0.0829870662426,0.00678300802709,0.0,0.533640718623,-0.339529555982,0.00678300802709,0.0,1.0,-1.0,0.476113698794,-0.256878573906,0.0,-0.0564038549482,0.823306599328,-0.975360860365,0.42703228426,0.0,0.390469705891
NSFA_1,0.0,0.302536,0.943799,-0.315697,-1.425328,0.409675,0.309442,0.0,0.0,0.0,0.338772,-1.463944,0.635124,1.069498,0.635124,0.632689,-0.362294,0.198844,-1.443146,0.0,0.0,0.302536,1.246335,0.930638,-0.49469,-0.085015,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.814554140244,-1.0,1.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.241744256591
NSFA_19,0.734632,0.0,0.947927,-1.341753,-2.579656,0.410448,-0.245491,0.0,0.0,0.0,-1.341753,-2.334165,1.292091,0.693057,1.292091,0.0,0.0,0.107859,0.0,0.0,0.734632,0.734632,1.682559,0.340806,-2.23885,-1.828402,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00350809724294,0.0,-0.469585911879,0.0,0.0,0.0937841928604,0.0,-0.45468843111,0.0,0.0937841928604,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.105864101519
NSFA_12,0.0,0.0,0.035385,0.048222,-3.022759,0.160003,0.0,0.0,0.0,-0.351624,0.048222,-1.889429,0.039776,-0.040777,0.039776,0.503325,0.474566,0.196389,-2.111221,0.0,0.0,0.0,0.035385,0.083607,-2.939152,-2.779149,0.0,0.0,0.0,0.0,0.0,0.0,-0.18838873342,0.0,-1.0,0.245384545372,-0.0590101966225,-0.159842551151,-1.0,1.0,-0.169255145096,1.0,-1.0,1.0,0.0,1.0,-1.0,0.207456199456,0.0,1.0,-0.546063628583,0.0,0.0,0.0,0.101428949511
NSFA_7,-0.291277,0.0,-0.721681,0.041251,1.53009,0.271935,2.06196,0.0,0.0,0.0,-0.168224,-1.060499,-0.280032,-0.897509,-0.280032,-0.244193,0.595818,0.436518,-0.363253,0.749732,-0.291277,-0.291277,-1.012958,-0.971707,0.558383,0.830318,0.0,0.044242371336,0.0,0.0,0.0,0.0,0.0,0.0,-0.199047726832,-1.0,-0.0154275713166,-1.0,-0.347311227062,0.504095285402,-0.888402233292,0.0,-0.347311227062,0.504095285402,-1.0,0.0,0.0,-0.646496077661,0.0,-1.0,0.014402839172,-0.478999590162,0.0,0.194528178069,0.090223220055
NSFA_2,-0.254718,0.0,-0.842606,-0.918548,2.538452,-0.614978,0.836878,0.0,0.0,0.0,-0.918548,0.0,-1.229016,0.131692,-1.229016,0.0,0.390451,-0.614978,1.311123,0.0,-0.254718,-0.254718,-1.097324,-2.015872,0.52258,-0.092398,0.0,0.367071424987,0.0,0.0,0.0,0.0,0.0,0.0,-0.194121591904,0.0,0.0,0.0,-0.0981321449802,0.0,0.0,1.0,-0.0981321449802,0.0,0.0,0.0,0.0,0.147811120986,-1.0,0.0,0.0,0.440057111347,0.0,0.0,0.084301055821
NSFA_5,0.0,0.0,0.706308,-2.182782,-0.809466,0.0,0.0,0.0,0.0,0.0,-2.182782,0.270915,0.706308,0.0,0.706308,0.0,-1.080381,0.0,0.0,0.0,0.0,0.0,0.706308,-1.476474,-2.28594,-2.28594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00269747505706,0.0,0.0,1.0,0.0,0.260325523709,0.0,0.0,0.0,0.260325523709,0.0,0.0,-0.0606684123471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0736966546849
NSFA_8,0.0,0.318838,-0.847837,2.086838,-0.97505,0.184147,0.0,0.0,0.0,0.0,0.0,0.0,0.604918,-0.408216,0.604918,-0.725235,-0.244275,0.0,1.539744,0.0,0.0,0.318838,-0.528999,1.557839,0.582789,0.766936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-0.297364302605,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0652216499809
NSFA_16,0.0,0.0,0.0,0.0,-1.80718,0.906278,0.0,0.0,0.0,0.0,0.0,-1.80718,0.0,0.906278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.80718,-0.900902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0834095109508,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0553968956545
