,NSFA_0_REGIONS,NSFA_0,NSFA_1_REGIONS,NSFA_1,NSFA_2_REGIONS,NSFA_2,NSFA_3_REGIONS,NSFA_3,NSFA_4_REGIONS,NSFA_4,NSFA_5_REGIONS,NSFA_5,NSFA_6_REGIONS,NSFA_6,NSFA_7_REGIONS,NSFA_7,NSFA_8_REGIONS,NSFA_8,NSFA_9_REGIONS,NSFA_9,NSFA_10_REGIONS,NSFA_10,NSFA_11_REGIONS,NSFA_11,NSFA_12_REGIONS,NSFA_12,NSFA_13_REGIONS,NSFA_13,NSFA_14_REGIONS,NSFA_14,NSFA_15_REGIONS,NSFA_15,NSFA_16_REGIONS,NSFA_16,NSFA_17_REGIONS,NSFA_17,NSFA_18_REGIONS,NSFA_18,NSFA_19_REGIONS,NSFA_19,NSFA_20_REGIONS,NSFA_20,NSFA_21_REGIONS,NSFA_21,NSFA_22_REGIONS,NSFA_22,NSFA_23_REGIONS,NSFA_23,NSFA_24_REGIONS,NSFA_24,NSFA_25_REGIONS,NSFA_25,NSFA_26_REGIONS,NSFA_26,NSFA_27_REGIONS,NSFA_27,NSFA_28_REGIONS,NSFA_28
POS_1,RIGHT_THALAMUS_PROPER,0.885058,CTX_RH_LATERALOCCIPITAL,0.632689,LEFT_CAUDATE,0.572036,CTX_RH_POSTCENTRAL,0.853217,RIGHT_CEREBRAL_WHITE_MATTER,0.618848,LEFT_AMYGDALA,0.445089,LEFT_CEREBELLUM_CORTEX,0.582456,RIGHT_PUTAMEN,0.531395,CTX_RH_MIDDLETEMPORAL,0.585846,LEFT_CAUDATE,0.23243,RIGHT_PALLIDUM,0.861055,,,CTX_LH_LATERALOCCIPITAL,0.503325,LEFT_PUTAMEN,0.636753,LEFT_HIPPOCAMPUS,0.765251,CTX_RH_PERICALCARINE,0.234924,CTX_LH_PERICALCARINE,0.522814,CTX_LH_PRECENTRAL,0.17389,CTX_RH_PARSOPERCULARIS,0.342151,CTX_LH_PARAHIPPOCAMPAL,0.557459,,,CTX_LH_PARACENTRAL,0.099105,CTX_LH_SUPRAMARGINAL,0.313114,CTX_RH_LATERALOCCIPITAL,0.280188,,,,,CTX_LH_CUNEUS,0.292247,RIGHT_THALAMUS_PROPER,0.236632,RIGHT_ACCUMBENS_AREA,0.450846
POS_2,LEFT_THALAMUS_PROPER,0.831281,CTX_RH_FUSIFORM,0.57391,CTX_LH_BANKSSTS,0.525423,CTX_RH_PRECENTRAL,0.812793,LEFT_CEREBRAL_WHITE_MATTER,0.607837,CTX_LH_ROSTRALMIDDLEFRONTAL,0.270915,RIGHT_CEREBELLUM_CORTEX,0.580142,LEFT_CAUDATE,0.466694,CTX_RH_INSULA,0.541554,,,LEFT_PALLIDUM,0.743015,,,CTX_LH_SUPERIORPARIETAL,0.443521,RIGHT_PUTAMEN,0.594432,RIGHT_HIPPOCAMPUS,0.727903,,,CTX_LH_CUNEUS,0.383464,CTX_LH_POSTCENTRAL,0.15523,CTX_LH_PARSOPERCULARIS,0.306744,CTX_RH_ENTORHINAL,0.405405,,,CTX_RH_SUPRAMARGINAL,0.025416,CTX_RH_SUPRAMARGINAL,0.220698,CTX_LH_FRONTALPOLE,0.164178,,,,,CTX_RH_LATERALOCCIPITAL,0.222697,LEFT_THALAMUS_PROPER,0.215158,LEFT_ACCUMBENS_AREA,0.390874
POS_3,BRAIN_STEM,0.829604,CTX_RH_SUPERIORPARIETAL,0.54011,CTX_LH_SUPERIORTEMPORAL,0.418623,CTX_LH_POSTCENTRAL,0.75634,LEFT_CEREBELLUM_WHITE_MATTER,0.466809,RIGHT_AMYGDALA,0.261219,,,LEFT_THALAMUS_PROPER,0.447788,CTX_RH_TEMPORALPOLE,0.504588,,,,,,,CTX_RH_SUPERIORPARIETAL,0.291116,,,,,,,,,,,,,CTX_LH_ENTORHINAL,0.329227,,,,,CTX_RH_CAUDALMIDDLEFRONTAL,0.115774,,,,,,,CTX_LH_LATERALOCCIPITAL,0.214839,,,,
POS_4,RIGHT_CEREBELLUM_WHITE_MATTER,0.77551,CTX_RH_PARSORBITALIS,0.478556,CTX_RH_BANKSSTS,0.367077,CTX_LH_PRECENTRAL,0.709384,RIGHT_CEREBELLUM_WHITE_MATTER,0.46673,,,,,LEFT_PUTAMEN,0.43645,CTX_RH_INFERIORTEMPORAL,0.45485,,,,,,,CTX_RH_FRONTALPOLE,0.290239,,,,,,,,,,,,,CTX_RH_CUNEUS,0.302589,,,,,,,,,,,,,,,,,,
POS_5,LEFT_CEREBELLUM_CORTEX,0.728861,CTX_RH_PRECUNEUS,0.470035,RIGHT_CAUDATE,0.264842,CTX_RH_SUPERIORPARIETAL,0.663833,BRAIN_STEM,0.232906,,,,,RIGHT_CAUDATE,0.33406,RIGHT_HIPPOCAMPUS,0.318838,,,,,,,CTX_LH_FRONTALPOLE,0.210241,,,,,,,,,,,,,CTX_RH_LINGUAL,0.201502,,,,,,,,,,,,,,,,,,
POS_6,LEFT_CEREBRAL_WHITE_MATTER,0.72531,CTX_RH_POSTERIORCINGULATE,0.46012,CTX_LH_INFERIORPARIETAL,0.224082,CTX_LH_SUPERIORPARIETAL,0.599163,,,,,,,CTX_RH_CAUDALMIDDLEFRONTAL,0.309062,CTX_LH_PERICALCARINE,0.184147,,,,,,,CTX_LH_POSTCENTRAL,0.196389,,,,,,,,,,,,,CTX_LH_LINGUAL,0.188966,,,,,,,,,,,,,,,,,,
POS_7,LEFT_CEREBELLUM_WHITE_MATTER,0.724145,CTX_RH_INSULA,0.409287,CTX_RH_INFERIORPARIETAL,0.166369,CTX_RH_SUPRAMARGINAL,0.594129,,,,,,,RIGHT_THALAMUS_PROPER,0.301944,CTX_RH_SUPERIORTEMPORAL,0.159733,,,,,,,CTX_LH_POSTERIORCINGULATE,0.171038,,,,,,,,,,,,,CTX_LH_PRECENTRAL,0.107859,,,,,,,,,,,,,,,,,,
POS_8,RIGHT_CEREBRAL_WHITE_MATTER,0.715146,CTX_RH_LATERALORBITOFRONTAL,0.356491,CTX_LH_FUSIFORM,0.131692,CTX_RH_ROSTRALMIDDLEFRONTAL,0.573605,,,,,,,LEFT_AMYGDALA,0.284638,,,,,,,,,CTX_LH_FUSIFORM,0.165341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS_9,RIGHT_CEREBELLUM_CORTEX,0.713861,CTX_RH_SUPRAMARGINAL,0.334794,,,CTX_LH_PARSORBITALIS,0.561218,,,,,,,CTX_RH_PRECENTRAL,0.220118,,,,,,,,,LEFT_AMYGDALA,0.11254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POS_10,CTX_LH_PERICALCARINE,0.618912,CTX_RH_INFERIORTEMPORAL,0.324452,,,CTX_LH_PARSTRIANGULARIS,0.520985,,,,,,,CTX_RH_POSTCENTRAL,0.2164,,,,,,,,,CTX_RH_POSTERIORCINGULATE,0.103637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEG_1,CTX_RH_INFERIORPARIETAL,-0.977473,CTX_LH_CAUDALMIDDLEFRONTAL,-0.824504,CTX_RH_POSTCENTRAL,-0.614978,LEFT_AMYGDALA,-0.688968,,,CTX_RH_ISTHMUSCINGULATE,-0.619559,,,CTX_RH_LINGUAL,-0.453858,CTX_RH_LATERALOCCIPITAL,-0.470447,CTX_LH_INSULA,-0.74525,,,CTX_LH_FRONTALPOLE,-0.752977,CTX_RH_TRANSVERSETEMPORAL,-0.602125,,,CTX_RH_PARSORBITALIS,-0.31411,CTX_LH_LINGUAL,-0.62998,CTX_LH_PARSORBITALIS,-0.828222,CTX_RH_FUSIFORM,-0.480195,CTX_LH_TEMPORALPOLE,-0.781693,CTX_RH_MEDIALORBITOFRONTAL,-0.827927,LEFT_CEREBELLUM_WHITE_MATTER,-0.40969,CTX_LH_LATERALORBITOFRONTAL,-0.271255,CTX_LH_LATERALOCCIPITAL,-0.345528,CTX_RH_PRECUNEUS,-0.303359,CTX_RH_SUPERIORTEMPORAL,-0.418556,CTX_RH_LATERALORBITOFRONTAL,-0.385455,CTX_LH_SUPERIORFRONTAL,-0.418676,,,,
NEG_2,CTX_RH_MIDDLETEMPORAL,-0.762516,CTX_LH_MIDDLETEMPORAL,-0.692136,RIGHT_AMYGDALA,-0.55995,LEFT_ACCUMBENS_AREA,-0.629391,,,CTX_LH_ISTHMUSCINGULATE,-0.615046,,,CTX_LH_PARSTRIANGULARIS,-0.383266,CTX_RH_LINGUAL,-0.392137,CTX_RH_INSULA,-0.602088,,,CTX_RH_ROSTRALMIDDLEFRONTAL,-0.651262,CTX_RH_BANKSSTS,-0.556516,,,,,CTX_LH_FUSIFORM,-0.507384,CTX_RH_PARSORBITALIS,-0.591948,CTX_LH_INFERIORTEMPORAL,-0.401946,CTX_RH_TEMPORALPOLE,-0.729151,CTX_RH_ROSTRALANTERIORCINGULATE,-0.67323,RIGHT_CEREBELLUM_WHITE_MATTER,-0.37917,CTX_RH_CAUDALANTERIORCINGULATE,-0.250802,CTX_RH_LATERALOCCIPITAL,-0.079949,CTX_LH_PRECUNEUS,-0.188839,CTX_LH_SUPERIORTEMPORAL,-0.32873,CTX_LH_LATERALORBITOFRONTAL,-0.383094,CTX_RH_SUPERIORFRONTAL,-0.364294,,,,
NEG_3,CTX_RH_INFERIORTEMPORAL,-0.749936,CTX_LH_SUPERIORTEMPORAL,-0.622966,CTX_RH_ISTHMUSCINGULATE,-0.548429,RIGHT_AMYGDALA,-0.628572,,,CTX_RH_PRECUNEUS,-0.572963,,,CTX_RH_ENTORHINAL,-0.291277,LEFT_AMYGDALA,-0.255474,,,,,CTX_RH_FRONTALPOLE,-0.562616,CTX_RH_PARSOPERCULARIS,-0.536157,,,,,CTX_LH_LATERALOCCIPITAL,-0.399752,CTX_RH_LATERALORBITOFRONTAL,-0.38701,CTX_LH_FUSIFORM,-0.379128,,,CTX_LH_ROSTRALANTERIORCINGULATE,-0.668523,BRAIN_STEM,-0.210749,CTX_LH_CAUDALANTERIORCINGULATE,-0.249833,,,CTX_RH_SUPERIORTEMPORAL,-0.151856,,,,,CTX_LH_PARACENTRAL,-0.244013,,,,
NEG_4,CTX_RH_PARAHIPPOCAMPAL,-0.700788,CTX_LH_SUPRAMARGINAL,-0.621792,LEFT_AMYGDALA,-0.414348,CTX_LH_FUSIFORM,-0.525872,,,CTX_LH_PRECUNEUS,-0.507418,,,CTX_RH_MEDIALORBITOFRONTAL,-0.290909,CTX_LH_LATERALOCCIPITAL,-0.254788,,,,,CTX_LH_ROSTRALMIDDLEFRONTAL,-0.479073,CTX_LH_TRANSVERSETEMPORAL,-0.47918,,,,,CTX_LH_SUPERIORPARIETAL,-0.267525,,,CTX_RH_INFERIORTEMPORAL,-0.373833,,,CTX_LH_MEDIALORBITOFRONTAL,-0.619037,,,CTX_LH_INSULA,-0.197049,,,,,,,,,CTX_LH_PRECENTRAL,-0.215271,,,,
NEG_5,CTX_RH_CAUDALMIDDLEFRONTAL,-0.677696,CTX_LH_INFERIORPARIETAL,-0.62032,CTX_LH_ISTHMUSCINGULATE,-0.370119,CTX_LH_ENTORHINAL,-0.437891,,,CTX_LH_POSTERIORCINGULATE,-0.479289,,,CTX_RH_FUSIFORM,-0.279068,CTX_RH_SUPERIORPARIETAL,-0.244275,,,,,,,CTX_RH_SUPERIORTEMPORAL,-0.4734,,,,,,,,,,,,,CTX_RH_PARSOPERCULARIS,-0.380799,,,,,,,,,,,,,CTX_RH_PRECENTRAL,-0.177324,,,,
NEG_6,CTX_LH_INFERIORPARIETAL,-0.660083,CTX_LH_ROSTRALMIDDLEFRONTAL,-0.586966,CTX_LH_ENTORHINAL,-0.254718,CTX_LH_INSULA,-0.432108,,,CTX_RH_POSTERIORCINGULATE,-0.468888,,,CTX_RH_TEMPORALPOLE,-0.258082,CTX_RH_FUSIFORM,-0.200226,,,,,,,CTX_LH_LATERALORBITOFRONTAL,-0.367699,,,,,,,,,,,,,CTX_RH_SUPERIORFRONTAL,-0.301797,,,,,,,,,,,,,CTX_RH_INSULA,-0.170137,,,,
NEG_7,CTX_RH_FUSIFORM,-0.640096,CTX_LH_PARSOPERCULARIS,-0.58308,,,CTX_LH_PARAHIPPOCAMPAL,-0.426233,,,,,,,CTX_RH_LATERALOCCIPITAL,-0.244193,CTX_RH_TRANSVERSETEMPORAL,-0.165273,,,,,,,CTX_RH_SUPERIORFRONTAL,-0.337529,,,,,,,,,,,,,RIGHT_CAUDATE,-0.245491,,,,,,,,,,,,,,,,,,
NEG_8,CTX_RH_BANKSSTS,-0.635324,CTX_LH_SUPERIORFRONTAL,-0.581699,,,CTX_LH_BANKSSTS,-0.419014,,,,,,,CTX_LH_SUPERIORTEMPORAL,-0.218274,,,,,,,,,CTX_LH_PARSOPERCULARIS,-0.317663,,,,,,,,,,,,,CTX_RH_LATERALORBITOFRONTAL,-0.204605,,,,,,,,,,,,,,,,,,
NEG_9,CTX_LH_MIDDLETEMPORAL,-0.627558,CTX_LH_INFERIORTEMPORAL,-0.534241,,,RIGHT_ACCUMBENS_AREA,-0.418964,,,,,,,CTX_LH_PARAHIPPOCAMPAL,-0.214903,,,,,,,,,CTX_RH_CAUDALMIDDLEFRONTAL,-0.273822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEG_10,CTX_RH_SUPRAMARGINAL,-0.60146,CTX_LH_PRECUNEUS,-0.465121,,,LEFT_HIPPOCAMPUS,-0.411009,,,,,,,CTX_RH_FRONTALPOLE,-0.183559,,,,,,,,,CTX_LH_CAUDALMIDDLEFRONTAL,-0.262693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
