,NSFA_0,NSFA_1,NSFA_2,NSFA_3,NSFA_4,NSFA_5,NSFA_6,NSFA_7,NSFA_8,NSFA_9,NSFA_10,NSFA_11,NSFA_12,NSFA_13,NSFA_14,NSFA_15,NSFA_16,NSFA_17,NSFA_18,NSFA_19,NSFA_20,NSFA_21,NSFA_22,NSFA_23,NSFA_24,NSFA_25,NSFA_26,NSFA_27,NSFA_28
CTX_BANKSSTS,0.119488,0.0,-0.0,-0.141174,0.0,0.068295,0.754116,-0.025585,-0.0,-0.0,0.0,0.0,0.248904,-0.0,-0.165634,0.0,-0.095371,0.146807,0.0,0.0,-0.0,-0.0,0.0,0.0,0.242666,0.0,-0.126442,-0.0,0.0
CTX_PRECENTRAL,-0.419635,0.0,0.0,0.0,0.296801,-0.055597,-0.176032,-0.248158,-0.536732,-0.0,-0.0,0.0,-0.537489,-0.0,0.092575,0.024213,0.0045,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
CTX_MEDIALORBITOFRONTAL,0.0,-0.0,0.0,0.0,0.0,-0.0,0.557387,0.091346,0.629772,-0.0,-0.0,0.0,-0.0,0.0,-0.02547,-0.089243,0.2023,0.0,0.122198,0.0,-0.066453,-0.0,0.0,-0.234219,-0.0,0.082437,-0.0,-0.336256,0.0
CTX_PARSORBITALIS,-0.300493,0.029163,-0.0,-0.0,-0.0,-0.093422,0.064104,0.535126,0.0,-0.367756,-0.0,0.097533,0.0,-0.0,-0.0,-0.0,-0.115169,-0.0,0.0,0.574965,0.0,-0.0,-0.0,-0.0,-0.030775,-0.0,0.0,0.251342,-0.0
CAUDATE,-0.0,0.0,-0.0,-0.0,-0.0,-0.206467,-0.513326,-0.443706,0.49206,0.0,-0.0,0.0,0.0,0.368002,0.0,0.0,0.287793,-0.0,0.0,-0.0,-0.199414,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
CTX_LINGUAL,0.554806,0.154927,0.273154,0.384363,0.0,-0.14658,0.158464,-0.0,-0.479763,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.157956,-0.0,-0.0,0.0,0.0,-0.093318,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
THALAMUS_PROPER,0.0,-0.111543,-0.070218,0.0,-0.0,0.122836,-0.917127,-0.212485,0.144365,-0.0,0.092348,0.0,0.0,0.0,0.0,0.08135,-0.009571,-0.0,-0.0,0.0,-0.050623,-0.105137,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0
CEREBELLUM_CORTEX,-0.0,-0.0,0.0,0.104494,0.0,-0.108246,-0.918667,-0.0,-0.16737,0.0,-0.0,0.0,-0.0,-0.124012,-0.0,-0.0,-0.010512,0.0,0.0,-0.0,0.0,-0.156645,0.087445,-0.0,0.0,-0.0,-0.0,0.0,-0.0
PALLIDUM,-0.0,-0.195109,0.0,-0.0,0.0,0.271208,-0.853424,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.162293,-0.055283,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
CTX_ISTHMUSCINGULATE,0.278889,0.0,-0.0,-0.222492,0.0,-0.096036,0.395038,-0.131005,0.337908,-0.0,-0.0,-0.386077,0.283386,-0.0,0.495008,-0.0,-0.113917,-0.190157,-0.176631,-0.0,-0.0,-0.130915,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
