,NSFA_0_REGIONS,NSFA_0,NSFA_1_REGIONS,NSFA_1,NSFA_2_REGIONS,NSFA_2,NSFA_3_REGIONS,NSFA_3,NSFA_4_REGIONS,NSFA_4,NSFA_5_REGIONS,NSFA_5,NSFA_6_REGIONS,NSFA_6,NSFA_7_REGIONS,NSFA_7,NSFA_8_REGIONS,NSFA_8,NSFA_9_REGIONS,NSFA_9,NSFA_10_REGIONS,NSFA_10,NSFA_11_REGIONS,NSFA_11,NSFA_12_REGIONS,NSFA_12,NSFA_13_REGIONS,NSFA_13,NSFA_14_REGIONS,NSFA_14,NSFA_15_REGIONS,NSFA_15,NSFA_16_REGIONS,NSFA_16,NSFA_17_REGIONS,NSFA_17,NSFA_18_REGIONS,NSFA_18,NSFA_19_REGIONS,NSFA_19,NSFA_20_REGIONS,NSFA_20,NSFA_21_REGIONS,NSFA_21,NSFA_22_REGIONS,NSFA_22,NSFA_23_REGIONS,NSFA_23,NSFA_24_REGIONS,NSFA_24,NSFA_25_REGIONS,NSFA_25,NSFA_26_REGIONS,NSFA_26,NSFA_27_REGIONS,NSFA_27,NSFA_28_REGIONS,NSFA_28
POS_1,CTX_FUSIFORM,0.594868,CTX_ROSTRALANTERIORCINGULATE,0.1968,CTX_FUSIFORM,0.385703,CTX_CUNEUS,0.50819,CTX_POSTCENTRAL,0.369611,CEREBELLUM_WHITE_MATTER,0.339332,CTX_PRECUNEUS,0.838443,CTX_FRONTALPOLE,0.59463,CTX_ROSTRALANTERIORCINGULATE,0.694325,CTX_POSTERIORCINGULATE,0.381962,CTX_PARACENTRAL,0.388381,CTX_SUPERIORPARIETAL,0.22906,CTX_INFERIORPARIETAL,0.29363,CAUDATE,0.368002,CTX_ISTHMUSCINGULATE,0.495008,PALLIDUM,0.162293,CAUDATE,0.287793,CTX_PARSOPERCULARIS,0.361857,CTX_TRANSVERSETEMPORAL,0.29438,CTX_PARSORBITALIS,0.574965,HIPPOCAMPUS,0.2686,CTX_ENTORHINAL,0.453592,CTX_CUNEUS,0.279383,ACCUMBENS_AREA,0.525127,CTX_SUPERIORTEMPORAL,0.555545,CTX_TEMPORALPOLE,0.195491,CTX_TEMPORALPOLE,0.62704,CTX_FRONTALPOLE,0.268898,CTX_INSULA,0.188531
POS_2,CTX_LINGUAL,0.554806,CTX_CAUDALANTERIORCINGULATE,0.172049,CTX_LINGUAL,0.273154,CTX_PERICALCARINE,0.460277,CTX_PRECENTRAL,0.296801,CEREBRAL_WHITE_MATTER,0.321934,CTX_BANKSSTS,0.754116,CTX_PARSORBITALIS,0.535126,CTX_MEDIALORBITOFRONTAL,0.629772,CTX_CAUDALANTERIORCINGULATE,0.305878,CTX_TRANSVERSETEMPORAL,0.281559,CTX_CUNEUS,0.166227,CTX_ISTHMUSCINGULATE,0.283386,PUTAMEN,0.212966,CTX_POSTERIORCINGULATE,0.340794,CTX_LATERALOCCIPITAL,0.129618,CTX_SUPERIORTEMPORAL,0.285096,CTX_SUPERIORTEMPORAL,0.349165,CTX_LATERALORBITOFRONTAL,0.225882,CTX_LATERALORBITOFRONTAL,0.230611,CTX_TEMPORALPOLE,0.225771,,,PUTAMEN,0.090366,,,CTX_TRANSVERSETEMPORAL,0.480486,CTX_SUPERIORTEMPORAL,0.188688,CTX_ENTORHINAL,0.142812,CTX_PARSORBITALIS,0.251342,PUTAMEN,0.148067
POS_3,CTX_CUNEUS,0.42095,CTX_LINGUAL,0.154927,CTX_POSTCENTRAL,0.043831,CTX_LINGUAL,0.384363,CTX_SUPRAMARGINAL,0.252893,PALLIDUM,0.271208,CTX_INFERIORPARIETAL,0.742114,CTX_MIDDLETEMPORAL,0.46496,CTX_CAUDALANTERIORCINGULATE,0.595481,CTX_SUPERIORPARIETAL,0.177701,PUTAMEN,0.228685,CTX_TRANSVERSETEMPORAL,0.100499,CTX_PRECUNEUS,0.280591,CTX_POSTERIORCINGULATE,0.162053,CTX_PARAHIPPOCAMPAL,0.183138,CTX_CAUDALANTERIORCINGULATE,0.089563,CTX_TEMPORALPOLE,0.211243,CTX_INSULA,0.239038,CTX_MEDIALORBITOFRONTAL,0.122198,CEREBRAL_WHITE_MATTER,0.036737,AMYGDALA,0.13182,,,CEREBELLUM_CORTEX,0.087445,,,CTX_BANKSSTS,0.242666,ACCUMBENS_AREA,0.125374,,,CTX_CAUDALANTERIORCINGULATE,0.128975,CTX_MIDDLETEMPORAL,0.086697
POS_4,CTX_PERICALCARINE,0.389832,CTX_PARSOPERCULARIS,0.152922,CTX_ROSTRALMIDDLEFRONTAL,0.030945,CEREBELLUM_CORTEX,0.104494,CEREBRAL_WHITE_MATTER,0.054466,BRAIN_STEM,0.243334,CTX_ROSTRALMIDDLEFRONTAL,0.738213,CTX_INFERIORTEMPORAL,0.460046,CTX_INSULA,0.560531,CTX_PRECUNEUS,0.115066,CTX_POSTCENTRAL,0.208796,CTX_PARSORBITALIS,0.097533,CTX_BANKSSTS,0.248904,CTX_TEMPORALPOLE,0.060244,CTX_PARSTRIANGULARIS,0.17192,CTX_POSTERIORCINGULATE,0.082363,CTX_MEDIALORBITOFRONTAL,0.2023,CTX_PARSTRIANGULARIS,0.21048,CTX_FRONTALPOLE,0.119726,,,,,,,CTX_ENTORHINAL,0.080621,,,CTX_MIDDLETEMPORAL,0.147157,CTX_MEDIALORBITOFRONTAL,0.082437,,,,,,
POS_5,CTX_PARAHIPPOCAMPAL,0.353068,CEREBRAL_WHITE_MATTER,0.138349,,,CTX_PARACENTRAL,0.040502,,,THALAMUS_PROPER,0.122836,CTX_SUPERIORFRONTAL,0.674548,CTX_LATERALORBITOFRONTAL,0.40853,CAUDATE,0.49206,CTX_SUPRAMARGINAL,0.090963,ACCUMBENS_AREA,0.141244,,,CTX_SUPRAMARGINAL,0.129641,CTX_PARSOPERCULARIS,0.018928,CTX_POSTCENTRAL,0.133168,THALAMUS_PROPER,0.08135,CTX_ROSTRALMIDDLEFRONTAL,0.188173,CTX_CAUDALANTERIORCINGULATE,0.193866,,,,,,,,,,,,,CTX_PARACENTRAL,0.135109,,,,,,,,
POS_6,CTX_INSULA,0.315377,CTX_PARACENTRAL,0.129979,,,,,,,CTX_BANKSSTS,0.068295,CTX_SUPRAMARGINAL,0.661083,CTX_LATERALOCCIPITAL,0.24839,CTX_LATERALORBITOFRONTAL,0.426095,CTX_INFERIORPARIETAL,0.08646,THALAMUS_PROPER,0.092348,,,CTX_FRONTALPOLE,0.104494,,,CTX_CUNEUS,0.130432,CTX_INSULA,0.068781,CTX_TRANSVERSETEMPORAL,0.159383,CTX_SUPRAMARGINAL,0.191441,,,,,,,,,,,,,CTX_PRECUNEUS,0.056743,,,,,,,,
POS_7,AMYGDALA,0.309077,CTX_FUSIFORM,0.128237,,,,,,,PUTAMEN,0.046268,CTX_POSTERIORCINGULATE,0.658523,CTX_TEMPORALPOLE,0.215957,PUTAMEN,0.421482,CTX_LATERALOCCIPITAL,0.081392,CTX_INSULA,0.076531,,,CTX_SUPERIORPARIETAL,0.088779,,,CTX_CAUDALANTERIORCINGULATE,0.130261,CTX_PARAHIPPOCAMPAL,0.065586,CTX_LINGUAL,0.157956,CTX_ROSTRALANTERIORCINGULATE,0.159161,,,,,,,,,,,,,,,,,,,,,,
POS_8,CTX_ISTHMUSCINGULATE,0.278889,CTX_TRANSVERSETEMPORAL,0.112645,,,,,,,,,CTX_CAUDALMIDDLEFRONTAL,0.644706,CTX_PARSTRIANGULARIS,0.211785,ACCUMBENS_AREA,0.385024,CTX_ROSTRALANTERIORCINGULATE,0.080281,,,,,CTX_MIDDLETEMPORAL,0.082211,,,CTX_PRECENTRAL,0.092575,CTX_MIDDLETEMPORAL,0.059679,CTX_FRONTALPOLE,0.156967,CTX_BANKSSTS,0.146807,,,,,,,,,,,,,,,,,,,,,,
POS_9,CTX_INFERIORTEMPORAL,0.256385,CTX_SUPRAMARGINAL,0.074565,,,,,,,,,CTX_SUPERIORPARIETAL,0.616402,CTX_ROSTRALMIDDLEFRONTAL,0.199734,CTX_PARSOPERCULARIS,0.353497,CTX_FRONTALPOLE,0.047474,,,,,CTX_FUSIFORM,0.079867,,,,,BRAIN_STEM,0.04508,CTX_ROSTRALANTERIORCINGULATE,0.153642,,,,,,,,,,,,,,,,,,,,,,,,
POS_10,CTX_TRANSVERSETEMPORAL,0.239527,CTX_TEMPORALPOLE,0.0731,,,,,,,,,CTX_PERICALCARINE,0.598689,CTX_FUSIFORM,0.155507,CTX_SUPERIORFRONTAL,0.352198,,,,,,,,,,,,,CTX_PRECENTRAL,0.024213,CTX_LATERALOCCIPITAL,0.113384,,,,,,,,,,,,,,,,,,,,,,,,
