"","Estimate","Std. Error","t value","Pr(>|t|)","p.bonferroni","p.holm"
"CTX_LH_PRECUNEUS",0.0334653175435714,0.00797249184424849,4.19759821613539,4.76968501844151e-05,0.00181248030700778,0.00181248030700778
"CTX_RH_PRECUNEUS",0.0297791196173387,0.00830707758489832,3.58478891198452,0.000464961622068901,0.0176685416386182,0.0172035800165493
"CTX_RH_SUPERIORPARIETAL",0.030078574599442,0.0092335986769465,3.25751374429334,0.00141033207217488,0.0535926187426454,0.0507719545982957
"CTX_LH_SUPERIORPARIETAL",0.0296517718243646,0.00921803376158646,3.21671330256242,0.00161081507712395,0.0612109729307102,0.0563785276993384
"CTX_RH_INFERIORPARIETAL",0.0267332592024884,0.00892524401296471,2.99524126888362,0.0032439872550279,0.12327151569106,0.110295566670949
"CTX_LH_INFERIORPARIETAL",0.0243143812944715,0.008678984585372,2.80152373302428,0.00580671140739731,0.220655033481098,0.191621476444111
"CTX_LH_SUPERIORFRONTAL",0.016617676431595,0.00639352997862038,2.59913951872653,0.0103469305792068,0.393183362009857,0.331101778534616
"CTX_LH_CAUDALMIDDLEFRONTAL",0.0202400979074697,0.00786761164737159,2.57258477091095,0.0111355317331043,0.423150205857964,0.345201483726234
"CTX_RH_SUPERIORFRONTAL",0.0159544214526504,0.00624587800766179,2.55439210197177,0.011706526678319,0.444848013776123,0.351195800349571
"CTX_LH_POSTERIORCINGULATE",0.022602530092298,0.00900149460302123,2.51097524234606,0.0131766268648229,0.500711820863268,0.382122179079863
"CTX_RH_POSTERIORCINGULATE",0.0231563480119842,0.00926636531391538,2.498967742747,0.0136113259084206,0.517230384519984,0.382122179079863
"CTX_RH_ROSTRALMIDDLEFRONTAL",0.016531361669501,0.00738464356823196,2.23861334900677,0.0267592211244119,1,0.722498970359121
"CTX_RH_MIDDLETEMPORAL",0.014873612861267,0.00677589243566403,2.19507806572927,0.0298056851523332,1,0.774947813960664
"CTX_RH_SUPRAMARGINAL",0.0158441595130616,0.00742671770189962,2.1333999956682,0.0346355412305789,1,0.865888530764473
"CTX_RH_LATERALORBITOFRONTAL",0.014360416496705,0.00709775108645615,2.02323472911123,0.0449523592603407,1,1
"CTX_LH_ROSTRALMIDDLEFRONTAL",0.016061131954511,0.00834373030060561,1.92493421717445,0.0562656509668405,1,1
"CTX_LH_SUPRAMARGINAL",0.0136159941860021,0.00740326888656354,1.83918676933567,0.0680062754033538,1,1
"CTX_LH_LATERALORBITOFRONTAL",0.0104313998584848,0.00678116493786365,1.53829024276338,0.126234764524785,1,1
"CTX_RH_CAUDALMIDDLEFRONTAL",0.00927481722373031,0.00658165961306754,1.40919126314519,0.160995947946254,1,1
"CTX_RH_PARSORBITALIS",0.0120861189457543,0.00872118807853723,1.38583399840879,0.168001155552592,1,1
"CTX_RH_FRONTALPOLE",0.0145648569895978,0.0113454798962386,1.28375856489126,0.201347100360537,1,1
"CTX_LH_PARSOPERCULARIS",0.0072709413184197,0.00674011018777906,1.07875704044173,0.282551145112104,1,1
"CTX_LH_FRONTALPOLE",0.01022009156435,0.00981257503452472,1.04153002941547,0.29942489454056,1,1
"CTX_LH_MIDDLETEMPORAL",0.00699945153164736,0.00712040232614616,0.983013488710509,0.327296557615219,1,1
"CTX_LH_PARSTRIANGULARIS",0.00667302247835771,0.00713863509593255,0.934775680320158,0.351513444118744,1,1
"CTX_RH_PARSTRIANGULARIS",0.00568075620972453,0.00705282754114328,0.80545797789402,0.421921342218108,1,1
"CTX_LH_PARSORBITALIS",0.00554129406383704,0.00847119829025264,0.65413343826612,0.514098928250358,1,1
"CTX_RH_PARSOPERCULARIS",0.00421527787239085,0.00741977335596802,0.568114101355985,0.570867545547096,1,1
"CTX_RH_ROSTRALANTERIORCINGULATE",-0.00384121626229672,0.0084721166427931,-0.45339511060253,0.650966225680535,1,1
"CTX_LH_ISTHMUSCINGULATE",0.00352724121009679,0.00803338518836819,0.439072835098708,0.661285669394949,1,1
"CTX_RH_ISTHMUSCINGULATE",0.00370165787121174,0.00854200641222256,0.433347587507676,0.665429221641853,1,1
"CTX_RH_CAUDALANTERIORCINGULATE",0.00390779842816699,0.00917401030787201,0.425964032852002,0.670788215019012,1,1
"CTX_LH_ROSTRALANTERIORCINGULATE",0.00315541011182893,0.00775593001678447,0.406838393977301,0.684747988947749,1,1
"CTX_LH_MEDIALORBITOFRONTAL",0.00304956736302095,0.0076609874337422,0.398064530113883,0.691188981434908,1,1
"CTX_LH_CAUDALANTERIORCINGULATE",0.00381853787652029,0.0104743369002303,0.364561299955546,0.715988981943391,1,1
"CTX_RH_MEDIALORBITOFRONTAL",0.00279196797248426,0.0080233659411004,0.347979637596007,0.728378138747632,1,1
"CTX_RH_SUPERIORTEMPORAL",-0.000909883882776814,0.00507133864880685,-0.179416904645263,0.857869767673025,1,1
"CTX_LH_SUPERIORTEMPORAL",0.000123505052664947,0.00575777367676657,0.0214501402101488,0.982917118159183,1,1
