"","Estimate","Std. Error","t value","Pr(>|t|)","p.bonferroni","p.holm"
"CTX_LH_CAUDALMIDDLEFRONTAL",0.0116541936154052,0.00794761387655959,1.46637642397018,0.144788349949387,1,1
"CTX_LH_LATERALORBITOFRONTAL",0.00870337734729946,0.0067618123430402,1.28713677720703,0.200170589832115,1,1
"CTX_LH_MEDIALORBITOFRONTAL",-0.00219872267948508,0.00762210798856995,-0.288466482340878,0.773416337074733,1,1
"CTX_LH_PARSOPERCULARIS",0.00365843328849184,0.00672480509386214,0.544020716947017,0.587292560812428,1,1
"CTX_LH_PARSORBITALIS",0.000927784932510678,0.008438446671228,0.109947359823234,0.912608569974811,1,1
"CTX_LH_PARSTRIANGULARIS",0.00274158750922783,0.00711885438587577,0.385116391011916,0.700735649113316,1,1
"CTX_LH_ROSTRALMIDDLEFRONTAL",0.0118301901059098,0.00834860968321429,1.41702517602369,0.158697067009193,1,1
"CTX_LH_SUPERIORFRONTAL",0.0106897045468558,0.0064480153536191,1.65782864348423,0.0995911291985676,1,1
"CTX_LH_FRONTALPOLE",0.0037114262717805,0.00979287327255932,0.378992576385146,0.705267547806021,1,1
"CTX_RH_CAUDALMIDDLEFRONTAL",0.006707476214243,0.00656834822937269,1.02118157868795,0.308929793941222,1,1
"CTX_RH_LATERALORBITOFRONTAL",0.0109983171535664,0.0071017289711105,1.54868162363095,0.123715880189506,1,1
"CTX_RH_MEDIALORBITOFRONTAL",0.00548600572608098,0.00797048077524178,0.688290440787691,0.492408812644091,1,1
"CTX_RH_PARSOPERCULARIS",-0.00216153314350158,0.00738637967702865,-0.292637697764693,0.770232360868039,1,1
"CTX_RH_PARSORBITALIS",0.00680154994059642,0.00871495823249261,0.780445500614989,0.436446256184103,1,1
"CTX_RH_PARSTRIANGULARIS",0.00289284192301559,0.00702713423592986,0.411667377609558,0.681212801116404,1,1
"CTX_RH_ROSTRALMIDDLEFRONTAL",0.0145009152786544,0.00737435721014585,1.96639718763604,0.0512306758354486,1,1
"CTX_RH_SUPERIORFRONTAL",0.0130012985327298,0.00625992938626594,2.07690817747148,0.0396377895339696,1,1
"CTX_RH_FRONTALPOLE",0.0199457423642561,0.0112252289500872,1.77686730960629,0.0777617225871047,1,1
"CTX_LH_INFERIORPARIETAL",0.016107586309108,0.00876622372409265,1.83746009867837,0.0682621794475014,1,1
"CTX_LH_PRECUNEUS",0.0263115768820709,0.00811496128742205,3.2423539620396,0.00148194163208626,0.0563137820192781,0.0563137820192781
"CTX_LH_SUPERIORPARIETAL",0.0212157077438951,0.00933085995110079,2.27371409013509,0.024504493931232,0.931170769386816,0.808648299730656
"CTX_LH_SUPRAMARGINAL",0.00578878400680334,0.00743607129740417,0.778473440514768,0.437603701410832,1,1
"CTX_RH_INFERIORPARIETAL",0.017644268630246,0.00903536431907262,1.95280101688882,0.052837964068875,1,1
"CTX_RH_PRECUNEUS",0.0249390735157218,0.00837236094450763,2.97873845633496,0.00341270563675905,0.129682814196844,0.126270108560085
"CTX_RH_SUPERIORPARIETAL",0.0232617215756927,0.00932090275051216,2.49565114005878,0.0137336300883989,0.52187794335916,0.480677053093963
"CTX_RH_SUPRAMARGINAL",0.0084886122284459,0.00747179631727513,1.13608720955359,0.257861093386274,1,1
"CTX_LH_MIDDLETEMPORAL",-0.00210694299095328,0.00710453341666666,-0.296563175564854,0.767239531233436,1,1
"CTX_LH_SUPERIORTEMPORAL",-0.0108891599195507,0.00565259716829239,-1.92639942231019,0.0560808765277547,1,1
"CTX_RH_MIDDLETEMPORAL",0.000670940796481649,0.00685445914256103,0.0978838421131745,0.92216453108406,1,1
"CTX_RH_SUPERIORTEMPORAL",-0.00975752243452046,0.00497696831033997,-1.9605353753707,0.0519184920031201,1,1
"CTX_LH_CAUDALANTERIORCINGULATE",0.01507531317492,0.0103451633979306,1.45723296917046,0.147291441646515,1,1
"CTX_LH_ISTHMUSCINGULATE",0.00232550328350207,0.00799355400305419,0.290922320986827,0.771541273545294,1,1
"CTX_LH_POSTERIORCINGULATE",0.0214878751360166,0.00897082319204177,2.39530694965418,0.0179290800793152,0.681305043013976,0.609588722696716
"CTX_LH_ROSTRALANTERIORCINGULATE",0.00848045059425304,0.00768570929493488,1.10340506891692,0.271744308958509,1,1
"CTX_RH_CAUDALANTERIORCINGULATE",0.0116598976821707,0.00907758129028597,1.28447185536615,0.201098263202176,1,1
"CTX_RH_ISTHMUSCINGULATE",0.00419768206874113,0.00849466571712905,0.494155062544335,0.621971128514665,1,1
"CTX_RH_POSTERIORCINGULATE",0.0268726064716835,0.00914230598520445,2.93936852640604,0.00384831949420376,0.146236140779743,0.138539501791335
"CTX_RH_ROSTRALANTERIORCINGULATE",0.00261608338366894,0.0084301434292222,0.31032489608665,0.756775394473295,1,1
