"","shrink.r2","adj.r2","target","lm_type"
"full.AVLT_AV1451_1",0.363119592458828,0.428522212819527,"AVLT_AV1451_1","full"
"full.AVLT_retroslope_AV1451_BL",0.078692453214823,0.11449597124757,"AVLT_retroslope_AV1451_BL","full"
"full.ADAS_AV1451_1",0.53346462400809,0.706718069396221,"ADAS_AV1451_1","full"
"full.ADAS_retroslope_AV1451_BL",0.223196782974232,0.328030104986739,"ADAS_retroslope_AV1451_BL","full"
"full.AV1451_BL_closest_AV45_wcereb",0.607442331620814,0.673927322425858,"AV1451_BL_closest_AV45_wcereb","full"
"full.AV1451_BL_closest_AV45_wcereb_retroSlope",0.109204406714106,0.21446779630871,"AV1451_BL_closest_AV45_wcereb_retroSlope","full"
"braak.AVLT_AV1451_1",0.317687093693704,0.37216603331319,"AVLT_AV1451_1","braak"
"braak.AVLT_retroslope_AV1451_BL",0.0784692447813098,0.11449597124757,"AVLT_retroslope_AV1451_BL","braak"
"braak.ADAS_AV1451_1",0.297855280181967,0.493179474716509,"ADAS_AV1451_1","braak"
"braak.ADAS_retroslope_AV1451_BL",0.279124124006343,0.373911613312346,"ADAS_retroslope_AV1451_BL","braak"
"braak.AV1451_BL_closest_AV45_wcereb",0.622684989021078,0.667124396645494,"AV1451_BL_closest_AV45_wcereb","braak"
"braak.AV1451_BL_closest_AV45_wcereb_retroSlope",0.0661403849982117,0.148004024170166,"AV1451_BL_closest_AV45_wcereb_retroSlope","braak"
"pattern.AVLT_AV1451_1",0.349177637150123,0.424837048776077,"AVLT_AV1451_1","pattern"
"pattern.AVLT_retroslope_AV1451_BL",0.0800711379358786,0.124717679741957,"AVLT_retroslope_AV1451_BL","pattern"
"pattern.ADAS_AV1451_1",0.562054720294061,0.6882197123681,"ADAS_AV1451_1","pattern"
"pattern.ADAS_retroslope_AV1451_BL",0.317962695009872,0.392945733271513,"ADAS_retroslope_AV1451_BL","pattern"
"pattern.AV1451_BL_closest_AV45_wcereb",0.5947510312794,0.677332318239608,"AV1451_BL_closest_AV45_wcereb","pattern"
"pattern.AV1451_BL_closest_AV45_wcereb_retroSlope",0.150567489340414,0.226717531817929,"AV1451_BL_closest_AV45_wcereb_retroSlope","pattern"
"region.AVLT_AV1451_1",0.34599889822484,0.416973792270171,"AVLT_AV1451_1","region"
"region.AVLT_retroslope_AV1451_BL",0.10919635780366,0.1365839621443,"AVLT_retroslope_AV1451_BL","region"
"region.ADAS_AV1451_1",0.279062242669052,0.545223877174975,"ADAS_AV1451_1","region"
"region.ADAS_retroslope_AV1451_BL",0.344352318727807,0.413115006058394,"ADAS_retroslope_AV1451_BL","region"
"region.AV1451_BL_closest_AV45_wcereb",0.59976990443679,0.638888288490598,"AV1451_BL_closest_AV45_wcereb","region"
"region.AV1451_BL_closest_AV45_wcereb_retroSlope",0.2000570802975,0.297532650224586,"AV1451_BL_closest_AV45_wcereb_retroSlope","region"
"onlyregion.AVLT_AV1451_1",0.257212070714147,0.320492048542186,"AVLT_AV1451_1","onlyregion"
"onlyregion.AVLT_retroslope_AV1451_BL",0.109929675444581,0.1365839621443,"AVLT_retroslope_AV1451_BL","onlyregion"
"onlyregion.ADAS_AV1451_1",0.277969257742096,0.545223877174975,"ADAS_AV1451_1","onlyregion"
"onlyregion.ADAS_retroslope_AV1451_BL",0.278651132578617,0.374860098859117,"ADAS_retroslope_AV1451_BL","onlyregion"
"onlyregion.AV1451_BL_closest_AV45_wcereb",0.617022284920339,0.650629439445569,"AV1451_BL_closest_AV45_wcereb","onlyregion"
"onlyregion.AV1451_BL_closest_AV45_wcereb_retroSlope",0.200606044781767,0.272581699478546,"AV1451_BL_closest_AV45_wcereb_retroSlope","onlyregion"
