Region,LOW_N_rank_effect_pvalue,LOW_N_rank_effect_rank_biserial,LOW_N_ranks_post_mean,LOW_N_ranks_post_std,LOW_N_ranks_prior_mean,LOW_N_ranks_prior_std,LOW_N_uptake_effect_pvalue,LOW_N_uptake_effect_rank_biserial,LOW_N_uptakes_post_mean,LOW_N_uptakes_post_std,LOW_N_uptakes_prior_mean,LOW_N_uptakes_prior_std,regions
Left-VentralDC,0.463150122,0.006880734,3.403669725,5.113607079,2.924242424,3.915047142,0.284048061,0.042813456,1.513337501,0.14285025,1.501101535,0.133411236,['Left-VentralDC']
Right-VentralDC,0.467390016,0.006116208,4.743119266,5.804780804,4.333333333,5.416958034,0.246369975,0.051431749,1.468452845,0.142750976,1.457852145,0.13476315,['Right-VentralDC']
ctx-rh-unknown,0.01688424,0.157770364,23.68807339,29.68726822,17.20454545,25.84708489,0.021461169,0.151654156,1.279230579,0.509260201,1.427088991,0.525974888,['ctx-rh-unknown']
ctx-lh-unknown,0.084927761,0.102307478,24.41284404,30.14558285,18.86363636,27.0391895,0.138119077,0.081595774,1.252794592,0.461984934,1.345183122,0.476849471,['ctx-lh-unknown']
ctx-lh-parsorbitalis,0.448227012,0.009799833,11.10091743,11.34362769,11.03787879,10.8811801,0.138940079,0.081317765,1.310643118,0.221741198,1.280943105,0.206465174,['ctx-lh-parsorbitalis']
ctx-rh-parsorbitalis,0.441623961,0.011050876,11.99082569,10.70924784,12.62878788,12.39159374,0.140177021,0.080900751,1.278380179,0.201039167,1.256275925,0.210468793,['ctx-rh-parsorbitalis']
Right-Pallidum,0.221881553,0.05733945,18.01834862,19.20625933,14.9469697,15.99304508,0.30192321,0.038921323,1.237111597,0.216573497,1.24121769,0.191595934,['Right-Pallidum']
ctx-rh-lateralorbitofrontal,0.326490131,0.033708646,17.83486239,12.3678436,16.84090909,11.58488406,0.251076549,0.050319711,1.19633454,0.185842408,1.178287042,0.14679897,['ctx-rh-lateralorbitofrontal']
Left-Thalamus-Proper,0.042475251,0.128996386,25.30275229,17.77819744,21.77272727,16.94178576,0.251668197,0.050180706,1.125007497,0.117628802,1.138715977,0.131537587,['Left-Thalamus-Proper']
ctx-lh-lateralorbitofrontal,0.438745955,0.011606895,22.10091743,14.6619053,21.88636364,13.60294516,0.221350208,0.057547957,1.158872439,0.194292558,1.132738172,0.145935849,['ctx-lh-lateralorbitofrontal']
ctx-lh-paracentral,0.498518238,0.000347512,23.95412844,18.52069773,22.36363636,16.01574638,0.314992421,0.036141229,1.156309128,0.22023378,1.132445593,0.181255736,['ctx-lh-paracentral']
ctx-rh-parstriangularis,0.451586327,0.009174312,22.64220183,13.09984448,22.41666667,13.21101564,0.05912035,0.117041979,1.1511593,0.177108815,1.120512472,0.153814343,['ctx-rh-parstriangularis']
ctx-rh-frontalpole,0.426707152,0.013900473,29,25.30764833,29.62121212,27.00604037,0.292284231,0.041006394,1.130024238,0.280794045,1.105435391,0.284056637,['ctx-rh-frontalpole']
ctx-rh-paracentral,0.443152224,0.010772866,27.63302752,18.24384302,27.12121212,17.62016334,0.318959811,0.0353072,1.112036701,0.188334123,1.092619781,0.162442703,['ctx-rh-paracentral']
ctx-rh-postcentral,0.32857724,0.033291632,27.05504587,14.43735907,25.84090909,13.35972552,0.244034543,0.051987768,1.102903722,0.162266188,1.092379807,0.151798556,['ctx-rh-postcentral']
ctx-lh-parstriangularis,0.406777259,0.017723103,27.40366972,17.7071588,26.93181818,15.37224633,0.171636883,0.071031415,1.125614267,0.218281709,1.089553988,0.162612453,['ctx-lh-parstriangularis']
ctx-rh-temporalpole,0.011549117,0.170141785,36.00917431,21.75573125,29.59848485,20.8144253,0.104578491,0.0941062,1.054566654,0.182068487,1.088364327,0.18178252,['ctx-rh-temporalpole']
ctx-lh-frontalpole,0.31427697,0.036280234,31.10091743,28.23100805,31.37878788,27.11857529,0.176886529,0.069502363,1.127850907,0.322855773,1.087942929,0.285203204,['ctx-lh-frontalpole']
