Name,INC_LOW_N_uptake_effect_pvalue,INC_LOW_N_uptake_effect_rank_biserial,INC_LOW_N_uptakes_post_mean,INC_LOW_N_uptakes_post_std,INC_LOW_N_uptakes_prior_mean,INC_LOW_N_uptakes_prior_std,INC_VS_STABLE_uptake_effect_pvalue,INC_VS_STABLE_uptake_effect_rank_biserial,LOW_N_uptake_effect_pvalue,LOW_N_uptake_effect_rank_biserial,LOW_N_uptakes_post_mean,LOW_N_uptakes_post_std,LOW_N_uptakes_prior_mean,LOW_N_uptakes_prior_std,STABLE_LOW_N_uptake_effect_pvalue,STABLE_LOW_N_uptake_effect_rank_biserial,STABLE_LOW_N_uptakes_post_mean,STABLE_LOW_N_uptakes_post_std,STABLE_LOW_N_uptakes_prior_mean,STABLE_LOW_N_uptakes_prior_std,regions
Cluster10,0.40646717788948938,0.023209680618924811,0.78056585192515371,0.12749311188511786,0.77747770586978149,0.11763618440507821,0.40619585592079288,0.02424382359732169,0.24543080279996615,0.049300699300699247,0.7684978088348744,0.13502099124970601,0.77723641975839308,0.11403851855491418,0.17640875422029995,0.098638510697415915,0.75397524850589381,0.1422062330989933,0.77695557854677622,0.10970192116679946,"['Left-Amygdala', 'ctx-rh-unknown', 'Right-Amygdala', 'ctx-lh-unknown']"
Cluster11,0.002117490786045262,0.27831779408847446,1.0434965809694694,0.11303902657563838,0.99150585286319881,0.11402484887485273,0.14586252565435903,0.1069037173862849,0.021213217045794867,0.1451048951048951,1.0034419382894439,0.12187443206347165,0.97822862958305623,0.11057849662111242,0.43123565893948668,0.018616282300639053,0.9552405886236498,0.11444222044108611,0.96277481232256168,0.10431990207368658,"['ctx-lh-inferiortemporal', 'ctx-rh-inferiortemporal', 'ctx-rh-middletemporal', 'ctx-lh-middletemporal']"
Cluster12,0.4626177769998624,0.0093235469152945782,1.0883435535317258,0.15644108865583942,1.0873717507327885,0.15518096560753009,0.34902192977986346,0.03948279842992386,0.27886730141869925,0.041958041958041981,1.0757162360587238,0.15447129463179096,1.0873909083410296,0.15542951547881875,0.19755203324944998,0.090302861906085052,1.0605206506251124,0.15067049975459712,1.0874132065407864,0.15571830865457637,"['ctx-rh-temporalpole', 'ctx-lh-temporalpole']"
Cluster14,0.41265053396866597,0.02162269390993854,0.24292924119284359,0.19274810711422466,0.24128392038130161,0.18656779508162089,0.47082447374366865,0.0076194874163011406,0.17222542974574628,0.067482517482517435,0.22597494961474185,0.18091432189491141,0.24393953357181938,0.18752091614311153,0.11919608331657217,0.12475687691025283,0.20557232754617868,0.1632379075745686,0.24703049318701223,0.18857713147625735,"['Left-Accumbens-area', 'Right-Accumbens-area']"
Cluster15,0.093776528264176151,0.12834755008926801,1.1569447475036898,0.25910107266995741,1.1008836038661403,0.26760014397408088,0.17237984523878858,0.095820826598937869,0.21049252607946572,0.057575757575757613,1.0991822460992833,0.25783663735276191,1.073610162790742,0.25657140448514182,0.39850484750763526,0.027507641011392026,1.029671439324489,0.23842458841875461,1.0418656658013439,0.23922111618098454,"['ctx-lh-lateraloccipital', 'ctx-rh-lateraloccipital']"
Cluster17,0.024381471196927382,0.19182701844872052,1.3461982396840753,0.18727904373728516,1.2891607448597044,0.18415440676347136,0.082639174009517091,0.14061417686446553,0.12331797613114254,0.082867132867132876,1.2927505328426314,0.19720039204721773,1.2761487036494616,0.19884893079966348,0.3684506855600721,0.035843289802723,1.2284321059656402,0.18948313417508533,1.2610035409293427,0.21369402197780615,"['ctx-rh-parsorbitalis', 'ctx-lh-parsorbitalis']"
Cluster18,0.0013192494350232433,0.29260067446935134,1.0741283696278405,0.14798845944626909,0.99940179756999481,0.13967244003211624,0.27494715051657548,0.060725005772338969,0.062966098169876694,0.10944055944055942,1.0199224611255344,0.15326519537504615,0.9911662023488238,0.14080468157627804,0.11163985090546058,0.12920255626562938,0.95469162208038594,0.13271101173394934,0.9815805095504132,0.14150885878276537,"['ctx-lh-inferiorparietal', 'ctx-lh-supramarginal', 'ctx-rh-supramarginal', 'ctx-rh-inferiorparietal']"
Cluster19,0.0045109309351149471,0.2541162467764333,1.0051198097282052,0.10695322883086307,0.96278471694364343,0.10297171573780929,0.36091558159087855,0.036250288616947568,0.28658775274038456,0.040326340326340304,0.9650219386283706,0.10884432424453709,0.95885648593098438,0.097397656635536775,0.013736364119026541,0.23367602111697694,0.91676856832178932,0.089860656773648004,0.95428428262116682,0.090263356457431748,"['ctx-lh-superiortemporal', 'ctx-rh-superiortemporal']"
Cluster36,0.37360399119637122,0.031541360841102928,1.1713567260864317,0.16820349564075848,1.1856532260045163,0.16058533040593415,0.44734833550804443,0.01362271992611408,0.46783393015872621,0.0058275058275057967,1.1804672995274295,0.17494434216913501,1.1873188469469973,0.16617468609576896,0.42917359839513308,0.019171992220061163,1.1914308709564274,0.18212360601985408,1.1892575205029992,0.17243208207457009,"['Right-Pallidum', 'Left-Pallidum']"
Cluster38,0.4642386315193166,0.0089268002380480382,1.0937458984297717,0.11455379626068805,1.0968314741695158,0.11788964644567905,0.1677588065777188,0.097667975063495782,0.34506162098987614,0.028554778554778504,1.0978039198509297,0.11279321554008089,1.1046104249083566,0.11409216455066332,0.32206060401098213,0.049180327868852514,1.1026873015611374,0.11043990694211853,1.1136646134732378,0.10880830561571019,"['Left-Thalamus-Proper', 'Right-Thalamus-Proper']"
Cluster35,0.34764597094590821,0.038286054354294774,0.87937246021486914,0.085318789088312488,0.87647519121531559,0.10040171794767842,0.20050340068023303,0.08519972292773037,0.27070934076810799,0.043706293706293753,0.8711120357070431,0.082933852411680359,0.86710691554462482,0.087057565527237771,0.35468396129369195,0.039733259238677432,0.86117152485864157,0.078830265520194648,0.85620285697709919,0.066681363175803587,"['Right-Hippocampus', 'Left-Hippocampus']"
Cluster32,0.2839302149920192,0.055742908153144199,1.4770604566105379,0.12740334032458839,1.4865619663270262,0.1352747499953422,0.2826127795637291,0.058416070191641634,0.45230061405753469,0.0086247086247086546,1.4845654684085434,0.12805207661499024,1.4824513774284607,0.1290728962225309,0.17777211853067287,0.098082800777993917,1.4935969232841084,0.12824747789279756,1.4776669214973437,0.12128086243738438,"['Left-VentralDC', 'Right-VentralDC']"
Cluster48,0.12245310521805264,0.11327117635389805,0.89486243244185804,0.18066384163759724,0.8525897449393105,0.16699255107707639,0.20826991450717691,0.082429000230893612,0.32721857913830632,0.032051282051282048,0.85242557282416298,0.17599378078255354,0.83528460184425191,0.16150856601551217,0.25924581570307081,0.068630175048624564,0.80135748752151359,0.15554520521152823,0.81514255004508451,0.15242680621595053,"['ctx-lh-lingual', 'ctx-rh-lingual']"
Cluster46,0.0002466643386335593,0.33902003570720096,1.1686292062755397,0.19721696025136359,1.0569566615893871,0.1725687706825548,0.4927168938150191,0.0020780420226276242,0.03216080288553666,0.13228438228438233,1.1027091818160251,0.1931630045860579,1.0566178289138106,0.17000517367092211,0.10867572324400315,0.13086968602389548,1.0233816947545744,0.15454889801407107,1.0562234498979768,0.16697088856235914,"['ctx-lh-rostralmiddlefrontal', 'ctx-rh-rostralmiddlefrontal']"
Cluster45,0.074322577891202696,0.14064669708391198,1.2294512593424669,0.16916846318378181,1.1825916695716334,0.14649143837244305,0.046958806048648674,0.1697067651812515,0.21143495090240555,0.057342657342657311,1.1813490760933121,0.16067736890633144,1.1627869639460124,0.14014354272347018,0.30164072606458892,0.055293136982495161,1.123463397946024,0.12771703528823194,1.1397355852670112,0.12858657921968186,"['ctx-lh-lateralorbitofrontal', 'ctx-rh-lateralorbitofrontal']"
Cluster44,0.0078593409424954404,0.23507240626859749,1.1353525282327879,0.22081421950550686,1.049191032369875,0.2088530052431489,0.17946209242683542,0.093050103902101111,0.070339160580907889,0.10536130536130539,1.06741274726123,0.21017240792344066,1.0279636583790326,0.19461668726890588,0.25585705528220443,0.069741594887468783,0.98565470575308367,0.162524209591943,1.0032563870126421,0.17336431491410051,"['ctx-rh-superiorparietal', 'ctx-lh-superiorparietal']"
Cluster29,0.068215508301459699,0.14501091053362425,1.1775453806152132,0.18413959587547593,1.1335475057674378,0.16820239467800166,0.26738540629920254,0.063033941353036305,0.23628914566395015,0.051398601398601418,1.1392677076776627,0.17469797765220899,1.1210426169703454,0.16063355185087744,0.28182434669085898,0.061405946096137809,1.0932047453290856,0.1501909127386877,1.1064877464032357,0.15004119917997435,"['ctx-rh-paracentral', 'ctx-lh-paracentral']"
