Name,regions,INC_LOW_N_rank_effect_pvalue,INC_LOW_N_rank_effect_rank_biserial,INC_LOW_N_ranks_post_mean,INC_LOW_N_ranks_post_std,INC_LOW_N_ranks_prior_mean,INC_LOW_N_ranks_prior_std,INC_LOW_N_uptake_effect_pvalue,INC_LOW_N_uptake_effect_rank_biserial,INC_LOW_N_uptakes_post_mean,INC_LOW_N_uptakes_post_std,INC_LOW_N_uptakes_prior_mean,INC_LOW_N_uptakes_prior_std,LOW_N_rank_effect_pvalue,LOW_N_rank_effect_rank_biserial,LOW_N_ranks_post_mean,LOW_N_ranks_post_std,LOW_N_ranks_prior_mean,LOW_N_ranks_prior_std,LOW_N_uptake_effect_pvalue,LOW_N_uptake_effect_rank_biserial,LOW_N_uptakes_post_mean,LOW_N_uptakes_post_std,LOW_N_uptakes_prior_mean,LOW_N_uptakes_prior_std,STABLE_LOW_N_rank_effect_pvalue,STABLE_LOW_N_rank_effect_rank_biserial,STABLE_LOW_N_ranks_post_mean,STABLE_LOW_N_ranks_post_std,STABLE_LOW_N_ranks_prior_mean,STABLE_LOW_N_ranks_prior_std,STABLE_LOW_N_uptake_effect_pvalue,STABLE_LOW_N_uptake_effect_rank_biserial,STABLE_LOW_N_uptakes_post_mean,STABLE_LOW_N_uptakes_post_std,STABLE_LOW_N_uptakes_prior_mean,STABLE_LOW_N_uptakes_prior_std
right_central_gyri,"['ctx-rh-paracentral', 'ctx-rh-precentral', 'ctx-rh-postcentral']",0.49263465,0.001983733,5.690140845,3.425634718,5.549295775,3.13898132,0.000141035,0.353302916,0.901557533,0.10691733,0.845722239,0.108864626,0.49836422,0.00034965,4.853846154,3.244193721,4.78030303,3.179752215,0.055475188,0.113986014,0.874715475,0.116621287,0.858511162,0.119795433,0.429662873,0.018894137,3.847457627,2.685892582,3.885245902,2.986847456,0.119825729,0.124756877,0.842414015,0.119584726,0.87339663,0.129800549
right_frontal,"['ctx-rh-caudalmiddlefrontal', 'ctx-rh-lateralorbitofrontal', 'ctx-rh-medialorbitofrontal', 'ctx-rh-parsopercularis', 'ctx-rh-parsorbitalis', 'ctx-rh-parstriangularis', 'ctx-rh-rostralmiddlefrontal', 'ctx-rh-superiorfrontal', 'ctx-rh-frontalpole']",0.095654478,0.126760563,5.056338028,3.197214122,5.957746479,3.56997108,0.00019895,0.344574489,0.922585701,0.135958257,0.846920426,0.110388939,0.240538235,0.05011655,4.853846154,2.964174651,5.287878788,3.381165083,0.056394289,0.113403263,0.879756136,0.128718387,0.853453219,0.109124892,0.348263809,0.041122534,4.610169492,2.636233504,4.508196721,2.962182131,0.04255354,0.182550709,0.828215472,0.096946139,0.861056961,0.107134438
right_temporal,"['ctx-rh-middletemporal', 'ctx-rh-superiortemporal']",0.426889216,0.018051974,9.295774648,3.518139578,9.309859155,3.762646466,0.000549196,0.317595715,0.836703279,0.096822827,0.789646336,0.096750701,0.371762179,0.023368298,8.9,3.687504889,9.037878788,3.726248627,0.048377654,0.118764569,0.803548584,0.102589375,0.78805304,0.096133532,0.32817359,0.047235343,8.423728814,3.827657556,8.721311475,3.658052638,0.15549951,0.107529869,0.763650561,0.094835241,0.786198547,0.095376647
left_central_gyri,"['ctx-lh-paracentral', 'ctx-lh-precentral', 'ctx-lh-postcentral']",0.308242839,0.048601468,4.661971831,3.692183071,4.633802817,2.903322219,0.000624799,0.314024995,0.919465504,0.128191003,0.863412784,0.124779817,0.345155366,0.028379953,4.784615385,3.43955412,4.583333333,3.159980981,0.124988352,0.082284382,0.879228944,0.134365993,0.865492001,0.131948483,0.128827679,0.119477633,4.93220339,3.102019062,4.524590164,3.433712121,0.044490724,0.180327869,0.830808677,0.125349404,0.867912073,0.139791337
left_parietal,"['ctx-lh-inferiorparietal', 'ctx-lh-precuneus', 'ctx-lh-superiorparietal', 'ctx-lh-supramarginal']",0.053565552,0.156516564,6.830985915,4.252541628,8.028169014,4.562467306,0.000680421,0.311644515,0.898749512,0.164479914,0.82351879,0.158902959,0.174302713,0.066899767,8.161538462,4.516301833,8.659090909,4.284980014,0.071000808,0.105011655,0.832802625,0.162184772,0.805206233,0.145575366,0.272381303,0.064184496,9.762711864,4.299542676,9.393442623,3.808010059,0.062660668,0.162545151,0.753442811,0.117771625,0.783891618,0.124997386
right_parietal,"['ctx-rh-inferiorparietal', 'ctx-rh-precuneus', 'ctx-rh-superiorparietal', 'ctx-rh-supramarginal']",0.044700717,0.164848244,8.507042254,3.935655857,9.704225352,3.912401252,0.000690124,0.311247768,0.859080532,0.123993496,0.79064574,0.122277836,0.129197445,0.080594406,9.030769231,3.904511122,9.621212121,3.790998715,0.058078872,0.112354312,0.8107873,0.132614279,0.78788764,0.123749626,0.391055054,0.029452626,9.661016949,3.771481611,9.524590164,3.642223053,0.108675723,0.130869686,0.752671716,0.118594382,0.784677393,0.125364556
right_cingulate,"['ctx-rh-caudalanteriorcingulate', 'ctx-rh-isthmuscingulate', 'ctx-rh-posteriorcingulate', 'ctx-rh-rostralanteriorcingulate']",0.10386867,0.122197977,8.633802817,4.332125122,9.535211268,4.502991137,0.00075107,0.308867288,0.856310093,0.122758541,0.788258207,0.11232661,0.184666248,0.063986014,8.846153846,4.503778821,9.310606061,4.602589152,0.08126238,0.09988345,0.817624707,0.125948554,0.791547181,0.118749475,0.468501952,0.008613504,9.101694915,4.689313185,9.049180328,4.702375505,0.07819333,0.150319533,0.771071107,0.11335608,0.795375332,0.125704691
left_frontal,"['ctx-lh-caudalmiddlefrontal', 'ctx-lh-lateralorbitofrontal', 'ctx-lh-medialorbitofrontal', 'ctx-lh-parsopercularis', 'ctx-lh-parsorbitalis', 'ctx-lh-parstriangularis', 'ctx-lh-rostralmiddlefrontal', 'ctx-lh-superiorfrontal', 'ctx-lh-frontalpole']",0.16063425,0.096211069,5.267605634,3.699858187,5.76056338,3.628776959,0.00183634,0.282682008,0.918165054,0.143853706,0.8513784,0.119108048,0.469661234,0.005477855,6.153846154,3.582997324,6.166666667,3.518709015,0.201204686,0.05990676,0.859970186,0.140963899,0.840778985,0.112463036,0.134075011,0.116976938,7.220338983,3.119472992,6.639344262,3.324192429,0.01906287,0.219783273,0.789939073,0.099501463,0.828441962,0.102829535
left_temporal,"['ctx-lh-middletemporal', 'ctx-lh-superiortemporal']",0.382570893,0.029160881,9.295774648,3.609043282,9.352112676,4.318641517,0.003250444,0.264828407,0.834223274,0.103627822,0.787298936,0.10955403,0.280368401,0.041491841,10.14615385,3.597245824,9.78030303,3.902824141,0.202581985,0.05955711,0.786806265,0.113278081,0.777843114,0.102565872,0.069829101,0.155876632,11.16949153,3.304606658,10.27868852,3.284993937,0.020316601,0.217004724,0.729745119,0.096897957,0.766837157,0.092570107
left_hippocampus,"['Left-Hippocampus', 'ctx-lh-entorhinal', 'ctx-lh-inferiortemporal', 'ctx-lh-parahippocampal', 'ctx-lh-temporalpole', 'ctx-lh-transversetemporal']",0.111060307,0.118428883,11.01408451,3.354597257,10.25352113,3.818849874,0.006120084,0.243800833,0.810275091,0.08563293,0.775232804,0.088879646,0.341979911,0.029020979,10.77692308,3.298636979,10.53030303,3.671015453,0.075302756,0.102797203,0.775784129,0.092100692,0.764616696,0.079943725,0.218810257,0.081967213,10.49152542,3.206840577,10.85245902,3.463325728,0.188917116,0.093637121,0.734278057,0.081924002,0.752260242,0.065963909
